Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210518;151e;605513;Turnbull, Spencer;1;0;1; 51.05; 7100;DET;@ sea;;5;0
20210518;110h;554430;Wheeler, Zack;1;9;1; 32.75;10000;PHI;v mia;;8;3
20210518;114v;547943;Ryu, Hyun-Jin;1;0;1; 31.35; 8600;TOR;v bos;;8;0
20210518;137g;628711;Urias, Julio;1;9;1; 30.60; 9600;LAD;v ari;;9;1
20210518;131p;605483;Snell, Blake;1;9;1; 29.90; 8900;SDG;v col;;2;1(F10)
20210518;123x;543101;DeSclafani, Anthony;1;9;; 26.95;;SFO;@ cin;;4;2
20210518;157n;643290;Dunn, Justin;1;0;1; 22.55; 6300;SEA;v det;;0;5
20210518;159b;664299;Javier, Cristian;1;0;1; 21.90; 9200;HOU;@ oak;;5;6
20210518;146x;596295;Gomber, Austin;1;9;1; 21.90; 5400;COL;@ sdg;;1;2(F10)
20210518;142m;622491;Castillo, Luis;1;9;; 21.85;;CIN;v sfo;;2;4
20210518;159t;663460;Bubic, Kris;1;0;1; 19.70; 4000;KAN;v mil;;2;0
20210518;142e;605540;Woodruff, Brandon;1;0;1; 19.05;10200;MIL;@ kan;;0;2
20210518;132g;607231;Gant, John;1;9;1; 14.40; 6800;STL;v pit;;5;2
20210518;165v;547001;Poteet, Cody;1;9;1; 14.25; 4000;MIA;@ phi;;3;8
20210518;163q;656353;Davidson, Tucker;1;9;1; 13.90; 4000;ATL;v nym;;3;4
20210518;153p;668676;Plesac, Zach;1;0;1; 12.95; 8000;CLE;@ laa;;6;5
20210518;165d;641682;Hendrix, Ryan;;9;; 12.50;;CIN;v sfo;;2;4
20210518;153c;656686;Martin, Corbin;1;9;1; 12.45; 4000;ARI;@ lad;;1;9
20210518;164f;669330;Wells, Tyler;;0;1; 12.05; 4000;BAL;v tam;;6;13
20210518;1801;488984;Hunter, Tommy;;8;1; 11.90; 4000;NYM;@ atl;;4;3
20210518;165p;624522;Thompson, Keegan;;9;1; 11.80; 5300;CHC;v was;;6;3
20210518;132p;572955;Johnson, Pierce;;9;1; 11.65; 4000;SDG;v col;;2;1(F10)
20210518;114b;543521;McHugh, Collin;;0;1; 10.50; 6700;TAM;@ bal;;13;6
20210518;141c;606149;Gallegos, Giovanny;;9;1; 10.50; 4000;STL;v pit;;5;2
20210518;1034;433589;Petit, Yusmeiro;;0;1; 10.25; 4000;OAK;v hou;;6;5
20210518;100u;458681;Lynn, Lance;1;0;1; 9.90; 9800;CHW;@ min;;4;5
20210518;146e;642545;Barria, Jaime;;0;1; 9.80; 5600;LAA;v cle;;5;6
20210518;134d;573124;Rogers, Taylor;;0;1; 9.65; 4000;MIN;v chw;;5;4
20210518;142x;552640;Kittredge, Andrew;;0;1; 9.15; 6900;TAM;@ bal;;13;6
20210518;141q;621056;Wood, Hunter;;0;1; 7.75; 4000;TEX;v nyy;;4;7
20210518;127t;570663;Robles, Hansel;;0;1; 7.65; 4000;MIN;v chw;;5;4
20210518;100d;547973;Chapman, Aroldis;;0;1; 7.65; 4000;NYY;@ tex;;7;4
20210518;109x;503569;Dolis, Rafael;;0;1; 7.65; 4000;TOR;v bos;;8;0
20210518;139d;593974;Peralta, Wandy;;0;1; 7.65; 4000;NYY;@ tex;;7;4
20210518;124d;640455;Manaea, Sean;1;0;1; 7.50; 8400;OAK;v hou;;6;5
20210518;155p;664054;Stashak, Cody;;0;1; 7.30; 4000;MIN;v chw;;5;4
20210518;111p;571578;Corbin, Patrick;1;8;1; 7.25; 6100;WAS;@ chc;;3;6
20210518;157e;642121;Sulser, Cole;;0;1; 7.15; 4000;BAL;v tam;;6;13
20210518;114n;544727;Familia, Jeurys;;8;1; 7.05; 4000;NYM;@ atl;;4;3
20210518;1168;453268;Bard, Daniel;;8;1; 7.00; 4000;COL;@ sdg;;1;2(F10)
20210518;127c;605151;Bradley, Archie;;9;1; 6.75; 4000;PHI;v mia;;8;3
20210518;134g;607229;Gsellman, Robert;;8;1; 6.70; 4000;NYM;@ atl;;4;3
20210518;142v;613534;Adams, Austin;;9;1; 6.25; 4000;SDG;v col;;2;1(F10)
20210518;143v;642083;Slegers, Aaron;;0;1; 6.25; 4000;LAA;v cle;;5;6
20210518;137j;621242;Diaz, Edwin;;8;1; 6.25; 4000;NYM;@ atl;;4;3
20210518;100p;518886;Kimbrel, Craig;;9;1; 6.25; 4000;CHC;v was;;6;3
20210518;163x;642068;Sheffield, Jordan;;9;1; 6.25; 4000;COL;@ sdg;;1;2(F10)
20210518;125i;593576;Neris, Hector;;9;1; 6.25; 4000;PHI;v mia;;8;3
20210518;107f;543766;Shaw, Bryan;;0;1; 6.25; 4000;CLE;@ laa;;6;5
20210518;160c;672715;Patino, Luis;1;0;1; 6.10; 5900;TAM;@ bal;;13;6
20210518;128v;593958;Rodriguez, Eduardo;1;0;1; 6.05; 8800;BOS;@ tor;;0;8
20210518;148k;642528;Loaisiga, Jonathan;;0;1; 5.75; 4000;NYY;@ tex;;7;4
20210518;155k;622251;Staumont, Josh;;0;1; 5.65; 4000;KAN;v mil;;2;0
20210518;141i;608716;Steckenrider, Drew;;0;1; 5.00; 4000;SEA;v det;;0;5
20210518;166a;641927;Ober, Bailey;1;0;; 4.80;;MIN;v chw;;5;4
20210518;164m;641394;Brentz, Jake;;0;1; 4.75; 4000;KAN;v mil;;2;0
20210518;135n;608717;Stratton, Chris;;9;1; 4.70; 6900;PIT;@ stl;;2;5
20210518;119d;592390;Hembree, Heath;;9;; 4.40;;CIN;v sfo;;2;4
20210518;137o;642003;Reed, Cody;;0;1; 4.30; 4000;TAM;@ bal;;13;6
20210518;116q;517008;Colome, Alex;;0;1; 4.30; 4000;MIN;v chw;;5;4
20210518;1916;456034;Price, David;;9;1; 4.25; 7000;LAD;v ari;;9;1
20210518;158z;681911;Vesia, Alex;;9;1; 4.25; 7000;LAD;v ari;;9;1
20210518;146n;605130;Barlow, Scott;;0;1; 4.25; 4000;KAN;v mil;;2;0
20210518;127g;612434;Castro, Miguel;1;8;1; 4.25; 4000;NYM;@ atl;;4;3
20210518;140t;641941;Pagan, Emilio;;9;1; 4.25; 4000;SDG;v col;;2;1(F10)
20210518;130y;592426;Jackson, Luke;;9;1; 4.25; 4000;ATL;v nym;;3;4
20210518;113d;571901;Loup, Aaron;;8;1; 3.65; 4000;NYM;@ atl;;4;3
20210518;157q;675916;Karinchak, James;;0;1; 3.65; 4000;CLE;@ laa;;6;5
20210518;121m;543507;May, Trevor;;8;1; 3.65; 4000;NYM;@ atl;;4;3
20210518;159y;657006;Steele, Justin;;9;1; 3.50; 4000;CHC;v was;;6;3
20210518;107i;542914;Bass, Anthony;;8;1; 3.50; 4000;MIA;@ phi;;3;8
20210518;152k;656685;Martin, Brett;;0;1; 3.50; 4000;TEX;v nyy;;4;7
20210518;111y;519293;Smith, Will;;9;1; 3.05; 4000;ATL;v nym;;3;4
20210518;140d;623149;Sewald, Paul;;0;1; 3.05; 4000;SEA;v det;;0;5
20210518;146z;593833;Suero, Wander;;8;1; 3.05; 4000;WAS;@ chc;;3;6
20210518;134v;592791;Taillon, Jameson;1;0;1; 2.95; 7400;NYY;@ tex;;7;4
20210518;125d;592741;Shreve, Chasen;;9;1; 2.75; 4000;PIT;@ stl;;2;5
20210518;1572;453343;Melancon, Mark;;9;1; 2.45; 4000;SDG;v col;;2;1(F10)
20210518;151o;664157;Bergen, Travis;;0;1; 2.30; 4000;TOR;v bos;;8;0
20210518;136w;643338;Green, Chad;;0;1; 2.25; 4000;NYY;@ tex;;7;4
20210518;1715;459429;McGee, Jake;;7;; 2.25;;SFO;@ cin;;4;2
20210518;158j;664141;Brubaker, JT;1;9;1; 2.15; 7600;PIT;@ stl;;2;5
20210518;156f;642207;Williams, Devin;;0;1; 2.15; 4000;MIL;@ kan;;0;2
20210518;131b;542888;Armstrong, Shawn;;0;1; 2.10; 4000;BAL;v tam;;6;13
20210518;126q;542882;Andriese, Matt;;0;1; 1.95; 4000;BOS;@ tor;;0;8
20210518;132c;605200;Davies, Zach;1;9;1; 1.85; 7000;CHC;v was;;6;3
20210518;150f;656629;Kopech, Michael;;0;1; 1.65; 6100;CHW;@ min;;4;5
20210518;125n;592222;Claudio, Alex;;0;1; 1.65; 4000;LAA;v cle;;5;6
20210518;1595;489265;Romo, Sergio;;0;1; 1.65; 4000;OAK;v hou;;6;5
20210518;145p;641755;Kinley, Tyler;;9;1; 1.65; 4000;COL;@ sdg;;1;2(F10)
20210518;146y;608723;Voth, Austin;;8;1; 1.65; 4000;WAS;@ chc;;3;6
20210518;120k;554431;Matzek, Tyler;;9;1; 1.65; 4000;ATL;v nym;;3;4
20210518;138o;621052;Reyes, Alex;;9;1; 1.65; 4000;STL;v pit;;5;2
20210518;159q;668687;Scrubb, Andre;;0;1; 1.50; 4000;HOU;@ oak;;5;6
20210518;149n;663465;Allard, Kolby;;0;1; 1.35; 4400;TEX;v nyy;;4;7
20210518;126z;595465;Winkler, Daniel;;9;1; 1.05; 4000;CHC;v was;;6;3
20210518;148a;641793;Littell, Zack;;7;; 1.05;;SFO;@ cin;;4;2
20210518;158w;676604;Zuber, Tyler;;0;1; 0.90; 4000;KAN;v mil;;2;0
20210518;140u;621237;Alvarado, Jose;;9;1; 0.90; 4000;PHI;v mia;;8;3
20210518;153q;650893;Cabrera, Genesis;;9;1; 0.90; 4000;STL;v pit;;5;2
20210518;105o;543022;Chatwood, Tyler;;0;1; 0.75; 4000;TOR;v bos;;8;0
20210518;146h;663432;Rainey, Tanner;;8;1; 0.75; 4000;WAS;@ chc;;3;6
20210518;158k;657044;Thompson, Ryan;;0;1; 0.75; 4000;TAM;@ bal;;13;6
20210518;123m;595014;Treinen, Blake;;9;1; 0.75; 4000;LAD;v ari;;9;1
20210518;130u;608648;Duffey, Tyler;;0;1; 0.75; 4000;MIN;v chw;;5;4
20210518;164j;676969;de Geus, Brett;;0;1; 0.60; 4000;TEX;v nyy;;4;7
20210518;154t;622065;Young, Alex;;9;1; 0.45; 4000;ARI;@ lad;;1;9
20210518;165t;669622;Bender, Anthony;;9;1; 0.30; 4000;MIA;@ phi;;3;8
20210518;109f;521230;Hendriks, Liam;;0;1; 0.30; 4000;CHW;@ min;;4;5
20210518;114s;448281;Doolittle, Sean;;9;; 0.30;;CIN;v sfo;;2;4
20210518;152q;664042;Lakins, Travis;;0;1; 0.00; 4000;BAL;v tam;;6;13
