team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
WAS,6/3/2021,1,607208,Trea Turner,1,Y,SS
WAS,6/3/2021,1,543281,Josh Harrison,2,Y,LF
WAS,6/3/2021,1,665742,Juan Soto,3,Y,RF
WAS,6/3/2021,1,475582,Ryan Zimmerman,4,Y,1B
WAS,6/3/2021,1,516770,Starlin Castro,5,Y,3B
WAS,6/3/2021,1,645302,Victor Robles,6,Y,CF
WAS,6/3/2021,1,474568,Jordy Mercer,7,Y,2B
WAS,6/3/2021,1,488671,Alex Avila,8,Y,C
WAS,6/3/2021,1,571578,Patrick Corbin,SP,Y,
ATL,6/3/2021,1,660670,Ronald Acuna,1,Y,RF
ATL,6/3/2021,1,518692,Freddie Freeman,2,Y,1B
ATL,6/3/2021,1,645277,Ozzie Albies,3,Y,2B
ATL,6/3/2021,1,663586,Austin Riley,4,Y,3B
ATL,6/3/2021,1,621020,Dansby Swanson,5,Y,SS
ATL,6/3/2021,1,501303,Ehire Adrianza,6,Y,LF
ATL,6/3/2021,1,661388,William Contreras,7,Y,C
ATL,6/3/2021,1,628338,Guillermo Heredia,8,Y,CF
ATL,6/3/2021,1,656353,Tucker Davidson,SP,Y,
TB,6/3/2021,1,668227,Randy Arozarena,1,Y,LF
TB,6/3/2021,1,664040,Brandon Lowe,2,Y,2B
TB,6/3/2021,1,650490,Yandy Diaz,3,Y,1B
TB,6/3/2021,1,640457,Austin Meadows,4,Y,DH
TB,6/3/2021,1,622534,Manuel Margot,5,Y,RF
TB,6/3/2021,1,621563,Joseph Wendle,6,Y,3B
TB,6/3/2021,1,572287,Mike Zunino,7,Y,C
TB,6/3/2021,1,670764,Taylor Walls,8,Y,SS
TB,6/3/2021,1,595281,Kevin Kiermaier,9,Y,CF
TB,6/3/2021,1,642232,Ryan Yarbrough,SP,Y,
NYY,6/3/2021,1,518934,DJ LeMahieu,1,Y,1B
NYY,6/3/2021,1,650402,Gleyber Torres,2,Y,SS
NYY,6/3/2021,1,592450,Aaron Judge,3,Y,DH
NYY,6/3/2021,1,570482,Giovanny Urshela,4,Y,3B
NYY,6/3/2021,1,596059,Rougned Odor,5,Y,2B
NYY,6/3/2021,1,640449,Clint Frazier,6,Y,RF
NYY,6/3/2021,1,609280,Miguel Andujar,7,Y,LF
NYY,6/3/2021,1,543309,Kyle Higashioka,8,Y,C
NYY,6/3/2021,1,458731,Brett Gardner,9,Y,CF
NYY,6/3/2021,1,543037,Gerrit Cole,SP,Y,
BOS,6/3/2021,1,542454,Daniel Santana,1,Y,CF
BOS,6/3/2021,1,657077,Alex Verdugo,2,Y,LF
BOS,6/3/2021,1,502110,J.D. Martinez,3,Y,DH
BOS,6/3/2021,1,593428,Xander Bogaerts,4,Y,SS
BOS,6/3/2021,1,646240,Rafael Devers,5,Y,3B
BOS,6/3/2021,1,592669,Hunter Renfroe,6,Y,RF
BOS,6/3/2021,1,624414,Christian Arroyo,7,Y,2B
BOS,6/3/2021,1,608700,Kevin Plawecki,8,Y,C
BOS,6/3/2021,1,666915,Bobby Dalbec,9,Y,1B
BOS,6/3/2021,1,527048,Martin Perez,SP,Y,
HOU,6/3/2021,1,514888,Jose Altuve,1,Y,2B
HOU,6/3/2021,1,649557,Aledmys Diaz,2,Y,SS
HOU,6/3/2021,1,608324,Alex Bregman,3,Y,3B
HOU,6/3/2021,1,670541,Yordan Alvarez,4,Y,DH
HOU,6/3/2021,1,493329,Yulieski Gurriel,5,Y,1B
HOU,6/3/2021,1,622100,Taylor Jones,6,Y,LF
HOU,6/3/2021,1,676801,Chas McCormick,7,Y,RF
HOU,6/3/2021,1,664702,Myles Straw,8,Y,CF
HOU,6/3/2021,1,596117,Garrett Stubbs,9,Y,C
HOU,6/3/2021,1,543606,Jake Odorizzi,SP,Y,
TEX,6/3/2021,1,643396,Isiah Kiner-Falefa,1,Y,SS
TEX,6/3/2021,1,669256,Nick Solak,2,Y,2B
TEX,6/3/2021,1,666969,Adolis Garcia,3,Y,CF
TEX,6/3/2021,1,608336,Joey Gallo,4,Y,RF
TEX,6/3/2021,1,501981,Khris Davis,5,Y,LF
TEX,6/3/2021,1,518586,Charlie Culberson,6,Y,1B
TEX,6/3/2021,1,571788,Brock Holt,7,Y,3B
TEX,6/3/2021,1,624431,Jose Trevino,8,Y,C
TEX,6/3/2021,1,592314,Mike Foltynewicz,SP,Y,
COL,6/3/2021,1,606132,Raimel Tapia,1,Y,LF
COL,6/3/2021,1,602074,Yonathan Daza,2,Y,CF
COL,6/3/2021,1,453568,Charlie Blackmon,3,Y,RF
COL,6/3/2021,1,658069,Josh Fuentes,4,Y,3B
COL,6/3/2021,1,571431,Matt Adams,5,Y,1B
COL,6/3/2021,1,641658,Garrett Hampson,6,Y,SS
COL,6/3/2021,1,663898,Brendan Rodgers,7,Y,2B
COL,6/3/2021,1,553869,Elias Diaz,8,Y,C
COL,6/3/2021,1,592351,Jonathan Gray,SP,Y,
MIA,6/3/2021,1,542932,Jonathon Berti,1,N,
MIA,6/3/2021,1,516782,Starling Marte,2,N,
MIA,6/3/2021,1,542583,Jesus Aguilar,3,N,
MIA,6/3/2021,1,643265,Garrett Cooper,4,N,
MIA,6/3/2021,1,572816,Corey Dickerson,5,N,
MIA,6/3/2021,1,594807,Adam Duvall,6,N,
MIA,6/3/2021,1,656371,Isan Diaz,7,N,
MIA,6/3/2021,1,595751,Jorge Alfaro,8,N,
MIA,6/3/2021,1,622694,Elieser Hernandez,SP,N,
PIT,6/3/2021,1,624428,Adam Frazier,1,N,
PIT,6/3/2021,1,621028,Kevin Newman,2,N,
PIT,6/3/2021,1,668804,Bryan Reynolds,3,N,
PIT,6/3/2021,1,607732,Jacob Stallings,4,N,
PIT,6/3/2021,1,570256,Gregory Polanco,5,N,
PIT,6/3/2021,1,570481,Erik Gonzalez,6,N,
PIT,6/3/2021,1,592325,Ben Gamel,7,N,
PIT,6/3/2021,1,643269,Will Craig,8,N,
PIT,6/3/2021,1,542881,Tyler Anderson,SP,N,
ARI,6/3/2021,1,656976,Pavin Smith,1,N,
ARI,6/3/2021,1,641796,Tim Locastro,2,N,
ARI,6/3/2021,1,668942,Josh Rojas,3,N,
ARI,6/3/2021,1,500871,Eduardo Escobar,4,N,
ARI,6/3/2021,1,572233,Christian Walker,5,N,
ARI,6/3/2021,1,444482,David Peralta,6,N,
ARI,6/3/2021,1,605113,Nick Ahmed,7,N,
ARI,6/3/2021,1,519390,Stephen Vogt,8,N,
ARI,6/3/2021,1,571676,Seth Frankoff,SP,N,
MIL,6/3/2021,1,543939,Kolten Wong,1,N,
MIL,6/3/2021,1,592885,Christian Yelich,2,N,
MIL,6/3/2021,1,553882,Omar Narvaez,3,N,
MIL,6/3/2021,1,596129,Daniel Vogelbach,4,N,
MIL,6/3/2021,1,541645,Avisail Garcia,5,N,
MIL,6/3/2021,1,543768,Travis Shaw,6,N,
MIL,6/3/2021,1,598265,Jackie Bradley,7,N,
MIL,6/3/2021,1,649966,Luis Urias,8,N,
MIL,6/3/2021,1,474463,Brett Anderson,SP,N,
MIN,6/3/2021,1,664247,Kyle Garlick,1,N,
MIN,6/3/2021,1,518626,Josh Donaldson,2,N,
MIN,6/3/2021,1,443558,Nelson Cruz,3,N,
MIN,6/3/2021,1,666135,Alex Kirilloff,4,N,
MIN,6/3/2021,1,593934,Miguel Sano,5,N,
MIN,6/3/2021,1,593871,Jorge Polanco,6,N,
