team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
NYM,6/18/2021,1,542340,Jonathan Villar,1,N,
NYM,6/18/2021,1,596019,Francisco Lindor,2,N,
NYM,6/18/2021,1,624413,Peter Alonso,3,N,
NYM,6/18/2021,1,642086,Dominic Smith,4,N,
NYM,6/18/2021,1,543510,James McCann,5,N,
NYM,6/18/2021,1,641856,Billy McKinney,6,N,
NYM,6/18/2021,1,607680,Kevin Pillar,7,N,
NYM,6/18/2021,1,592863,Mason Williams,8,N,
NYM,6/18/2021,1,664192,Joey Lucchesi,SP,N,
WAS,6/18/2021,1,607208,Trea Turner,1,N,
WAS,6/18/2021,1,665742,Juan Soto,2,N,
WAS,6/18/2021,1,475582,Ryan Zimmerman,3,N,
WAS,6/18/2021,1,656941,Kyle Schwarber,4,N,
WAS,6/18/2021,1,543281,Josh Harrison,5,N,
WAS,6/18/2021,1,543228,Yan Gomes,6,N,
WAS,6/18/2021,1,516770,Starlin Castro,7,N,
WAS,6/18/2021,1,645302,Victor Robles,8,N,
WAS,6/18/2021,1,607200,Erick Fedde,SP,N,
TOR,6/18/2021,1,543760,Marcus Semien,1,N,
TOR,6/18/2021,1,666182,Bo Bichette,2,N,
TOR,6/18/2021,1,665489,Vladimir Guerrero,3,N,
TOR,6/18/2021,1,606192,Teoscar Hernandez,4,N,
TOR,6/18/2021,1,545341,Randal Grichuk,5,N,
TOR,6/18/2021,1,666971,Lourdes Gurriel,6,N,
TOR,6/18/2021,1,624415,Cavan Biggio,7,N,
TOR,6/18/2021,1,656180,Riley Adams,8,N,
TOR,6/18/2021,1,641505,Jonathan Davis,9,N,
TOR,6/18/2021,1,592662,Robbie Ray,SP,N,
BAL,6/18/2021,1,656775,Cedric Mullins,1,N,
BAL,6/18/2021,1,641820,Trey Mancini,2,N,
BAL,6/18/2021,1,623993,Anthony Santander,3,N,
BAL,6/18/2021,1,663624,Ryan Mountcastle,4,N,
BAL,6/18/2021,1,669720,Austin Hays,5,N,
BAL,6/18/2021,1,520471,Freddy Galvis,6,N,
BAL,6/18/2021,1,596748,Maikel Franco,7,N,
BAL,6/18/2021,1,600474,Pedro Severino,8,N,
BAL,6/18/2021,1,642162,Patrick Valaika,9,N,
BAL,6/18/2021,1,669145,Bruce Zimmermann,SP,N,
CLE,6/18/2021,1,514917,Cesar Hernandez,1,N,
CLE,6/18/2021,1,642708,Amed Rosario,2,N,
CLE,6/18/2021,1,608070,Jose Ramirez,3,N,
CLE,6/18/2021,1,592696,Eddie Rosario,4,N,
CLE,6/18/2021,1,656252,Bobby Bradley,5,N,
CLE,6/18/2021,1,623912,Harold Ramirez,6,N,
CLE,6/18/2021,1,647304,Josh Naylor,7,N,
CLE,6/18/2021,1,425784,Rene Rivera,8,N,
CLE,6/18/2021,1,650496,Jean Carlos Mejia,SP,N,
PIT,6/18/2021,1,624428,Adam Frazier,1,N,
PIT,6/18/2021,1,663647,Ke'Bryan Hayes,2,N,
PIT,6/18/2021,1,668804,Bryan Reynolds,3,N,
PIT,6/18/2021,1,570256,Gregory Polanco,4,N,
PIT,6/18/2021,1,595943,Phillip Evans,5,N,
PIT,6/18/2021,1,607732,Jacob Stallings,6,N,
PIT,6/18/2021,1,621028,Kevin Newman,7,N,
PIT,6/18/2021,1,664789,Ka'ai Tom,8,N,
PIT,6/18/2021,1,641771,Chad Kuhl,SP,N,
OAK,6/18/2021,1,592192,Mark Canha,1,N,
OAK,6/18/2021,1,657656,Ramon Laureano,2,N,
OAK,6/18/2021,1,621566,Matt Olson,3,N,
OAK,6/18/2021,1,519048,Mitch Moreland,4,N,
OAK,6/18/2021,1,656305,Matt Chapman,5,N,
OAK,6/18/2021,1,664913,Seth Brown,6,N,
OAK,6/18/2021,1,669221,Sean Murphy,7,N,
OAK,6/18/2021,1,462101,Elvis Andrus,8,N,
OAK,6/18/2021,1,643393,Tony Kemp,9,N,
OAK,6/18/2021,1,621076,James Kaprielian,SP,N,
NYY,6/18/2021,1,518934,DJ LeMahieu,1,N,
NYY,6/18/2021,1,592450,Aaron Judge,2,N,
NYY,6/18/2021,1,650402,Gleyber Torres,3,N,
NYY,6/18/2021,1,519317,Giancarlo Stanton,4,N,
NYY,6/18/2021,1,570482,Giovanny Urshela,5,N,
NYY,6/18/2021,1,596142,Gary Sanchez,6,N,
NYY,6/18/2021,1,596059,Rougned Odor,7,N,
NYY,6/18/2021,1,609280,Miguel Andujar,8,N,
NYY,6/18/2021,1,458731,Brett Gardner,9,N,
NYY,6/18/2021,1,592791,Jameson Taillon,SP,N,
STL,6/18/2021,1,669242,Tommy Edman,1,N,
STL,6/18/2021,1,666185,Dylan Carlson,2,N,
STL,6/18/2021,1,502671,Paul Goldschmidt,3,N,
STL,6/18/2021,1,571448,Nolan Arenado,4,N,
STL,6/18/2021,1,641933,Tyler O'Neill,5,N,
STL,6/18/2021,1,624641,Edmundo Sosa,6,N,
STL,6/18/2021,1,602922,Jose Rondon,7,N,
STL,6/18/2021,1,668800,Andrew Knizner,8,N,
STL,6/18/2021,1,593372,Carlos Martinez,SP,N,
ATL,6/18/2021,1,660670,Ronald Acuna,1,N,
ATL,6/18/2021,1,518692,Freddie Freeman,2,N,
ATL,6/18/2021,1,645277,Ozzie Albies,3,N,
ATL,6/18/2021,1,663586,Austin Riley,4,N,
ATL,6/18/2021,1,621020,Dansby Swanson,5,N,
ATL,6/18/2021,1,501659,Abraham Almonte,6,N,
ATL,6/18/2021,1,661388,William Contreras,7,N,
ATL,6/18/2021,1,542255,Ender Inciarte,8,N,
ATL,6/18/2021,1,608331,Max Fried,SP,N,
MIN,6/18/2021,1,593871,Jorge Polanco,1,N,
MIN,6/18/2021,1,518626,Josh Donaldson,2,N,
MIN,6/18/2021,1,443558,Nelson Cruz,3,N,
MIN,6/18/2021,1,621439,Byron Buxton,4,N,
MIN,6/18/2021,1,593934,Miguel Sano,5,N,
MIN,6/18/2021,1,666135,Alex Kirilloff,6,N,
MIN,6/18/2021,1,624503,Nick Gordon,7,N,
MIN,6/18/2021,1,592743,Andrelton Simmons,8,N,
MIN,6/18/2021,1,666163,Ben Rortvedt,9,N,
MIN,6/18/2021,1,621244,Jose Berrios,SP,N,
TEX,6/18/2021,1,643396,Isiah Kiner-Falefa,1,N,
TEX,6/18/2021,1,641432,Willie Calhoun,2,N,
TEX,6/18/2021,1,666969,Adolis Garcia,3,N,
TEX,6/18/2021,1,608336,Joey Gallo,4,N,
TEX,6/18/2021,1,663993,Nathaniel Lowe,5,N,
TEX,6/18/2021,1,669256,Nick Solak,6,N,
TEX,6/18/2021,1,571788,Brock Holt,7,N,
TEX,6/18/2021,1,641680,Jonah Heim,8,N,
TEX,6/18/2021,1,641829,Jason Martin,9,N,
TEX,6/18/2021,1,592314,Mike Foltynewicz,SP,N,
MIA,6/18/2021,1,542932,Jonathon Berti,1,N,
MIA,6/18/2021,1,516782,Starling Marte,2,N,
MIA,6/18/2021,1,542583,Jesus Aguilar,3,N,
MIA,6/18/2021,1,665862,Jazz Chisholm,4,N,
MIA,6/18/2021,1,594807,Adam Duvall,5,N,
