Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210625;130m;605400;Nola, Aaron;1;9;1; 33.00; 8200;PHI;@ nym;;1;2(F8)
20210625;130k;592351;Gray, Jon;1;9;1; 28.25; 6600;COL;@ mil;;4;5(F11)
20210625;1073;456501;Cueto, Johnny;1;9;1; 27.55; 8200;SFO;v oak;;2;0
20210625;149a;641154;Lopez, Pablo;1;9;1; 26.70; 9300;MIA;v was;;11;2
20210625;151j;579328;Kikuchi, Yusei;1;0;1; 23.15; 9200;SEA;@ chw;;9;3
20210625;149d;669203;Burnes, Corbin;1;9;1; 22.50; 8500;MIL;v col;;5;4(F11)
20210625;124d;640455;Manaea, Sean;1;9;1; 21.90; 9800;OAK;@ sfo;;0;2
20210625;166d;666201;Manoah, Alek;1;0;1; 21.90; 8100;TOR;v bal;;5;6(F10)
20210625;154r;664062;Gonsolin, Tony;1;9;1; 19.20; 9500;LAD;v chc;;6;2
20210625;111d;592767;Smyly, Drew;1;9;1; 17.90; 7100;ATL;@ cin;;3;2
20210625;159n;656849;Peterson, David;1;9;1; 17.90; 7700;NYM;v phi;2;1;2(F8)
20210625;118v;592836;Walker, Taijuan;1;9;1; 16.85; 7400;NYM;v phi;;2;1(F8)
20210625;127s;607074;Rodon, Carlos;1;0;1; 15.25;10700;CHW;v sea;;3;9
20210625;161s;641540;Dunning, Dane;1;0;1; 15.05; 6400;TEX;v kan;;9;4
20210625;109t;519043;Moore, Matt;1;9;1; 12.85; 6500;PHI;@ nym;2;2;1(F8)
20210625;166x;664776;Cousins, Jake;;9;1; 12.50; 4000;MIL;v col;;5;4(F11)
20210625;164h;676477;Whitlock, Garrett;;0;1; 11.90; 4000;BOS;v nyy;;5;3
20210625;134h;607625;Lugo, Seth;;3;1; 11.65; 4000;NYM;v phi;;2;1(F8)
20210625;123m;595014;Treinen, Blake;;9;1; 11.15; 4000;LAD;v chc;;6;2
20210625;148k;642528;Loaisiga, Jonathan;;0;1; 11.00; 4000;NYY;@ bos;;3;5
20210625;166f;661269;Gutierrez, Vladimir;1;9;1; 10.70; 7300;CIN;v atl;;2;3
20210625;152u;656288;Canning, Griffin;1;0;1; 10.45; 8000;LAA;@ tam;;3;4
20210625;162a;676596;Fleming, Josh;;0;1; 10.45; 7200;TAM;v laa;;4;3
20210625;100x;453562;Arrieta, Jake;1;9;1; 10.45; 7000;CHC;@ lad;;2;6
20210625;114b;543521;McHugh, Collin;;0;1; 10.40; 7000;TAM;v laa;;4;3
20210625;156f;642207;Williams, Devin;;9;1; 10.25; 4000;MIL;v col;;5;4(F11)
20210625;101g;527048;Perez, Martin;1;0;1; 9.45; 6800;BOS;v nyy;;5;3
20210625;153a;598286;Ramirez, Nick;;9;1; 9.15; 4000;SDG;v ari;;11;5
20210625;166k;643377;Jax, Griffin;;0;1; 8.75; 4000;MIN;v cle;;8;7
20210625;162q;667463;King, John;;0;1; 8.45; 4000;TEX;v kan;;9;4
20210625;148b;650895;Castillo, Diego;;0;1; 8.25; 4000;TAM;v laa;;4;3
20210625;140r;643316;Fry, Paul;;0;1; 8.25; 4000;BAL;@ tor;;6;5(F10)
20210625;140d;623149;Sewald, Paul;;0;1; 8.25; 4000;SEA;@ chw;;9;3
20210625;153q;650893;Cabrera, Genesis;;8;1; 7.75; 4000;STL;v pit;;4;5
20210625;127c;605151;Bradley, Archie;;9;1; 7.05; 4000;PHI;@ nym;2;2;1(F8)
20210625;113l;518774;Harvey, Matt;1;0;1; 6.55; 5200;BAL;@ tor;;6;5(F10)
20210625;146b;605280;Holmes, Clay;;9;1; 6.55; 4000;PIT;@ stl;;5;4
20210625;110k;476595;Luetge, Lucas;;0;1; 6.55; 4000;NYY;@ bos;;3;5
20210625;151p;605447;Romano, Jordan;;0;1; 6.40; 4000;TOR;v bal;;5;6(F10)
20210625;163u;617228;Sawamura, Hirokazu;;0;1; 6.40; 4000;BOS;v nyy;;5;3
20210625;142v;613534;Adams, Austin;;9;1; 6.25; 4000;SDG;v ari;;11;5
20210625;139i;573009;Mantiply, Joe;;9;1; 6.25; 4000;ARI;@ sdg;;5;11
20210625;135r;607188;Faria, Jacob;;9;1; 6.25; 4000;ARI;@ sdg;;5;11
20210625;102n;493603;Ottavino, Adam;;0;1; 6.25; 4000;BOS;v nyy;;5;3
20210625;144o;593144;Rodriguez, Richard;;9;1; 6.25; 4000;PIT;@ stl;;5;4
20210625;145i;656945;Scott, Tanner;;0;1; 6.25; 4000;BAL;@ tor;;6;5(F10)
20210625;156a;661403;Clase, Emmanuel;;0;1; 6.25; 4000;CLE;@ min;;7;8
20210625;140u;621237;Alvarado, Jose;;5;1; 5.80; 4000;PHI;@ nym;;1;2(F8)
20210625;156z;643511;Rogers, Tyler;;9;1; 5.65; 4000;SFO;v oak;;2;0
20210625;138f;594577;Mayers, Mike;;0;1; 5.65; 4000;LAA;@ tam;;3;4
20210625;103f;445276;Jansen, Kenley;;8;1; 5.65; 4000;LAD;v chc;;6;2
20210625;111y;519293;Smith, Will;;9;1; 5.65; 4000;ATL;@ cin;;3;2
20210625;112j;523260;Kelly, Joe;;9;1; 5.65; 4000;LAD;v chc;;6;2
20210625;142a;593334;German, Domingo;1;0;1; 5.40; 8900;NYY;@ bos;;3;5
20210625;165d;641682;Hendrix, Ryan;;9;1; 5.05; 4000;CIN;v atl;;2;3
20210625;152j;664854;Helsley, Ryan;;9;1; 5.05; 4000;STL;v pit;;4;5
20210625;165n;664875;Lawrence, Justin;;9;1; 4.90; 4000;COL;@ mil;;4;5(F11)
20210625;161z;640444;Crowe, Wil;1;9;1; 4.65; 6900;PIT;@ stl;;5;4
20210625;126n;543056;Coulombe, Daniel;1;0;1; 4.55; 4000;MIN;v cle;;8;7
20210625;165p;624522;Thompson, Keegan;;6;1; 4.40; 4000;CHC;@ lad;;2;6
20210625;1734;453192;Miller, Andrew;;8;1; 4.40; 4000;STL;v pit;;4;5
20210625;106n;518633;Duffy, Danny;;0;1; 4.25; 8200;KAN;@ tex;;4;9
20210625;129n;605538;Wisler, Matt;;0;1; 4.25; 7000;TAM;v laa;;4;3
20210625;157p;605521;Warren, Art;;9;1; 4.25; 4000;CIN;v atl;;2;3
20210625;1715;459429;McGee, Jake;;4;1; 4.25; 4000;SFO;v oak;;2;0
20210625;143t;641835;Mayza, Tim;;0;1; 4.25; 4000;TOR;v bal;;5;6(F10)
20210625;141y;623352;Hader, Josh;;9;1; 4.25; 4000;MIL;v col;;5;4(F11)
20210625;1856;468504;Chacin, Jhoulys;;9;1; 4.25; 4000;COL;@ mil;;4;5(F11)
20210625;125i;593576;Neris, Hector;;1;1; 4.25; 4000;PHI;@ nym;2;2;1(F8)
20210625;141f;502179;Espino, Paolo;;9;1; 4.10; 4000;WAS;@ mia;;2;11
20210625;129x;500610;Guerra, Deolis;;9;1; 3.75; 4000;OAK;@ sfo;;0;2
20210625;162h;672578;Hernandez, Carlos;;0;1; 3.65; 4000;KAN;@ tex;;4;9
20210625;166w;666168;Thompson, Mason;;9;1; 3.65; 4000;SDG;v ari;;11;5
20210625;107i;542914;Bass, Anthony;;9;1; 3.65; 4000;MIA;v was;;11;2
20210625;130e;592612;Osich, Josh;;9;1; 3.65; 4000;CIN;v atl;;2;3
20210625;137h;542947;Bleier, Richard;;9;1; 3.65; 4000;MIA;v was;;11;2
20210625;157e;642121;Sulser, Cole;;0;1; 3.65; 4000;BAL;@ tor;;6;5(F10)
20210625;125k;605177;Chafin, Andrew;;6;1; 3.50; 4000;CHC;@ lad;;2;6
20210625;142x;552640;Kittredge, Andrew;1;0;1; 3.30; 6600;TAM;v laa;;4;3
20210625;147k;622446;Rodriguez, Jefry;;9;1; 3.30; 4000;WAS;@ mia;;2;11
20210625;127g;612434;Castro, Miguel;;9;1; 3.20; 4000;NYM;v phi;;2;1(F8)
20210625;126l;598264;Barnes, Matt;;0;1; 3.05; 4000;BOS;v nyy;;5;3
20210625;1315;489334;Stammen, Craig;;9;1; 3.05; 4000;SDG;v ari;;11;5
20210625;141i;608716;Steckenrider, Drew;;0;1; 3.05; 4000;SEA;@ chw;;9;3
20210625;145x;657612;Hill, Tim;;9;1; 3.05; 4000;SDG;v ari;;11;5
20210625;120o;502522;Miller, Justin;;9;1; 2.90; 4000;WAS;@ mia;;2;11
20210625;165o;680704;Sandlin, Nick;;0;1; 2.90; 4000;CLE;@ min;;7;8
20210625;126j;607359;Patton, Spencer;;0;1; 2.75; 4000;TEX;v kan;;9;4
20210625;1168;453268;Bard, Daniel;;9;1; 2.45; 4000;COL;@ mil;;4;5(F11)
20210625;159u;624647;Gonzalez, Victor;;9;1; 2.30; 4000;LAD;v chc;;6;2
20210625;134l;570666;Cessa, Luis;;0;1; 2.30; 4000;NYY;@ bos;;3;5
20210625;116q;517008;Colome, Alex;;0;1; 2.25; 4000;MIN;v cle;;8;7
20210625;134d;573124;Rogers, Taylor;;0;1; 2.25; 4000;MIN;v cle;;8;7
20210625;149y;656887;Reid-Foley, Sean;;9;1; 2.25; 4000;NYM;v phi;2;1;2(F8)
20210625;121m;543507;May, Trevor;;9;1; 2.25; 4000;NYM;v phi;2;1;2(F8)
20210625;125d;592741;Shreve, Chasen;;9;1; 2.15; 4000;PIT;@ stl;;5;4
20210625;163v;621348;Clay, Sam;;9;1; 1.65; 4000;WAS;@ mia;;2;11
20210625;165t;669622;Bender, Anthony;;9;1; 1.65; 4000;MIA;v was;;11;2
20210625;142c;664208;Maton, Phil;;0;1; 1.65; 4000;CLE;@ min;;7;8
20210625;160u;641401;Brogdon, Connor;;9;1; 1.65; 4000;PHI;@ nym;2;2;1(F8)
20210625;141c;606149;Gallegos, Giovanny;;4;1; 1.50; 4000;STL;v pit;;4;5
20210625;148q;622098;Smith, Drew;;9;1; 1.50; 4000;NYM;v phi;;2;1(F8)
20210625;155r;622253;Tate, Dillon;;0;1; 1.20; 4000;BAL;@ tor;;6;5(F10)
20210625;139u;622766;Diaz, Miguel;;9;1; 1.05; 8400;SDG;v ari;;11;5
20210625;135g;605195;Crick, Kyle;;9;1; 1.05; 4000;PIT;@ stl;;5;4
20210625;144e;621345;Minter, A.J.;;9;1; 1.05; 4000;ATL;@ cin;;3;2
20210625;1955;461872;Swarzak, Anthony;;2;1; 1.05; 4000;KAN;@ tex;;4;9
20210625;160m;641420;Burdi, Zack;;0;1; 0.90; 4000;CHW;v sea;;3;9
20210625;104u;518553;Cishek, Steve;;0;1; 0.90; 4000;LAA;@ tam;;3;4
20210625;1916;456034;Price, David;;9;1; 0.75; 7000;LAD;v chc;;6;2
20210625;148p;622075;Almonte, Yency;;6;1; 0.75; 4000;COL;@ mil;;4;5(F11)
20210625;133z;608638;Chargois, J.T.;;0;1; 0.75; 4000;SEA;@ chw;;9;3
20210625;166z;667376;Sanchez, Miguel;;9;1; 0.75; 4000;MIL;v col;;5;4(F11)
20210625;159s;641582;Foster, Matt;;0;1; 0.45; 4000;CHW;v sea;;3;9
20210625;151r;663423;Thornton, Trent;;0;1; 0.45; 4000;TOR;v bal;;5;6(F10)
20210625;153v;660761;Suarez, Jose;;0;1; 0.00; 9200;LAA;@ tam;;3;4
20210625;129f;605452;Ross, Joe;;9;1; 0.00; 9000;WAS;@ mia;;2;11
20210625;162c;642092;Smith, Riley;;9;1; -0.15; 7000;ARI;@ sdg;;5;11
20210625;133a;608032;Estevez, Carlos;;9;1; -0.35; 4000;COL;@ mil;;4;5(F11)
20210625;145p;641755;Kinley, Tyler;;9;1; -0.35; 4000;COL;@ mil;;4;5(F11)
