Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210503;133t;628317;Maeda, Kenta;1;0;1; 29.60; 7800;MIN;v tex;;6;5
20210503;129i;592826;Velasquez, Vincent;1;9;1; 23.90; 7000;PHI;v mil;;4;3
20210503;134s;607192;Glasnow, Tyler;1;0;1; 22.70;10300;TAM;@ laa;;7;3
20210503;130x;542881;Anderson, Tyler;1;9;1; 18.00; 7000;PIT;@ sdg;;0;2
20210503;162t;665152;Kremer, Dean;1;0;1; 17.10; 6100;BAL;@ sea;;5;3
20210503;161s;641540;Dunning, Dane;1;0;1; 15.75; 6600;TEX;@ min;;5;6
20210503;130j;593423;Montas, Frankie;1;0;1; 14.70; 8100;OAK;v tor;;5;4
20210503;111t;500779;Quintana, Jose;1;0;1; 12.05; 7000;LAA;v tam;;3;7
20210503;139u;622766;Diaz, Miguel;1;9;1; 10.95; 4000;SDG;v pit;;2;0
20210503;156d;663776;Sandoval, Patrick;;0;1; 10.70; 4000;LAA;v tam;;3;7
20210503;132a;605288;Houser, Adrian;1;9;1; 10.50; 8600;MIL;@ phi;;3;4
20210503;152d;657024;Swanson, Erik;1;0;1; 10.50; 4000;SEA;v bal;;3;5
20210503;1628;425794;Wainwright, Adam;1;9;1; 10.15; 8000;STL;v nym;;6;5
20210503;149y;656887;Reid-Foley, Sean;;9;1; 9.30; 4000;NYM;@ stl;;5;6
20210503;153n;656322;Coonrod, Sam;;9;1; 8.25; 4000;PHI;v mil;;4;3
20210503;157e;642121;Sulser, Cole;;0;1; 8.25; 4000;BAL;@ sea;;5;3
20210503;145x;657612;Hill, Tim;;9;1; 8.25; 4000;SDG;v pit;;2;0
20210503;125i;593576;Neris, Hector;;1;1; 7.95; 4000;PHI;v mil;;4;3
20210503;121p;571927;Matz, Steven;1;0;1; 7.85; 8400;TOR;@ oak;;4;5
20210503;142v;613534;Adams, Austin;;9;1; 7.65; 4000;SDG;v pit;;2;0
20210503;134g;607229;Gsellman, Robert;;9;1; 7.25; 4000;NYM;@ stl;;5;6
20210503;160y;622780;Perdomo, Angel;;9;1; 7.05; 4000;MIL;@ phi;;3;4
20210503;141i;608716;Steckenrider, Drew;;0;1; 7.00; 4000;SEA;v bal;;3;5
20210503;1595;489265;Romo, Sergio;;0;1; 6.25; 4000;OAK;v tor;;5;4
20210503;102f;491624;Valdez, Cesar;;0;1; 6.25; 4000;BAL;@ sea;;5;3
20210503;111v;518617;Diekman, Jake;;0;1; 6.25; 4000;OAK;v tor;;5;4
20210503;109r;519141;Pomeranz, Drew;;9;1; 6.25; 4000;SDG;v pit;;2;0
20210503;165r;663738;Lynch, Daniel;1;0;1; 5.70; 4000;KAN;v cle;;6;8
20210503;158w;676604;Zuber, Tyler;;0;1; 5.65; 4000;KAN;v cle;;6;8
20210503;160z;656876;Rasmussen, Drew;;9;1; 5.65; 4000;MIL;@ phi;;3;4
20210503;1315;489334;Stammen, Craig;;9;1; 5.30; 4000;SDG;v pit;;2;0
20210503;149p;605488;Springs, Jeffrey;;0;1; 4.55; 4000;TAM;@ laa;;7;3
20210503;157q;675916;Karinchak, James;;0;1; 4.40; 4000;CLE;@ kan;;8;6
20210503;138k;624586;Hoyt, James;;0;1; 4.30; 4000;LAA;v tam;;3;7
20210503;141c;606149;Gallegos, Giovanny;;9;1; 4.25; 4000;STL;v nym;;6;5
20210503;140w;641871;Middleton, Keynan;;0;1; 4.25; 4000;SEA;v bal;;3;5
20210503;157d;670280;Bednar, David;;9;1; 4.25; 4000;PIT;@ sdg;;0;2
20210503;154q;650644;Civale, Aaron;1;0;1; 4.15; 8900;CLE;@ kan;;8;6
20210503;151o;664157;Bergen, Travis;;0;1; 3.95; 4000;TOR;@ oak;;4;5
20210503;143t;641835;Mayza, Tim;;0;1; 3.80; 4000;TOR;@ oak;;4;5
20210503;148b;650895;Castillo, Diego;;0;1; 3.65; 4000;TAM;@ laa;;7;3
20210503;156a;661403;Clase, Emmanuel;;0;1; 3.65; 4000;CLE;@ kan;;8;6
20210503;129g;448855;Guerra, Junior;;0;1; 3.15; 4000;LAA;v tam;;3;7
20210503;155k;622251;Staumont, Josh;;0;1; 3.05; 4000;KAN;v cle;;6;8
20210503;146p;642152;Trivino, Lou;;0;1; 3.05; 4000;OAK;v tor;;5;4
20210503;153q;650893;Cabrera, Genesis;;9;1; 3.05; 4000;STL;v nym;;6;5
20210503;155p;664054;Stashak, Cody;;0;1; 3.05; 4000;MIN;v tex;;6;5
20210503;103n;518813;Holland, Greg;;0;1; 2.75; 4000;KAN;v cle;;6;8
20210503;158k;657044;Thompson, Ryan;;0;1; 2.75; 4000;TAM;@ laa;;7;3
20210503;164d;676684;Vest, Will;;0;1; 2.55; 4000;SEA;v bal;;3;5
20210503;107f;543766;Shaw, Bryan;;0;1; 2.45; 4000;CLE;@ kan;;8;6
20210503;162y;593619;Tapia, Domingo;;0;1; 2.45; 4000;SEA;v bal;;3;5
20210503;165q;670090;Mills, Wyatt;;0;1; 1.95; 4000;SEA;v bal;;3;5
20210503;1572;453343;Melancon, Mark;;9;1; 1.65; 4000;SDG;v pit;;2;0
20210503;133w;606930;Barnes, Jacob;;9;1; 1.65; 4000;NYM;@ stl;;5;6
20210503;145i;656945;Scott, Tanner;;0;1; 1.50; 4000;BAL;@ sea;;5;3
20210503;138o;621052;Reyes, Alex;;9;1; 1.05; 4000;STL;v nym;;6;5
20210503;130u;608648;Duffey, Tyler;;0;1; 0.90; 4000;MIN;v tex;;6;5
20210503;152j;664854;Helsley, Ryan;;9;1; 0.75; 4000;STL;v nym;;6;5
20210503;116i;573204;Thielbar, Caleb;;0;1; 0.30; 4000;MIN;v tex;;6;5
20210503;149n;663465;Allard, Kolby;;0;1; 0.25; 4700;TEX;@ min;;5;6
20210503;146b;605280;Holmes, Clay;;9;1; 0.15; 5200;PIT;@ sdg;;0;2
20210503;133l;605397;Musgrove, Joe;;9;1; 0.00;10100;SDG;v pit;;2;0
20210503;146n;605130;Barlow, Scott;;0;1; -0.45; 4000;KAN;v cle;;6;8
20210503;134d;573124;Rogers, Taylor;;0;1; -0.95; 4000;MIN;v tex;;6;5
20210503;127b;628452;Iglesias, Raisel;;0;1; -2.95; 4000;LAA;v tam;;3;7
20210503;131b;542888;Armstrong, Shawn;;0;1; -4.45; 4000;BAL;@ sea;;5;3
20210503;160s;663399;Waddell, Brandon;;0;1; -5.05; 4000;MIN;v tex;;6;5
