Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210513;1477;448179;Hill, Rich;1;0;1; 32.80; 7200;TAM;v nyy;;9;1
20210513;111p;571578;Corbin, Patrick;1;8;1; 32.75; 6400;WAS;v phi;;5;1
20210513;100u;458681;Lynn, Lance;1;0;1; 30.25; 9200;CHW;v min;;4;2
20210513;144h;656427;Flaherty, Jack;1;9;1; 25.90; 9400;STL;@ mil;;2;0
20210513;162e;669432;Rogers, Trevor;1;9;1; 25.90; 9300;MIA;@ ari;;5;1
20210513;151e;605513;Turnbull, Spencer;1;0;1; 25.45; 6000;DET;v kan;;4;3
20210513;123x;543101;DeSclafani, Anthony;1;9;; 24.05;;SFO;@ pit;;3;1
20210513;149d;669203;Burnes, Corbin;1;9;1; 23.65;10600;MIL;v stl;;0;2
20210513;133v;548389;Stripling, Ross;1;9;1; 22.25; 6300;TOR;@ atl;;8;4
20210513;128y;592346;Gonzalez, Chi-Chi;1;9;1; 20.75; 5500;COL;v cin;;13;8
20210513;108h;572070;Richards, Garrett;1;0;1; 20.70; 8200;BOS;v oak;;8;1
20210513;159t;663460;Bubic, Kris;;0;1; 19.05; 4000;KAN;@ det;;3;4
20210513;153p;668676;Plesac, Zach;1;0;1; 19.00; 8300;CLE;@ sea;;4;2
20210513;159b;664299;Javier, Cristian;1;0;1; 18.15;10000;HOU;v tex;;4;3(F11)
20210513;137n;621107;Eflin, Zach;1;9;1; 16.10; 8200;PHI;@ was;;1;5
20210513;103g;501381;Pineda, Michael;1;0;1; 15.80; 7000;MIN;@ chw;;2;4
20210513;134v;592791;Taillon, Jameson;1;0;1; 15.70; 7700;NYY;@ tam;;1;9
20210513;129x;500610;Guerra, Deolis;;0;1; 12.15; 4000;OAK;@ bos;;1;8
20210513;161z;640444;Crowe, Wil;1;9;; 11.05;;PIT;v sfo;;1;3
20210513;151s;518876;Kelly, Merrill;1;9;1; 10.85; 7900;ARI;v mia;;1;5
20210513;156c;667498;Dugger, Robert;;0;1; 9.90; 4000;SEA;v cle;;2;4
20210513;113u;548384;Raley, Brooks;;0;1; 9.65; 4000;HOU;v tex;;4;3(F11)
20210513;135n;608717;Stratton, Chris;;9;; 9.30;;PIT;v sfo;;1;3
20210513;157t;650633;King, Michael;;0;1; 8.85; 4000;NYY;@ tam;;1;9
20210513;141i;608716;Steckenrider, Drew;;0;1; 8.50; 4000;SEA;v cle;;2;4
20210513;151p;605447;Romano, Jordan;;8;1; 8.25; 4000;TOR;@ atl;;8;4
20210513;165w;669302;Gilbert, Logan;1;0;1; 8.00; 4000;SEA;v cle;;2;4
20210513;109f;521230;Hendriks, Liam;;0;1; 7.75; 4000;CHW;v min;;4;2
20210513;165t;669622;Bender, Anthony;;9;1; 7.65; 4000;MIA;@ ari;;5;1
20210513;162q;667463;King, John;;0;1; 7.30; 4000;TEX;@ hou;;3;4(F11)
20210513;138o;621052;Reyes, Alex;;5;1; 7.05; 4000;STL;@ mil;;2;0
20210513;1575;450203;Morton, Charlie;1;9;1; 6.50; 7500;ATL;v tor;;4;8
20210513;158o;670056;Baragar, Caleb;;9;; 6.25;;SFO;@ pit;;3;1
20210513;141s;594056;Guduan, Reymin;;0;1; 5.90; 4000;OAK;@ bos;;1;8
20210513;164h;676477;Whitlock, Garrett;;0;1; 5.75; 4000;BOS;v oak;;8;1
20210513;152h;622250;Sborz, Josh;;0;1; 5.65; 4000;TEX;@ hou;;3;4(F11)
20210513;151o;664157;Bergen, Travis;;8;1; 5.65; 4000;TOR;@ atl;;8;4
20210513;146b;605280;Holmes, Clay;;9;; 5.65;;PIT;v sfo;;1;3
20210513;115q;542585;Cisnero, Jose;;0;1; 5.50; 4000;DET;v kan;;4;3
20210513;141d;592773;Stanek, Ryne;;0;1; 5.05; 4000;HOU;v tex;;4;3(F11)
20210513;163k;676979;Crochet, Garrett;;0;1; 5.05; 4000;CHW;v min;;4;2
20210513;152i;657097;Webb, Jacob;;9;1; 5.00; 4000;ATL;v tor;;4;8
20210513;165e;545343;Head, Louis;;0;1; 5.00; 4000;TAM;v nyy;;9;1
20210513;127t;570663;Robles, Hansel;;0;1; 4.90; 4000;MIN;@ chw;;2;4
20210513;125g;592314;Foltynewicz, Mike;1;0;1; 4.65; 6400;TEX;@ hou;;3;4(F11)
20210513;109t;519043;Moore, Matt;;4;1; 4.25; 6500;PHI;@ was;;1;5
20210513;152d;657024;Swanson, Erik;;0;1; 4.25; 5700;SEA;v cle;;2;4
20210513;114z;519151;Pressly, Ryan;;0;1; 4.25; 4000;HOU;v tex;;4;3(F11)
20210513;123p;455119;Martin, Chris;;9;1; 4.25; 4000;ATL;v tor;;4;8
20210513;156r;606303;Payamps, Joel;;9;1; 4.25; 4000;TOR;@ atl;;8;4
20210513;146y;608723;Voth, Austin;;8;1; 4.25; 4000;WAS;v phi;;5;1
20210513;153q;650893;Cabrera, Genesis;;9;1; 4.25; 4000;STL;@ mil;;2;0
20210513;157r;660896;Alcala, Jorge;;0;1; 4.25; 4000;MIN;@ chw;;2;4
20210513;149f;660853;De Los Santos, Enyel;;9;1; 4.25; 4000;PHI;@ was;;1;5
20210513;138t;608718;Suter, Brent;;5;1; 4.10; 4000;MIL;v stl;;0;2
20210513;165r;663738;Lynch, Daniel;1;0;1; 3.80; 5700;KAN;@ det;;3;4
20210513;141c;606149;Gallegos, Giovanny;;9;1; 3.65; 4000;STL;@ mil;;2;0
20210513;155w;650556;Abreu, Bryan;;0;1; 3.65; 4000;HOU;v tex;;4;3(F11)
20210513;164x;656266;Bukauskas, J.B.;;9;1; 3.65; 4000;ARI;v mia;;1;5
