Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Jordan Montgomery","NYY",25.1,103,10.65789474,1.42105263,7.5,0,0.29126214,0.03883495,0.25242719,0.16842105,0.78947368,0.24615385,0.91666667,1.739904696390181,2.900052493465692,16511
"Total","Austin Gomber","2 Tms",25.1,108,7.10526316,3.55263158,2,1.06578947,0.18518519,0.09259259,0.0925926,0.19148936,1.10526316,0.20547945,0.81395349,4.534035123145847,4.919848185816106,16561
"Total","Bryan Abreu","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,16609
"Total","J.P. Feyereisen","MIL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,16610
"Total","Tim Hill","SDP",21.1,95,8.4375,2.953125,2.85714286,1.265625,0.21052632,0.07368421,0.13684211,0.24705882,1.3125,0.29032258,0.82089552,4.523033213611081,3.745297917996464,16814
"Total","Cam Hill","CLE",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,16840
"Total","Elieser Hernandez","MIA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,16933
"Total","Sean Newcomb","ATL",8.2,43,12.46153847,2.07692308,6,2.07692308,0.27906977,0.04651163,0.23255814,0.2972973,1.5,0.39130435,0.42253521,5.472191783571779,4.231052981105851,16943
"Total","Trevor Williams","PIT",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,16977
"Total","Sean Reid-Foley","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,17034
"Total","Joe Palumbo","TEX",1.2,9,21.59999996,10.79999998,2,0,0.44444444,0.22222222,0.22222222,0.14285714,1.8,0.33333333,1,1.9914197921752932,3.148386028495072,17035
"Total","Austin Davis","2 Tms",1.2,12,0,5.40000002,0,0,0,0.08333333,-0.08333333,0.63636364,4.80000002,0.63636364,1,4.991419802175294,4.991419799375294,17117
"Total","Gabe Speier","KCR",3,11,12,6,2,0,0.36363636,0.18181818,0.18181818,0,0.66666667,0,1,2.5247531221752935,3.810271165768306,17170
"Total","Jalen Beeks","TBR",7.1,26,12.27272728,0,10,1.22727273,0.38461538,0,0.38461538,0.24,0.81818182,0.33333333,0.2173913,2.2368743421752932,1.7788814236169932,17192
"Total","Sam Coonrod","PHI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,17264
"Total","Ranger Suarez","PHI",7.2,33,4.69565218,5.86956522,0.8,0,0.12121212,0.15151515,-0.03030303,0.18518519,1.30434783,0.2173913,0.81818182,4.4512905740324795,5.158159136821294,17277
"Total","Justus Sheffield","SEA",30.1,118,7.71428572,2.67032967,2.88888889,0.59340659,0.22033898,0.07627119,0.14406779,0.22641509,1.08791209,0.27848101,0.77639752,3.3967478419597072,4.102041651496396,17285
"Total","Framber Valdez","HOU",20.2,89,12.62903226,2.17741935,5.8,0,0.3258427,0.05617978,0.26966292,0.24358974,1.16129032,0.36538462,0.7037037,1.541048117930292,2.5673891337212975,17295
"Total","Justin Steele","CHC",5.1,24,16.87500001,8.43750001,2,1.6875,0.41666667,0.20833333,0.20833334,0.10526316,1.3125,0.125,0.71428571,4.637579154968263,2.8546507680882987,17312
"Total","Josh Taylor","BOS",12.1,50,9.48648649,2.91891892,3.25,0,0.26,0.08,0.18,0.22222222,1.13513514,0.3125,1,2.2587836361843223,3.68889140034446,17359
"Total","Brett Martin","TEX",12,53,8.25,4.5,1.83333333,0.75,0.20754717,0.11320755,0.09433962,0.22222222,1.33333333,0.25714286,0.95890411,3.9070216072780677,4.384897634703198,17369
"Total","Jack Flaherty","STL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,17479
"Total","Genesis Cabrera","STL",21.1,90,11.8125,6.75,1.75,0,0.31111111,0.17777778,0.13333333,0.16901408,1.3125,0.27272727,0.96666667,3.068225693703487,4.4373346687042226,17490
"Total","Ricardo Sanchez","STL",1.2,8,10.79999998,10.79999998,1,0,0.25,0.25,0,0,1.2,0,1,6.191419782175293,8.505352254014852,17581
"Total","Tanner Scott","BAL",17.2,83,12.2264151,7.13207547,1.71428571,0.50943396,0.28915663,0.1686747,0.12048193,0.21538462,1.58490566,0.31707317,0.87837838,4.077778811669987,4.828620383940088,17586
"Total","Cristian Javier","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,17606
"Total","Taylor Clarke","ARI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,17611
"Total","Cody Carroll","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,17664
"Total","Jeffrey Springs","2 Tms",17,77,10.58823529,2.11764706,5,2.64705882,0.25974026,0.05194805,0.20779221,0.29577465,1.47058824,0.33333333,0.61111111,5.341497912966718,3.668277962194977,17677
"Total","Tyler Alexander","DET",18.2,73,7.71428571,0.48214286,16,0.96428571,0.21917808,0.01369863,0.20547945,0.24285714,0.96428571,0.28301887,0.86419753,3.1693066733167394,3.8282773072529266,17735
"Total","Angel Perdomo","MIL",6.2,30,13.49999999,12.14999999,1.11111111,0,0.33333333,0.3,0.03333333,0.10526316,1.65,0.2,0.83333333,4.645655250545278,5.9822113894604145,17759
"Total","Jose Alvarado","2 Tms",8,40,13.5,7.875,1.71428571,1.125,0.3,0.175,0.125,0.14285714,1.375,0.2,0.82191781,6.282769393920899,5.794410272315145,17780
"Total","Jake Brentz","KCR",11.2,48,10.02857143,7.71428571,1.3,0,0.27083333,0.20833333,0.0625,0.05714286,1.02857143,0.08,0.91666667,3.480436294968262,4.527750878703199,17783
"Total","Dillon Tate","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,17796
"Total","Daniel Zamora","SEA",1.1,7,0,6.75000002,0,6.75000002,0,0.14285714,-0.14285714,0.33333333,2.25000001,0.2,0.625,15.137579184968262,10.624152080059625,17811
"Total","Adbert Alzolay","CHC",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,17859
"Total","Nestor Cortes","2 Tms",2.1,16,11.57142854,15.42857138,0.75,3.85714285,0.1875,0.25,-0.0625,0.36363636,3.42857142,0.42857143,0.65789474,12.604608152940319,8.68598850324576,17874
"Total","Garrett Cleavinger","2 Tms",3.2,20,12.2727273,7.36363638,1.66666667,7.36363638,0.25,0.15,0.1,0.375,2.45454546,0.33333333,0.83333333,13.506110138310673,5.775900646102649,17897
"Total","Logan Webb","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,17995
"Total","Phil Maton","CLE",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18064
"Total","Matt Hall","BOS",3.2,28,9.81818181,17.18181817,0.57142857,2.45454545,0.14285714,0.25,-0.10714286,0.47619048,4.63636363,0.5625,0.57692308,10.282328872175293,8.840449307464741,18076
"Total","Cody Stashak","MIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18088
"Total","Chance Adams","KCR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18135
"Total","Ryan Helsley","STL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18138
"Total","Anthony Misiewicz","SEA",18,75,9.5,2,4.75,0.5,0.25333333,0.05333333,0.2,0.26086957,1.22222222,0.34,0.92592593,2.6109380112560823,3.5418222610696963,18152
"Total","Jarlin Garcia","SFG",15.1,67,7.04347826,5.2826087,1.33333333,0.58695652,0.17910448,0.13432836,0.04477612,0.16363636,1.17391304,0.18604651,0.91397849,4.60045253221282,5.327876748361628,18282
"Total","Tyler Kinley","COL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18297
"Total","Andrew Suarez","SFG",4,19,4.5,11.25,0.4,0,0.10526316,0.26315789,-0.15789473,0.21428571,2,0.25,0.875,5.941419792175293,7.869696852564812,18300
"Total","Taylor Guilbeau","SEA",2.2,16,0,10.12499999,0,0,0,0.1875,-0.1875,0.38461538,3,0.38461538,0.875,6.566419792175293,8.012627581440922,18306
"Total","Carson Fulmer","CIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18311
"Total","Jacob Waguespack","TOR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18318
"Total","Josh Sborz","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18323
"Total","Taylor Hearn","TEX",16.2,69,13.5,5.4,2.5,1.08,0.36231884,0.14492754,0.2173913,0.20689655,1.32,0.3125,0.83333333,3.5169617843589163,3.7203864382531893,18325
"Total","Alex Young","ARI",24,109,8.625,4.875,1.76923077,1.875,0.21100917,0.11926606,0.09174311,0.26373626,1.54166667,0.28358209,0.83870968,5.712148436602259,5.307555649768175,18333
"Total","Brandon Waddell","2 Tms",2.2,16,10.12500003,10.12500003,1,0,0.1875,0.1875,0,0.38461538,3.00000001,0.5,0.875,4.289499473571777,5.012603375838106,18347
"Total","Trevor Kelley","PHI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18454
"Total","Kenta Maeda","MIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18498
"Total","Dylan Cease","CHW",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18525
"Total","Sam Hentges","CLE",5.2,24,7.94117647,4.76470588,1.66666667,1.58823529,0.20833333,0.125,0.08333333,0.28571429,1.58823529,0.33333333,0.65789474,5.255226214968262,5.733411868580971,18548
"Total","Logan Allen","CLE",5.2,22,4.76470588,1.58823529,3,1.58823529,0.13636364,0.04545455,0.09090909,0.28571429,1.23529412,0.29411765,0.71428571,4.9307889017081585,4.581624918677279,18555
"Total","Travis Bergen","2 Tms",7.1,34,9.81818181,8.59090908,1.14285714,2.45454545,0.23529412,0.20588235,0.02941177,0.16,1.5,0.13333333,0.88235294,8.21729591863879,6.700653858383849,18581
"Total","Travis Lakins Sr.","BAL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18600
"Total","A.J. Minter","ATL",13,53,9.69230769,3.46153846,2.8,0,0.26415094,0.09433962,0.16981132,0.19148936,1.07692308,0.26470588,0.78571429,2.1638092089783947,3.965565129030923,18655
"Total","Jake Woodford","STL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18674
"Total","Kolby Allard","TEX",19.2,82,10.06779661,3.20338983,3.14285714,1.83050847,0.26829268,0.08536585,0.18292683,0.21621622,1.16949153,0.25,0.48913043,4.791161836989916,4.398028066701368,18694
"Total","Nick Neidert","MIA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18699
"Total","Dillon Peters","LAA",0.2,4,0,0,0,13.49999993,0,0,0,0.25,1.49999999,0,5,22.69141969217529,11.868666520541893,18790
"Total","Miguel Del Pozo","PIT",0.2,5,0,26.99999987,0,0,0,0.4,-0.4,0.33333333,4.49999998,0.33333333,1,12.191419752175293,15.083835323297492,18792
"Total","Conner Menez","SFG",5.2,22,7.94117648,3.17647059,2.5,0,0.22727273,0.09090909,0.13636364,0.15,0.88235294,0.2,0.8,2.4728690569668763,4.854858365890525,19199
"Total","Jose Quijada","LAA",4.1,18,14.53846152,6.23076922,2.33333333,2.07692307,0.38888889,0.16666667,0.22222222,0.14285714,1.15384615,0.16666667,0.86956522,5.709173384778416,4.0019607203235745,19200
"Total","Mitch White","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19225
"Total","Caleb Baragar","SFG",14.2,65,6.75,4.90909091,1.375,0.61363636,0.16923077,0.12307692,0.04615385,0.27272727,1.56818182,0.31111111,0.83333333,4.193344997792341,6.625607375007876,19231
"Total","Wes Benjamin","TEX",11.1,50,6.35294117,3.17647059,2,0.79411765,0.16,0.08,0.08,0.28888889,1.5,0.32432432,0.76923077,3.963367768028427,5.749864677177625,19243
"Total","Cole Irvin","2 Tms",17.2,84,8.1509434,1.01886792,8,1.01886792,0.19047619,0.02380952,0.16666667,0.35,1.69811321,0.41269841,0.81560284,3.308406336037864,3.812773471528094,19244
"Total","Jacob Webb","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19274
"Total","Cal Quantrill","SDP",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19312
"Total","Eric Lauer","MIL",10.1,43,6.09677419,1.74193548,3.5,0.87096774,0.1627907,0.04651163,0.11627907,0.225,1.06451613,0.25,0.47169811,3.925667062965578,4.054347699498779,19316
"Total","Joey Lucchesi","2 Tms",8,37,10.125,0,9,0,0.24324324,0,0.24324324,0.33333333,1.375,0.42307692,0.84615385,1.6510393142700197,2.1102644845843317,19320
"Total","A.J. Puk","OAK",2.1,8,15.42857145,0,4,0,0.5,0,0.5,0.125,0.42857143,0.25,1,-0.29099227503173797,0.45708956633540954,19343
"Total","Caleb Ferguson","LAD",5.1,26,15.18750001,1.6875,9,0,0.34615385,0.03846154,0.30769231,0.28,1.5,0.4375,0.875,0.37891979217529315,1.1020236885154904,19349
"Total","Keegan Akin","BAL",13,54,10.38461538,2.07692308,5,0,0.27777778,0.05555556,0.22222222,0.26,1.23076923,0.36111111,0.75,1.5498051181651604,3.0970767469880416,19362
"Total","Walker Buehler","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19374
"Total","Dane Dunning","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19409
"Total","Patrick Sandoval","LAA",20.2,84,9.58064516,2.17741935,4.4,2.61290323,0.26190476,0.05952381,0.20238095,0.20512821,1.01612903,0.2,0.58823529,5.6927860668057715,3.6648347402402868,19447
"Total","Shaun Anderson","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,19453
"Total","Bryan Garcia","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,19457
"Total","Devin Smeltzer","MIN",5,24,5.4,3.6,1.5,0,0.125,0.08333333,0.04166667,0.3,1.6,0.33333333,0.77777778,3.769883537292481,6.782025730609893,19487
