Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Wilmer Flores","SFG",225,0.08888889,0.12888889,0.68965517,0.25247525,0.32444444,0.43564356,0.760088,0.18316831,0.25903614,29.916481425465385,2.3784552788746716,0.3290695553355747,109.03762908057895,5827
"Total","Jean Segura","PHI",241,0.08298755,0.18672199,0.44444444,0.29032258,0.35833333,0.41935484,0.77768817,0.12903226,0.34730539,34.46921154193429,4.985275992079057,0.34171026647090913,114.2852058100213,5933
"Total","J.D. Martinez","BOS",322,0.10559006,0.2515528,0.41975309,0.27464789,0.35403727,0.50352113,0.8575584,0.22887324,0.33157895,51.89370309101534,12.795938628782748,0.36604346986860037,129.74749941621988,6184
"Total","Jordy Mercer","3 Tms",40,0.025,0.175,0.14285714,0.17948718,0.2,0.20512821,0.40512821,0.02564103,0.21875,0.4842822446443744,-4.3134783388159565,0.18158054053783418,8.738385408915448,6547
"Total","Martin Maldonado","HOU",196,0.14285714,0.32142857,0.44444444,0.15060241,0.27692308,0.24698795,0.52391103,0.09638554,0.21212121,13.086557216155379,-10.766469322931918,0.24690547631337093,58.32420143335881,6887
"Total","Yadier Molina","STL",240,0.0375,0.15833333,0.23684211,0.27555556,0.30543933,0.4,0.70543933,0.12444444,0.30054645,27.206529252762607,-1.9016962865640603,0.3061267671225959,94.56108729188661,7007
"Total","Salvador Perez","KCR",266,0.01879699,0.2556391,0.07352941,0.3254902,0.34586466,0.58039216,0.92625682,0.25490196,0.3908046,49.01829044050338,16.94118272042634,0.3911564114846681,150.21574114426522,7304
"Total","Travis d'Arnaud","ATL",218,0.0733945,0.26146789,0.28070175,0.29648241,0.35321101,0.51256281,0.86577382,0.2160804,0.36363636,36.71913254955997,9.98832492480268,0.36945134893469855,131.15760104912266,7739
"Total","Miguel Rojas","MIA",234,0.0982906,0.17521368,0.56097561,0.23557692,0.32051282,0.375,0.69551282,0.13942308,0.27607362,26.496574325522502,-1.7155197579058825,0.30542683601379395,96.42876585480646,7802
"Total","Jose Martinez","2 Tms",48,0.125,0.20833333,0.6,0.19047619,0.29166667,0.26190476,0.55357143,0.07142857,0.22580645,3.171277989572638,-2.8540864093836604,0.24789054089404167,60.31025980524006,7996
"Total","Josh Harrison","WSN",177,0.0960452,0.13559322,0.70833333,0.28571429,0.37288136,0.38961039,0.76249175,0.1038961,0.3203125,25.205925514555915,4.104276371754153,0.34121237703635865,113.70269428986501,8202
"Total","Kurt Suzuki","2 Tms",149,0.08724832,0.19463087,0.44827586,0.22307692,0.2972973,0.3,0.5972973,0.07692308,0.27184466,12.422126753283901,-5.7901804540024555,0.26852757826044754,65.5398242470358,8259
"Total","Donovan Solano","SFG",186,0.0483871,0.22580645,0.21428571,0.29824561,0.33870968,0.42105263,0.75976231,0.12280702,0.37692308,24.751504565779488,1.814230124656483,0.3281427971137467,108.06902194899932,8623
"Total","Elvis Andrus","2 Tms",192,0.07291667,0.140625,0.51851852,0.2259887,0.28125,0.31073446,0.59198446,0.08474576,0.25503356,15.164725833723764,-7.900265193393013,0.26335656146208447,68.19230730779647,8709
