team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
NYY,6/13/2021,1,518934,DJ LeMahieu,1,Y,1B
NYY,6/13/2021,1,650402,Gleyber Torres,2,Y,SS
NYY,6/13/2021,1,596059,Rougned Odor,3,Y,2B
NYY,6/13/2021,1,570482,Giovanny Urshela,4,Y,3B
NYY,6/13/2021,1,596142,Gary Sanchez,5,Y,C
NYY,6/13/2021,1,609280,Miguel Andujar,6,Y,LF
NYY,6/13/2021,1,458731,Brett Gardner,7,Y,CF
NYY,6/13/2021,1,640449,Clint Frazier,8,Y,RF
NYY,6/13/2021,1,593334,Domingo German,SP,Y,
PHI,6/13/2021,1,546318,Odubel Herrera,1,Y,CF
PHI,6/13/2021,1,516416,Jean Segura,2,Y,2B
PHI,6/13/2021,1,592663,JT Realmuto,3,Y,C
PHI,6/13/2021,1,547180,Bryce Harper,4,Y,RF
PHI,6/13/2021,1,656555,Rhys Hoskins,5,Y,1B
PHI,6/13/2021,1,457705,Andrew McCutchen,6,Y,LF
PHI,6/13/2021,1,664761,Alec Bohm,7,Y,3B
PHI,6/13/2021,1,591720,Ronald Torreyes,8,Y,SS
PHI,6/13/2021,1,605400,Aaron Nola,SP,Y,
SF,6/13/2021,1,643565,Mike Tauchman,1,Y,LF
SF,6/13/2021,1,573262,Mike Yastrzemski,2,Y,RF
SF,6/13/2021,1,457763,Buster Posey,3,Y,C
SF,6/13/2021,1,543063,Brandon Crawford,4,Y,SS
SF,6/13/2021,1,527038,Wilmer Flores,5,Y,3B
SF,6/13/2021,1,474832,Brandon Belt,6,Y,1B
SF,6/13/2021,1,456781,Donovan Solano,7,Y,2B
SF,6/13/2021,1,621453,Steven Duggar,8,Y,CF
SF,6/13/2021,1,456501,Johnny Cueto,SP,Y,
WAS,6/13/2021,1,656941,Kyle Schwarber,1,Y,LF
WAS,6/13/2021,1,607208,Trea Turner,2,Y,SS
WAS,6/13/2021,1,665742,Juan Soto,3,Y,RF
WAS,6/13/2021,1,475582,Ryan Zimmerman,4,Y,1B
WAS,6/13/2021,1,543281,Josh Harrison,5,Y,2B
WAS,6/13/2021,1,516770,Starlin Castro,6,Y,3B
WAS,6/13/2021,1,488671,Alex Avila,7,Y,C
WAS,6/13/2021,1,645302,Victor Robles,8,Y,CF
WAS,6/13/2021,1,605452,Joe Ross,SP,Y,
SEA,6/13/2021,1,641487,J.P. Crawford,1,Y,SS
SEA,6/13/2021,1,571745,Mitch Haniger,2,Y,RF
SEA,6/13/2021,1,572122,Kyle Seager,3,Y,DH
SEA,6/13/2021,1,664034,Ty France,4,Y,3B
SEA,6/13/2021,1,641343,Jake Bauers,5,Y,1B
SEA,6/13/2021,1,664238,Dylan Moore,6,Y,2B
SEA,6/13/2021,1,643418,Shed Long,7,Y,LF
SEA,6/13/2021,1,666211,Taylor Trammell,8,Y,CF
SEA,6/13/2021,1,608422,Jose Godoy,9,Y,C
SEA,6/13/2021,1,669302,Logan Gilbert,SP,Y,
CLE,6/13/2021,1,514917,Cesar Hernandez,1,Y,2B
CLE,6/13/2021,1,642708,Amed Rosario,2,Y,SS
CLE,6/13/2021,1,608070,Jose Ramirez,3,Y,3B
CLE,6/13/2021,1,592696,Eddie Rosario,4,Y,LF
CLE,6/13/2021,1,656252,Bobby Bradley,5,Y,DH
CLE,6/13/2021,1,623912,Harold Ramirez,6,Y,RF
CLE,6/13/2021,1,647304,Josh Naylor,7,Y,1B
CLE,6/13/2021,1,595978,Austin Hedges,8,Y,C
CLE,6/13/2021,1,605548,Bradley Zimmer,9,Y,CF
CLE,6/13/2021,1,669456,Shane Bieber,SP,Y,
ATL,6/13/2021,1,660670,Ronald Acuna,1,Y,RF
ATL,6/13/2021,1,518692,Freddie Freeman,2,Y,1B
ATL,6/13/2021,1,645277,Ozzie Albies,3,Y,2B
ATL,6/13/2021,1,501659,Abraham Almonte,4,Y,LF
ATL,6/13/2021,1,663586,Austin Riley,5,Y,3B
ATL,6/13/2021,1,501303,Ehire Adrianza,6,Y,SS
ATL,6/13/2021,1,607345,Kevan Smith,7,Y,C
ATL,6/13/2021,1,628338,Guillermo Heredia,8,Y,CF
ATL,6/13/2021,1,592767,Drew Smyly,SP,Y,
MIA,6/13/2021,1,665862,Jazz Chisholm,1,Y,SS
MIA,6/13/2021,1,516782,Starling Marte,2,Y,CF
MIA,6/13/2021,1,542583,Jesus Aguilar,3,Y,1B
MIA,6/13/2021,1,572816,Corey Dickerson,4,Y,LF
MIA,6/13/2021,1,594807,Adam Duvall,5,Y,RF
MIA,6/13/2021,1,595751,Jorge Alfaro,6,Y,C
MIA,6/13/2021,1,672701,Jose Devers,7,Y,2B
MIA,6/13/2021,1,542932,Jonathon Berti,8,Y,3B
MIA,6/13/2021,1,641154,Pablo Lopez,SP,Y,
COL,6/13/2021,1,606132,Raimel Tapia,1,Y,LF
COL,6/13/2021,1,602074,Yonathan Daza,2,Y,CF
COL,6/13/2021,1,453568,Charlie Blackmon,3,Y,RF
COL,6/13/2021,1,596115,Trevor Story,4,Y,SS
COL,6/13/2021,1,641857,Ryan McMahon,5,Y,3B
COL,6/13/2021,1,663898,Brendan Rodgers,6,Y,2B
COL,6/13/2021,1,543068,C.J. Cron,7,Y,1B
COL,6/13/2021,1,624513,Dom Nunez,8,Y,C
COL,6/13/2021,1,622608,Antonio Senzatela,SP,Y,
CIN,6/13/2021,1,663697,Jonathan India,1,Y,2B
CIN,6/13/2021,1,608385,Jesse Winker,2,Y,LF
CIN,6/13/2021,1,592206,Nick Castellanos,3,Y,RF
CIN,6/13/2021,1,571980,Tyler Naquin,4,Y,CF
CIN,6/13/2021,1,458015,Joey Votto,5,Y,1B
CIN,6/13/2021,1,553993,Eugenio Suarez,6,Y,3B
CIN,6/13/2021,1,571466,Tucker Barnhart,7,Y,C
CIN,6/13/2021,1,571657,Kyle Farmer,8,Y,SS
CIN,6/13/2021,1,663574,Tony Santillan,SP,Y,
BAL,6/13/2021,1,621466,DJ Stewart,1,Y,LF
BAL,6/13/2021,1,641820,Trey Mancini,2,Y,1B
BAL,6/13/2021,1,623993,Anthony Santander,3,Y,RF
BAL,6/13/2021,1,663624,Ryan Mountcastle,4,Y,DH
BAL,6/13/2021,1,669720,Austin Hays,5,Y,CF
BAL,6/13/2021,1,520471,Freddy Galvis,6,Y,SS
BAL,6/13/2021,1,596748,Maikel Franco,7,Y,3B
BAL,6/13/2021,1,642162,Patrick Valaika,8,Y,2B
BAL,6/13/2021,1,642851,Austin Wynns,9,Y,C
BAL,6/13/2021,1,669145,Bruce Zimmermann,SP,Y,
TB,6/13/2021,1,622534,Manuel Margot,1,Y,RF
TB,6/13/2021,1,650490,Yandy Diaz,2,Y,1B
TB,6/13/2021,1,670712,Mike Brosseau,3,Y,2B
TB,6/13/2021,1,668227,Randy Arozarena,4,Y,DH
TB,6/13/2021,1,664040,Brandon Lowe,5,Y,LF
TB,6/13/2021,1,642336,Francisco Mejia,6,Y,C
TB,6/13/2021,1,621563,Joseph Wendle,7,Y,3B
TB,6/13/2021,1,670764,Taylor Walls,8,Y,SS
TB,6/13/2021,1,621433,Brett Phillips,9,Y,CF
TB,6/13/2021,1,608379,Michael Wacha,SP,Y,
TOR,6/13/2021,1,543760,Marcus Semien,1,Y,2B
TOR,6/13/2021,1,666182,Bo Bichette,2,Y,SS
TOR,6/13/2021,1,665489,Vladimir Guerrero,3,Y,1B
TOR,6/13/2021,1,606192,Teoscar Hernandez,4,Y,RF
TOR,6/13/2021,1,545341,Randal Grichuk,5,Y,DH
TOR,6/13/2021,1,666971,Lourdes Gurriel,6,Y,LF
TOR,6/13/2021,1,624415,Cavan Biggio,7,Y,3B
TOR,6/13/2021,1,656180,Riley Adams,8,Y,C
TOR,6/13/2021,1,641505,Jonathan Davis,9,Y,CF
TOR,6/13/2021,1,592662,Robbie Ray,SP,Y,
BOS,6/13/2021,1,571771,Kike Hernandez,1,Y,CF
BOS,6/13/2021,1,657077,Alex Verdugo,2,Y,RF
BOS,6/13/2021,1,502110,J.D. Martinez,3,Y,LF
BOS,6/13/2021,1,593428,Xander Bogaerts,4,Y,SS
BOS,6/13/2021,1,592669,Hunter Renfroe,5,Y,DH
BOS,6/13/2021,1,624414,Christian Arroyo,6,Y,2B
BOS,6/13/2021,1,666915,Bobby Dalbec,7,Y,3B
BOS,6/13/2021,1,608700,Kevin Plawecki,8,Y,C
BOS,6/13/2021,1,542454,Daniel Santana,9,Y,1B
BOS,6/13/2021,1,527048,Martin Perez,SP,Y,
