Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210423;121n;594798;deGrom, Jacob;1;8;1; 58.05;10900;NYM;v was;;6;0
20210423;116s;622072;Wood, Alex;1;9;1; 30.55; 7100;SFO;v mia;;5;3
20210423;124o;571760;Heaney, Andrew;1;0;1; 30.45; 6500;LAA;@ hou;;4;5(F10)
20210423;110a;506433;Darvish, Yu;1;9;1; 30.35; 9700;SDG;@ lad;;6;1
20210423;158a;547942;Kim, Kwang-Hyun;1;9;1; 27.75; 6700;STL;v cin;;5;4
20210423;103t;501985;Minor, Mike;1;0;1; 27.15; 6900;KAN;@ det;;6;2
20210423;1032;457918;Happ, James;1;0;1; 24.70; 6300;MIN;v pit;;2;0
20210423;154g;660623;Ynoa, Huascar;1;9;1; 21.70; 7500;ATL;v ari;;5;4
20210423;125a;543294;Hendricks, Kyle;1;9;; 20.70;;CHC;v mil;;15;2
20210423;153d;608344;Irvin, Cole;1;0;1; 20.60; 6200;OAK;@ bal;;3;1
20210423;1495;477132;Kershaw, Clayton;1;9;1; 20.15;10200;LAD;v sdg;;1;6
20210423;133b;608566;Marquez, German;1;9;1; 20.10; 6100;COL;v phi;;5;4
20210423;134s;607192;Glasnow, Tyler;1;0;1; 19.30;10100;TAM;v tor;;3;5
20210423;121p;571927;Matz, Steven;1;0;1; 19.05; 8900;TOR;@ tam;;5;3
20210423;158j;664141;Brubaker, JT;1;0;1; 18.75; 7800;PIT;@ min;;0;2
20210423;1580;425844;Greinke, Zack;1;0;1; 17.75; 8700;HOU;v laa;;5;4(F10)
20210423;163u;617228;Sawamura, Hirokazu;;0;1; 12.40; 4000;BOS;v sea;;6;5
20210423;114z;519151;Pressly, Ryan;;0;1; 12.10; 7500;HOU;v laa;;5;4(F10)
20210423;109f;521230;Hendriks, Liam;;0;1; 11.15; 4000;CHW;v tex;;9;7
20210423;157e;642121;Sulser, Cole;;0;1; 10.50; 4000;BAL;v oak;;1;3
20210423;144t;645261;Alcantara, Sandy;1;9;1; 10.45; 7400;MIA;@ sfo;;3;5
20210423;140g;656756;Montgomery, Jordan;1;0;1; 10.30; 9200;NYY;@ cle;;5;3
20210423;155a;656302;Cease, Dylan;1;0;1; 9.90; 6600;CHW;v tex;;9;7
20210423;164h;676477;Whitlock, Garrett;;0;1; 9.45; 5500;BOS;v sea;;6;5
20210423;129i;592826;Velasquez, Vincent;1;9;1; 9.40; 5900;PHI;@ col;;4;5
20210423;142c;664208;Maton, Phil;;0;1; 9.15; 4000;CLE;v nyy;;3;5
20210423;161g;664714;Newsome, Ljay;;0;1; 8.70; 5700;SEA;@ bos;;5;6
20210423;110k;476595;Luetge, Lucas;;0;1; 8.40; 4000;NYY;@ cle;;5;3
20210423;154t;622065;Young, Alex;;9;1; 8.25; 7300;ARI;@ atl;;4;5
