team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
ATL,6/21/2021,1,660670,Ronald Acuna,1,Y,RF
ATL,6/21/2021,1,518692,Freddie Freeman,2,Y,1B
ATL,6/21/2021,1,645277,Ozzie Albies,3,Y,2B
ATL,6/21/2021,1,501659,Abraham Almonte,4,Y,LF
ATL,6/21/2021,1,663586,Austin Riley,5,Y,3B
ATL,6/21/2021,1,621020,Dansby Swanson,6,Y,SS
ATL,6/21/2021,1,628338,Guillermo Heredia,7,Y,CF
ATL,6/21/2021,1,607345,Kevan Smith,8,Y,C
ATL,6/21/2021,1,666205,Kyle Muller,SP,Y,
NYM,6/21/2021,1,542340,Jonathan Villar,1,Y,3B
NYM,6/21/2021,1,596019,Francisco Lindor,2,Y,SS
NYM,6/21/2021,1,642086,Dominic Smith,3,Y,LF
NYM,6/21/2021,1,624413,Peter Alonso,4,Y,1B
NYM,6/21/2021,1,607680,Kevin Pillar,5,Y,RF
NYM,6/21/2021,1,606299,Jose Peraza,6,Y,2B
NYM,6/21/2021,1,546991,Albert Almora,7,Y,CF
NYM,6/21/2021,1,621512,Tomas Nido,8,Y,C
NYM,6/21/2021,1,594798,Jacob deGrom,SP,Y,
HOU,6/21/2021,1,514888,Jose Altuve,1,Y,2B
HOU,6/21/2021,1,676801,Chas McCormick,2,Y,RF
HOU,6/21/2021,1,488726,Michael Brantley,3,Y,DH
HOU,6/21/2021,1,493329,Yulieski Gurriel,4,Y,1B
HOU,6/21/2021,1,670541,Yordan Alvarez,5,Y,LF
HOU,6/21/2021,1,621043,Carlos Correa,6,Y,SS
HOU,6/21/2021,1,647351,Abraham Toro,7,Y,3B
HOU,6/21/2021,1,664702,Myles Straw,8,Y,CF
HOU,6/21/2021,1,488771,Jason Castro,9,Y,C
HOU,6/21/2021,1,543606,Jake Odorizzi,SP,Y,
BAL,6/21/2021,1,656775,Cedric Mullins,1,Y,CF
BAL,6/21/2021,1,520471,Freddy Galvis,2,Y,SS
BAL,6/21/2021,1,641820,Trey Mancini,3,Y,1B
BAL,6/21/2021,1,663624,Ryan Mountcastle,4,Y,DH
BAL,6/21/2021,1,621466,DJ Stewart,5,Y,RF
BAL,6/21/2021,1,669720,Austin Hays,6,Y,LF
BAL,6/21/2021,1,596748,Maikel Franco,7,Y,3B
BAL,6/21/2021,1,592859,Steve Wilkerson,8,Y,2B
BAL,6/21/2021,1,600474,Pedro Severino,9,Y,C
BAL,6/21/2021,1,669211,Keegan Akin,SP,Y,
CLE,6/21/2021,1,514917,Cesar Hernandez,1,N,
CLE,6/21/2021,1,642708,Amed Rosario,2,N,
CLE,6/21/2021,1,608070,Jose Ramirez,3,N,
CLE,6/21/2021,1,592696,Eddie Rosario,4,N,
CLE,6/21/2021,1,656252,Bobby Bradley,5,N,
CLE,6/21/2021,1,623912,Harold Ramirez,6,N,
CLE,6/21/2021,1,647304,Josh Naylor,7,N,
CLE,6/21/2021,1,425784,Rene Rivera,8,N,
CLE,6/21/2021,1,650644,Aaron Civale,SP,N,
CHC,6/21/2021,1,592626,Joc Pederson,1,N,
CHC,6/21/2021,1,592178,Kris Bryant,2,N,
CHC,6/21/2021,1,595879,Javier Baez,3,N,
CHC,6/21/2021,1,519203,Anthony Rizzo,4,N,
CHC,6/21/2021,1,575929,Willson Contreras,5,N,
CHC,6/21/2021,1,664023,Ian Happ,6,N,
CHC,6/21/2021,1,518792,Jason Heyward,7,N,
CHC,6/21/2021,1,642727,Sergio Alcantara,8,N,
CHC,6/21/2021,1,640470,Adbert Alzolay,SP,N,
OAK,6/21/2021,1,592192,Mark Canha,1,N,
OAK,6/21/2021,1,657656,Ramon Laureano,2,N,
OAK,6/21/2021,1,621566,Matt Olson,3,N,
OAK,6/21/2021,1,519048,Mitch Moreland,4,N,
OAK,6/21/2021,1,476704,Jed Lowrie,5,N,
OAK,6/21/2021,1,656305,Matt Chapman,6,N,
OAK,6/21/2021,1,669221,Sean Murphy,7,N,
OAK,6/21/2021,1,643393,Tony Kemp,8,N,
OAK,6/21/2021,1,462101,Elvis Andrus,9,N,
OAK,6/21/2021,1,593423,Frankie Montas,SP,N,
TEX,6/21/2021,1,643396,Isiah Kiner-Falefa,1,N,
TEX,6/21/2021,1,663993,Nathaniel Lowe,2,N,
TEX,6/21/2021,1,666969,Adolis Garcia,3,N,
TEX,6/21/2021,1,608336,Joey Gallo,4,N,
TEX,6/21/2021,1,669256,Nick Solak,5,N,
TEX,6/21/2021,1,641432,Willie Calhoun,6,N,
TEX,6/21/2021,1,642201,Eli White,7,N,
TEX,6/21/2021,1,571788,Brock Holt,8,N,
TEX,6/21/2021,1,624431,Jose Trevino,9,N,
TEX,6/21/2021,1,502043,Kyle Gibson,SP,N,
ATL,6/21/2021,2,660670,Ronald Acuna,1,N,
ATL,6/21/2021,2,518692,Freddie Freeman,2,N,
ATL,6/21/2021,2,645277,Ozzie Albies,3,N,
ATL,6/21/2021,2,663586,Austin Riley,4,N,
ATL,6/21/2021,2,621020,Dansby Swanson,5,N,
ATL,6/21/2021,2,501659,Abraham Almonte,6,N,
ATL,6/21/2021,2,661388,William Contreras,7,N,
ATL,6/21/2021,2,542255,Ender Inciarte,8,N,
ATL,6/21/2021,2,666120,Ian Anderson,SP,N,
NYM,6/21/2021,2,542340,Jonathan Villar,1,N,
NYM,6/21/2021,2,596019,Francisco Lindor,2,N,
NYM,6/21/2021,2,624413,Peter Alonso,3,N,
NYM,6/21/2021,2,642086,Dominic Smith,4,N,
NYM,6/21/2021,2,543510,James McCann,5,N,
NYM,6/21/2021,2,641856,Billy McKinney,6,N,
NYM,6/21/2021,2,607680,Kevin Pillar,7,N,
NYM,6/21/2021,2,592863,Mason Williams,8,N,
NYM,6/21/2021,2,595191,Jerad Eickhoff,SP,N,
CIN,6/21/2021,1,663697,Jonathan India,1,Y,2B
CIN,6/21/2021,1,608385,Jesse Winker,2,Y,DH
CIN,6/21/2021,1,592206,Nick Castellanos,3,Y,RF
CIN,6/21/2021,1,663886,Tyler Stephenson,4,Y,C
CIN,6/21/2021,1,458015,Joey Votto,5,Y,1B
CIN,6/21/2021,1,553993,Eugenio Suarez,6,Y,3B
CIN,6/21/2021,1,606157,Aristides Aquino,7,Y,LF
CIN,6/21/2021,1,571657,Kyle Farmer,8,Y,SS
CIN,6/21/2021,1,595981,Scott Heineman,9,Y,CF
CIN,6/21/2021,1,641816,Tyler Mahle,SP,Y,
MIN,6/21/2021,1,593871,Jorge Polanco,1,N,
MIN,6/21/2021,1,518626,Josh Donaldson,2,N,
MIN,6/21/2021,1,443558,Nelson Cruz,3,N,
MIN,6/21/2021,1,621439,Byron Buxton,4,N,
MIN,6/21/2021,1,593934,Miguel Sano,5,N,
MIN,6/21/2021,1,666135,Alex Kirilloff,6,N,
MIN,6/21/2021,1,624503,Nick Gordon,7,N,
MIN,6/21/2021,1,592743,Andrelton Simmons,8,N,
MIN,6/21/2021,1,666163,Ben Rortvedt,9,N,
MIN,6/21/2021,1,457918,J.A. Happ,SP,N,
MIL,6/21/2021,1,543939,Kolten Wong,1,N,
MIL,6/21/2021,1,596129,Daniel Vogelbach,2,N,
MIL,6/21/2021,1,592885,Christian Yelich,3,N,
MIL,6/21/2021,1,541645,Avisail Garcia,4,N,
MIL,6/21/2021,1,553882,Omar Narvaez,5,N,
MIL,6/21/2021,1,642715,Willy Adames,6,N,
MIL,6/21/2021,1,649966,Luis Urias,7,N,
MIL,6/21/2021,1,598265,Jackie Bradley,8,N,
MIL,6/21/2021,1,474463,Brett Anderson,SP,N,
ARI,6/21/2021,1,668942,Josh Rojas,1,N,
ARI,6/21/2021,1,606466,Ketel Marte,2,N,
ARI,6/21/2021,1,500871,Eduardo Escobar,3,N,
ARI,6/21/2021,1,572233,Christian Walker,4,N,
ARI,6/21/2021,1,656976,Pavin Smith,5,N,
ARI,6/21/2021,1,605113,Nick Ahmed,6,N,
ARI,6/21/2021,1,662139,Daulton Varsho,7,N,
ARI,6/21/2021,1,641796,Tim Locastro,8,N,
ARI,6/21/2021,1,518876,Merrill Kelly,SP,N,
LAD,6/21/2021,1,605141,Mookie Betts,1,N,
LAD,6/21/2021,1,666158,Gavin Lux,2,N,
LAD,6/21/2021,1,457759,Justin Turner,3,N,
LAD,6/21/2021,1,669257,Will Smith,4,N,
LAD,6/21/2021,1,607461,Matt Beaty,5,N,
