Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Ka'ai Tom","OAK",0.2,3,0,0,0,0,0,0,0,0.33333333,1.49999999,0.33333333,1,3.137579154968262,5.755865595064295,18136
"Total","Ryan Helsley","STL",12,56,6,6.75,0.88888889,0.75,0.14285714,0.16071429,-0.01785715,0.28888889,1.83333333,0.31578947,0.72815534,5.163003900330983,5.480190172723653,18138
"Total","Jay Flaa","2 Tms",0.2,5,13.49999993,13.49999993,1,26.99999987,0.2,0.2,0,0.5,4.49999998,0,-5,43.63757895496826,12.492438467756362,18140
"Total","Anthony Misiewicz","SEA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.173472913106283,3.173472913106283,18152
"Total","Art Warren","CIN",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,8.374152035160328,18251
"Total","Zac Grotz","SEA",1.1,8,6.75000002,6.75000002,1,6.75000002,0.125,0.125,0,0.42857143,3.00000001,0.4,0,13.691419822175295,6.83383539186561,18256
"Total","Jarlin Garcia","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18282
"Total","Tyler Kinley","COL",25,104,10.08,5.04,2,0.36,0.26923077,0.13461538,0.13461539,0.17241379,1.16,0.23333333,0.59440559,3.248447786959781,4.638824495467318,18297
"Total","Carson Fulmer","3 Tms",16.2,74,10.26,5.94,1.72727273,0.54,0.25675676,0.14864865,0.10810811,0.20967742,1.44,0.28571429,0.80508475,3.814808158870636,4.324481153356106,18311
"Total","Jacob Waguespack","TOR",9,46,8,6,1.33333333,0,0.17391304,0.13043478,0.04347826,0.28205128,1.88888889,0.35483871,0.77777778,3.7469753521752933,5.246746394700475,18318
"Total","Josh Sborz","2 Tms",9,38,10,1,10,1,0.26315789,0.02631579,0.2368421,0.27027027,1.22222222,0.34615385,0.9375,2.7031052033598755,3.259049787364697,18323
"Total","Taylor Hearn","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18325
"Total","James Kaprielian","OAK",11.2,54,6.94285714,4.62857143,1.5,3.08571428,0.16666667,0.11111111,0.05555556,0.25531915,1.54285714,0.23529412,0.89552239,7.8595563845824525,6.622679885241526,18331
"Total","Alex Young","ARI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,18333
"Total","Josh Staumont","KCR",21.2,103,12.87692307,7.47692308,1.72222222,0.83076923,0.30097087,0.17475728,0.12621359,0.23170732,1.70769231,0.34693878,0.80645161,4.411067482315318,5.584908358490839,18335
"Total","Nick Anderson","TBR",7,27,15.42857143,1.28571429,12,1.28571429,0.44444444,0.03703704,0.4074074,0.15384615,0.71428571,0.23076923,0.83333333,2.048562652175293,2.395165004049029,18337
"Total","Jaime Barria","LAA",18.2,84,8.19642857,4.33928571,1.88888889,0.96428571,0.20238095,0.10714286,0.09523809,0.2739726,1.55357143,0.32727273,0.73529412,4.365184022415909,5.1220579180515875,18356
"Total","Thomas Eshelman","BAL",13,57,0.69230769,2.76923077,0.25,2.07692308,0.01754386,0.07017544,-0.05263158,0.32075472,1.61538462,0.28571429,0.6547619,6.960650562175293,6.630572645022319,18361
"Total","Mike Soroka","ATL",7,29,3.85714286,2.57142857,1.5,0,0.10344828,0.06896552,0.03448276,0.30769231,1.42857143,0.34782609,0.54545455,3.619991222175293,4.446395675199373,18383
"Total","Enyel De Los Santos","PHI",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8624209050317377,-2.8624209050317386,18403
"Total","Jose Urquidy","HOU",40,148,7.2,2.025,3.55555556,0.675,0.21621622,0.06081081,0.15540541,0.16058394,0.775,0.18446602,0.61151079,3.2859100977534887,4.248793450986826,18413
"Total","Trevor Kelley","PHI",2,8,18,0,4,0,0.5,0,0.5,0.25,1,0.5,1,-0.8085802078247069,0.15555832237005252,18454
"Total","Junior Fernandez","STL",4.2,28,7.71428573,13.50000002,0.57142857,1.92857143,0.14285714,0.25,-0.10714286,0.28571429,2.78571429,0.3125,0.86206897,8.72439077415379,7.513162784317432,18496
"Total","Kenta Maeda","MIN",60,244,9.45,1.95,4.84615385,1.35,0.25819672,0.05327869,0.20491803,0.21929825,1.05,0.26282051,0.84269663,3.8213791105512223,3.256669319755181,18498
"Total","Phil Bickford","2 Tms",2.2,15,10.12499999,3.375,3,3.375,0.2,0.06666667,0.13333333,0.5,2.625,0.55555556,0.45454545,8.026039304320495,5.83785804849864,18519
"Total","Dylan Cease","CHW",62,270,8.12903226,4.64516129,1.75,1.4516129,0.20740741,0.11851852,0.08888889,0.22566372,1.33870968,0.24848485,0.85526316,5.343945084108933,5.174427680251728,18525
"Total","Travis Bergen","TOR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18581
"Total","Hector Perez","TOR",0.2,3,13.49999993,13.49999993,1,0,0.33333333,0.33333333,0,0,1.49999999,0,1,4.691419782175293,4.6914197846752925,18592
"Total","Travis Lakins Sr.","BAL",16.1,69,9.36734694,4.95918367,1.88888889,1.10204082,0.24637681,0.13043478,0.11594203,0.18644068,1.2244898,0.2195122,0.75581395,4.331610543367571,4.196202324018886,18600
"Total","A.J. Minter","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,18655
