team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
WAS,6/6/2021,1,607208,Trea Turner,1,Y,SS
WAS,6/6/2021,1,665742,Juan Soto,2,Y,RF
WAS,6/6/2021,1,605137,Josh Bell,3,Y,1B
WAS,6/6/2021,1,656941,Kyle Schwarber,4,Y,LF
WAS,6/6/2021,1,516770,Starlin Castro,5,Y,3B
WAS,6/6/2021,1,488671,Alex Avila,6,Y,C
WAS,6/6/2021,1,474568,Jordy Mercer,7,Y,2B
WAS,6/6/2021,1,645302,Victor Robles,8,Y,CF
WAS,6/6/2021,1,608723,Austin Voth,SP,Y,
PHI,6/6/2021,1,546318,Odubel Herrera,1,Y,CF
PHI,6/6/2021,1,592663,JT Realmuto,2,Y,C
PHI,6/6/2021,1,547180,Bryce Harper,3,Y,RF
PHI,6/6/2021,1,656555,Rhys Hoskins,4,Y,1B
PHI,6/6/2021,1,457705,Andrew McCutchen,5,Y,LF
PHI,6/6/2021,1,543543,Brad Miller,6,Y,2B
PHI,6/6/2021,1,664761,Alec Bohm,7,Y,3B
PHI,6/6/2021,1,591720,Ronald Torreyes,8,Y,SS
PHI,6/6/2021,1,592826,Vincent Velasquez,SP,Y,
CLE,6/6/2021,1,514917,Cesar Hernandez,1,Y,2B
CLE,6/6/2021,1,642708,Amed Rosario,2,Y,SS
CLE,6/6/2021,1,608070,Jose Ramirez,3,Y,DH
CLE,6/6/2021,1,592696,Eddie Rosario,4,Y,LF
CLE,6/6/2021,1,623912,Harold Ramirez,5,Y,CF
CLE,6/6/2021,1,647304,Josh Naylor,6,Y,RF
CLE,6/6/2021,1,644374,Yu-Cheng Chang,7,Y,3B
CLE,6/6/2021,1,656252,Bobby Bradley,8,Y,1B
CLE,6/6/2021,1,425784,Rene Rivera,9,Y,C
CLE,6/6/2021,1,615698,Cal Quantrill,SP,Y,
BAL,6/6/2021,1,656775,Cedric Mullins,1,Y,CF
BAL,6/6/2021,1,641820,Trey Mancini,2,Y,1B
BAL,6/6/2021,1,623993,Anthony Santander,3,Y,DH
BAL,6/6/2021,1,520471,Freddy Galvis,4,Y,SS
BAL,6/6/2021,1,663624,Ryan Mountcastle,5,Y,LF
BAL,6/6/2021,1,621466,DJ Stewart,6,Y,RF
BAL,6/6/2021,1,596748,Maikel Franco,7,Y,3B
BAL,6/6/2021,1,602104,Ramon Urias,8,Y,2B
BAL,6/6/2021,1,642851,Austin Wynns,9,Y,C
BAL,6/6/2021,1,605347,Jorge Lopez,SP,Y,
MIA,6/6/2021,1,665862,Jazz Chisholm,1,Y,SS
MIA,6/6/2021,1,516782,Starling Marte,2,Y,CF
MIA,6/6/2021,1,572816,Corey Dickerson,3,Y,LF
MIA,6/6/2021,1,542583,Jesus Aguilar,4,Y,1B
MIA,6/6/2021,1,542932,Jonathon Berti,5,Y,2B
MIA,6/6/2021,1,656371,Isan Diaz,6,Y,3B
MIA,6/6/2021,1,506702,Sandy Leon,7,Y,C
MIA,6/6/2021,1,642423,Magneuris Sierra,8,Y,RF
MIA,6/6/2021,1,645261,Sandy Alcantara,SP,Y,
PIT,6/6/2021,1,624428,Adam Frazier,1,Y,2B
PIT,6/6/2021,1,663647,Ke'Bryan Hayes,2,Y,3B
PIT,6/6/2021,1,668804,Bryan Reynolds,3,Y,CF
PIT,6/6/2021,1,592567,Colin Moran,4,Y,1B
PIT,6/6/2021,1,570256,Gregory Polanco,5,Y,RF
