Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","David Peralta","ARI",85,0.05882353,0.2,0.29411765,0.24050633,0.28235294,0.36708861,0.64944155,0.12658228,0.27868852,8.007635770876142,-2.349553370337752,0.2823426905800315,74.24136496244779,2136
"Total","Mitch Moreland","3 Tms",54,0.07407407,0.27777778,0.26666667,0.25,0.31481481,0.47916667,0.79398148,0.22916667,0.29032258,7.5536572749003295,1.0163688549980048,0.3385967214902242,117.76324487143656,3086
"Total","Robinson Cano","NYM",57,0.05263158,0.14035088,0.375,0.26415094,0.31578947,0.56603774,0.88182721,0.3018868,0.24390244,9.485838950593337,2.3307187268327314,0.36822655326441717,135.5071640506741,3269
"Total","Anthony Rizzo","CHC",111,0.13513514,0.10810811,1.25,0.27173913,0.38738739,0.35869565,0.74608304,0.08695652,0.29113924,15.624138682183933,2.1461713975641237,0.3399336048074671,114.3104364754477,3473
"Total","Eric Hosmer","SDP",98,0.04081633,0.15306122,0.26666667,0.28089888,0.32653061,0.48314607,0.80967668,0.20224719,0.29166667,14.110250480826878,2.21054238116362,0.34498001239737686,119.61208549863217,3516
"Total","Josh Reddick","2 Tms",78,0.08974359,0.20512821,0.4375,0.28169014,0.34615385,0.43661972,0.78277357,0.15492958,0.35185185,11.061298226457632,1.3236914179144277,0.3398721126409677,118.91216042552067,3892
"Total","Michael Brantley","HOU",140,0.03571429,0.15,0.23809524,0.27067669,0.3,0.41353383,0.71353383,0.14285714,0.30630631,16.051489871927057,-0.7630098117510917,0.30758588101182666,99.56975642582144,4106
"Total","Joey Votto","CIN",89,0.15730337,0.24719101,0.63636364,0.17567568,0.31460674,0.32432432,0.63893106,0.14864864,0.20408163,9.259756944145284,-1.6352861234888219,0.2932826367656836,80.00742477653898,4314
"Total","Mike Moustakas","CIN",69,0.11594203,0.17391304,0.66666667,0.18965517,0.30434783,0.31034483,0.61469266,0.12068966,0.2173913,6.3448137665012805,-2.120076311208871,0.2791326210118722,70.52293401448391,4892
"Total","Jason Heyward","CHC",79,0.11392405,0.25316456,0.45,0.14492754,0.24050633,0.27536232,0.51586865,0.13043478,0.16666667,4.324992530896564,-5.261155947194199,0.23356128644339647,44.51305866552691,4940
"Total","Brandon Crawford","SFG",78,0.08974359,0.25641026,0.35,0.17391304,0.25641026,0.33333333,0.58974359,0.15942029,0.19148936,6.140989421834504,-3.2838904047708164,0.2621340797497676,65.83058358711885,5343
"Total","Freddie Freeman","ATL",118,0.13559322,0.20338983,0.66666667,0.2254902,0.33050847,0.37254902,0.70305749,0.14705882,0.25675676,14.307099887109201,-0.004891089224418596,0.31473445993358806,95.60003589433276,5361
"Total","Didi Gregorius","PHI",106,0.03773585,0.21698113,0.17391304,0.20212766,0.24761905,0.42553191,0.67315096,0.22340425,0.2,9.823817109027889,-3.1694689567293857,0.27987194742475235,73.63148781048365,6012
