Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210414;127s;607074;Rodon, Carlos;1;0;1; 47.65; 8900;CHW;v cle;;8;0
20210414;149d;669203;Burnes, Corbin;1;9;1; 36.30; 9600;MIL;v chc;;7;0
20210414;159n;656849;Peterson, David;1;9;1; 34.30; 7100;NYM;v phi;;5;1
20210414;164k;685503;Arihara, Kohei;1;0;1; 24.95; 6500;TEX;@ tam;;5;1
20210414;129f;605452;Ross, Joe;1;8;1; 24.50; 6500;WAS;@ stl;;6;0
20210414;1073;456501;Cueto, Johnny;1;9;; 22.95;;SFO;v cin;;3;0
20210414;145w;641745;Keller, Brad;1;0;1; 21.15; 6100;KAN;v laa;;6;1
20210414;144g;641816;Mahle, Tyler;1;9;; 20.85;;CIN;@ sfo;;0;3
20210414;128v;593958;Rodriguez, Eduardo;1;0;1; 19.65; 6900;BOS;@ min;2;7;1(F7)
20210414;1575;450203;Morton, Charlie;1;9;1; 15.50; 7600;ATL;v mia;;5;6(F10)
20210414;133l;605397;Musgrove, Joe;1;9;; 15.40;;SDG;@ pit;;1;5
20210414;130x;542881;Anderson, Tyler;1;9;; 14.40;;PIT;v sdg;;5;1
20210414;1628;425794;Wainwright, Adam;1;9;1; 13.85; 7300;STL;v was;;0;6
20210414;108f;543135;Eovaldi, Nathan;1;0;1; 13.65; 7000;BOS;@ min;;3;2(F7)
20210414;110h;554430;Wheeler, Zack;1;9;1; 13.05; 8400;PHI;@ nym;;1;5
20210414;155u;669160;May, Dustin;1;9;1; 12.95; 9400;LAD;v col;;4;2
20210414;133d;605242;Fulmer, Michael;1;0;1; 12.85; 5900;DET;@ hou;;6;4
20210414;152u;656288;Canning, Griffin;1;0;1; 12.45; 8200;LAA;@ kan;;1;6
20210414;100x;453562;Arrieta, Jake;1;9;1; 11.65; 8500;CHC;@ mil;;0;7
20210414;116i;573204;Thielbar, Caleb;;0;1; 11.45; 4000;MIN;v bos;2;1;7(F7)
20210414;144k;596027;Maples, Dillon;;6;1; 10.70; 4000;CHC;@ mil;;0;7
20210414;133t;628317;Maeda, Kenta;1;0;1; 10.35; 7200;MIN;v bos;;2;3(F7)
20210414;159k;656232;Bielak, Brandon;;0;1; 10.05; 7600;HOU;v det;;4;6
20210414;161x;621129;Cody, Kyle;;0;1; 10.05; 6100;TEX;@ tam;;5;1
20210414;162a;676596;Fleming, Josh;1;0;1; 9.65; 8200;TAM;v tex;;1;5
20210414;148t;621249;Underwood Jr., Duane;;5;; 8.55;;PIT;v sdg;;5;1
20210414;111y;519293;Smith, Will;;9;1; 8.25; 4000;ATL;v mia;;5;6(F10)
20210414;109x;503569;Dolis, Rafael;;0;1; 8.25; 4000;TOR;v nyy;;5;4
20210414;124b;608349;Knebel, Corey;;5;1; 8.25; 4000;LAD;v col;;4;2
20210414;113d;571901;Loup, Aaron;;9;1; 7.75; 4000;NYM;v phi;;5;1
20210414;120k;554431;Matzek, Tyler;;9;1; 7.65; 6600;ATL;v mia;;5;6(F10)
20210414;144d;595928;Curtiss, John;;9;1; 7.65; 6500;MIA;@ atl;;6;5(F10)
20210414;103f;445276;Jansen, Kenley;;5;1; 7.65; 4000;LAD;v col;;4;2
20210414;136p;621244;Berrios, Jose;1;0;1; 7.55; 8900;MIN;v bos;2;1;7(F7)
20210414;106y;458676;Lindblom, Josh;;7;1; 6.70; 7500;MIL;v chc;;7;0
20210414;137j;621242;Diaz, Edwin;;3;1; 6.25; 4000;NYM;v phi;;5;1
20210414;122m;519326;Strickland, Hunter;;0;1; 6.25; 4000;TAM;v tex;;1;5
20210414;121c;554340;Garcia, Yimi;;9;1; 6.25; 4000;MIA;@ atl;;6;5(F10)
20210414;141d;592773;Stanek, Ryne;;0;1; 6.25; 4000;HOU;v det;;4;6
20210414;107f;543766;Shaw, Bryan;;0;1; 6.25; 4000;CLE;@ chw;;0;8
20210414;159m;621593;Castro, Anthony;;0;1; 5.90; 6000;TOR;v nyy;;5;4
20210414;159y;657006;Steele, Justin;;9;1; 5.65; 7200;CHC;@ mil;;0;7
20210414;141v;656794;Newcomb, Sean;;9;1; 5.65; 5900;ATL;v mia;;5;6(F10)
20210414;148p;622075;Almonte, Yency;;9;1; 5.65; 4000;COL;@ lad;;2;4
20210414;158w;676604;Zuber, Tyler;;0;1; 5.65; 4000;KAN;v laa;;6;1
20210414;126l;598264;Barnes, Matt;;0;1; 5.65; 4000;BOS;@ min;;3;2(F7)
20210414;123m;595014;Treinen, Blake;;5;1; 5.65; 4000;LAD;v col;;4;2
20210414;157b;650530;Garcia, Bryan;;0;1; 5.65; 4000;DET;@ hou;;6;4
20210414;164r;656638;Lange, Alex;;0;1; 5.65; 4000;DET;@ hou;;6;4
20210414;114s;448281;Doolittle, Sean;;9;; 5.65;;CIN;@ sfo;;0;3
20210414;108v;446372;Kluber, Corey;1;0;1; 5.60; 9000;NYY;@ tor;;4;5
20210414;155p;664054;Stashak, Cody;;0;1; 5.50; 4000;MIN;v bos;;2;3(F7)
20210414;155k;622251;Staumont, Josh;;0;1; 5.30; 4000;KAN;v laa;;6;1
20210414;158y;663734;Neidert, Nick;1;9;1; 5.10; 6200;MIA;@ atl;;6;5(F10)
20210414;129q;571710;Givens, Mychal;;9;1; 5.05; 4000;COL;@ lad;;2;4
20210414;130k;592351;Gray, Jon;1;9;1; 4.80; 7200;COL;@ lad;;2;4
20210414;145q;643256;Cimber, Adam;;9;1; 4.40; 4000;MIA;@ atl;;6;5(F10)
20210414;146y;608723;Voth, Austin;;8;1; 4.25; 6100;WAS;@ stl;;6;0
20210414;113u;548384;Raley, Brooks;;0;1; 4.25; 4000;HOU;v det;;4;6
20210414;146z;593833;Suero, Wander;;8;1; 4.25; 4000;WAS;@ stl;;6;0
20210414;137z;571670;Floro, Dylan;;9;1; 4.25; 4000;MIA;@ atl;;6;5(F10)
20210414;164h;676477;Whitlock, Garrett;;0;1; 4.25; 4000;BOS;@ min;2;7;1(F7)
20210414;156k;657277;Webb, Logan;;9;; 4.25;;SFO;v cin;;3;0
20210414;114z;519151;Pressly, Ryan;;0;1; 3.65; 7900;HOU;v det;;4;6
20210414;138o;621052;Reyes, Alex;;4;1; 3.65; 7800;STL;v was;;0;6
20210414;1318;424144;Perez, Oliver;;0;1; 3.65; 4000;CLE;@ chw;;0;8
