Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210627;1495;477132;Kershaw, Clayton;1;9;; 43.00;;LAD;v chc;;7;1
20210627;153d;608344;Irvin, Cole;1;9;1; 34.40; 6500;OAK;@ sfo;;6;2
20210627;110h;554430;Wheeler, Zack;1;9;1; 32.15;10300;PHI;@ nym;;4;2
20210627;166v;666205;Muller, Kyle;1;9;1; 31.45; 4700;ATL;@ cin;;4;0
20210627;161h;669373;Skubal, Tarik;1;0;1; 28.15; 6300;DET;v hou;;2;1(F10)
20210627;146t;641778;Lauer, Eric;1;9;1; 27.10; 8100;MIL;v col;;5;0
20210627;128v;593958;Rodriguez, Eduardo;1;0;1; 26.50; 7500;BOS;v nyy;;9;2
20210627;1310;453286;Scherzer, Max;1;8;1; 24.70;10700;WAS;@ mia;;5;1
20210627;1032;457918;Happ, James;1;0;1; 23.90; 5500;MIN;v cle;;8;2
20210627;106x;543475;Lyles, Jordan;1;0;1; 21.55; 5900;TEX;v kan;;4;1
20210627;110a;506433;Darvish, Yu;1;9;1; 21.30; 9400;SDG;v ari;;5;4
20210627;167f;668820;Kranick, Max;1;9;; 21.25;;PIT;@ stl;;7;2
20210627;114t;543606;Odorizzi, Jake;1;0;1; 15.45; 6900;HOU;@ det;;1;2(F10)
20210627;144g;641816;Mahle, Tyler;1;9;1; 14.70;10000;CIN;v atl;;0;4
20210627;146g;621261;Oswalt, Corey;;9;1; 14.60; 4000;NYM;v phi;;2;4
20210627;155r;622253;Tate, Dillon;;0;1; 14.50; 4000;BAL;@ tor;;2;5
20210627;128y;592346;Gonzalez, Chi-Chi;1;9;1; 14.25; 6600;COL;@ mil;;0;5
20210627;156d;663776;Sandoval, Patrick;1;0;1; 13.65; 9300;LAA;@ tam;;6;4
20210627;133v;548389;Stripling, Ross;1;0;1; 13.05; 6800;TOR;v bal;;5;2
20210627;159e;663903;Singer, Brady;1;0;1; 13.05; 6000;KAN;@ tex;;1;4
20210627;165z;667297;Nance, Tommy;;9;; 12.95;;CHC;@ lad;;1;7
20210627;145u;642232;Yarbrough, Ryan;1;0;1; 12.70; 9200;TAM;v laa;;4;6
20210627;107b;571521;Brothers, Rex;;2;; 12.50;;CHC;@ lad;;1;7
20210627;143e;607481;Bummer, Aaron;;0;1; 10.25; 4000;CHW;v sea;2;7;5(F7)
20210627;153b;642397;Soto, Gregory;;0;1; 9.90; 4000;DET;v hou;;2;1(F10)
20210627;167c;621057;Garza, Justin;;0;1; 9.40; 4000;CLE;@ min;;2;8
20210627;165n;664875;Lawrence, Justin;;4;1; 9.30; 4000;COL;@ mil;;0;5
20210627;150i;621114;Burr, Ryan;1;0;1; 8.50; 4000;CHW;v sea;2;7;5(F7)
20210627;146n;605130;Barlow, Scott;;0;1; 8.25; 4000;KAN;@ tex;;1;4
20210627;161d;676220;Elledge, Seth;;9;1; 8.25; 4000;STL;v pit;;2;7
20210627;157p;605521;Warren, Art;;9;1; 8.25; 4000;CIN;v atl;;0;4
20210627;159m;621593;Castro, Anthony;;0;1; 8.25; 4000;TOR;v bal;;5;2
20210627;122m;519326;Strickland, Hunter;;9;1; 7.65; 4000;MIL;v col;;5;0
20210627;110g;543037;Cole, Gerrit;1;0;1; 7.25;11100;NYY;@ bos;;2;9
20210627;154k;668678;Gallen, Zac;1;9;1; 7.10; 8100;ARI;@ sdg;;4;5
20210627;127b;628452;Iglesias, Raisel;;0;1; 7.00; 4000;LAA;@ tam;;6;4
20210627;164h;676477;Whitlock, Garrett;;0;1; 6.55; 4000;BOS;v nyy;;9;2
20210627;148t;621249;Underwood Jr., Duane;;9;1; 6.35; 4000;PIT;@ stl;;7;2
20210627;1193;453178;Kennedy, Ian;;0;1; 6.25; 4000;TEX;v kan;;4;1
20210627;107d;453265;Watson, Tony;;0;1; 6.25; 4000;LAA;@ tam;;6;4
20210627;148y;672335;Perez, Cionel;;8;1; 6.25; 4000;CIN;v atl;;0;4
20210627;111y;519293;Smith, Will;;6;1; 6.25; 4000;ATL;@ cin;;4;0
20210627;140t;641941;Pagan, Emilio;;9;1; 6.25; 4000;SDG;v ari;;5;4
20210627;163z;647315;Pop, Zach;;9;1; 6.25; 4000;MIA;v was;;1;5
20210627;164j;676969;de Geus, Brett;;6;1; 6.25; 4000;ARI;@ sdg;;4;5
20210627;162p;641360;Bickford, Phil;;7;; 6.25;;LAD;v chc;;7;1
20210627;156g;658551;Fernandez, Junior;;9;1; 6.10; 4000;STL;v pit;;2;7
20210627;138f;594577;Mayers, Mike;;0;1; 5.95; 4000;LAA;@ tam;;6;4
20210627;148q;622098;Smith, Drew;;9;1; 5.90; 4000;NYM;v phi;;2;4
20210627;144a;605441;Rios, Yacksel;;0;1; 5.65; 4000;BOS;v nyy;;9;2
20210627;130u;608648;Duffey, Tyler;;0;1; 5.65; 4000;MIN;v cle;;8;2
