Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Aaron Hicks","NYY",247,0.17813765,0.20242915,0.88,0.20100503,0.35222672,0.34673367,0.69896039,0.14572864,0.24137931,30.638144766692932,0.4367788934753478,0.31693374044526884,101.51422314513195,5297
"Total","Brandon Crawford","SFG",278,0.08633094,0.24100719,0.35820896,0.27530364,0.34892086,0.53441296,0.88333382,0.25910932,0.31325301,46.317552446712284,12.510727211226257,0.37074791863016837,136.80464267933706,5343
"Total","Freddie Freeman","ATL",357,0.17647059,0.13165266,1.34042553,0.32068966,0.44817927,0.63448276,1.08266203,0.3137931,0.32432432,82.1991907537664,38.788346926936,0.4458495063962464,181.6488637806322,5361
"Total","Pablo Sandoval","2 Tms",126,0.07936508,0.23015873,0.34482759,0.22608696,0.28571429,0.36521739,0.65093168,0.13913043,0.25609756,12.090835098784652,-3.3147338436429816,0.28632510938341654,79.04862143024262,5409
"Total","Ji-Man Choi","TBR",155,0.16774194,0.23225806,0.72222222,0.26190476,0.38064516,0.46825397,0.84889913,0.20634921,0.3258427,24.681816912759317,5.484027683306705,0.36203201923495026,134.76472840580632,5452
"Total","Marwin Gonzalez","2 Tms",253,0.09090909,0.24110672,0.37704918,0.19724771,0.29644269,0.30733945,0.60378214,0.11009174,0.24025974,22.275310150813354,-8.402239516843066,0.2741832711951064,70.0743261511752,5497
"Total","Leury Garcia","CHW",162,0.07407407,0.20987654,0.35294118,0.24161074,0.29813665,0.32214765,0.6202843,0.08053691,0.30088496,14.633254806418366,-4.746298980991892,0.27685053156029366,76.45349996070256,5913
"Total","Nick Markakis","ATL",123,0.06504065,0.16260163,0.4,0.23684211,0.29268293,0.38596491,0.67864784,0.1491228,0.27956989,12.817015542967699,-2.6229807293578165,0.294486111741725,80.1474065074327,5930
"Total","Didi Gregorius","PHI",259,0.06177606,0.11969112,0.51612903,0.28870293,0.33976834,0.45188285,0.79165119,0.16317992,0.3,36.43180306106615,4.750901257989884,0.33695854579701146,111.45024364893993,6012
"Total","Eduardo Escobar","ARI",323,0.0619195,0.21981424,0.28169014,0.21070234,0.26315789,0.37792642,0.64108431,0.16722408,0.23744292,28.207687171127183,-10.845839640174527,0.27399974055588244,69.1563873111062,6153
"Total","Freddy Galvis","2 Tms",237,0.08438819,0.19831224,0.42553191,0.23076923,0.31779661,0.43269231,0.75048892,0.20192308,0.25,31.028171309691835,2.30546610192673,0.32695843759229626,105.35259314308038,6609
"Total","Alex Avila","2 Tms",87,0.1954023,0.35632184,0.5483871,0.17142857,0.33333333,0.32857143,0.66190476,0.15714286,0.28947368,9.759847673724813,-0.8037230343116095,0.30402833702920495,90.28288281697017,7476
