Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Madison Bumgarner","ARI",80.2,359,7.36363636,2.67768595,2.75,2.11983471,0.18384401,0.06685237,0.11699164,0.26791277,1.36363636,0.27916667,0.71734475,5.847685172441124,5.44781740896771,5524
"Total","Nik Turley","PIT",15.2,61,6.89361702,2.29787234,3,0,0.19672131,0.06557377,0.13114754,0.1509434,0.76595745,0.18604651,0.42857143,2.808441072175293,5.023908329254211,5530
"Total","Trevor Cahill","SFG",0,1,0,9,0,0,0,1,-1,0,1,0,1,6.191419792175293,6.191419792175293,6249
"Total","Chris Archer","TBR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,6345
"Total","Jake Odorizzi","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,6397
"Total","Trevor May","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,6398
"Total","Steve Cishek","LAA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,6483
"Total","Alex Cobb","LAA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,6562
"Total","Brad Brach","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,6627
"Total","Carlos Carrasco","CLE",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,6632
"Total","Craig Kimbrel","CHC",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,6655
"Total","Andrew Miller","STL",12,60,7.5,4.5,1.66666667,1.5,0.16666667,0.1,0.06666667,0.35294118,2,0.41025641,0.82644628,5.921977339865487,5.883132071476898,6785
"Total","Sam Freeman","WSN",1.2,9,5.39999999,10.79999998,0.5,0,0.11111111,0.22222222,-0.11111111,0.14285714,1.8,0.16666667,1,5.591419792175293,7.905352255214851,6832
"Total","Johnny Cueto","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1914197921752936,3.1914197921752936,6893
"Total","Chase Anderson","PHI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,6895
"Total","Martin Perez","BOS",97.1,414,7.39726027,3.60616438,2.05128205,0.92465753,0.19323671,0.0942029,0.09903381,0.2479564,1.33561644,0.28825623,0.78333333,4.183097849521784,4.7922637364469525,6902
"Total","Pat Venditte","MIA",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,7108
"Total","Craig Stammen","SDP",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,7274
"Total","J.A. Happ","2 Tms",78.1,332,7.23829787,2.98723404,2.42307692,1.60851064,0.18975904,0.07831325,0.11144579,0.24916944,1.2893617,0.26872247,0.74340528,4.948869649891575,5.246129663219795,7410
"Total","Gio Gonzalez","CHW",22.1,107,9.67164179,4.8358209,2,2.01492537,0.22429907,0.11214953,0.11214954,0.31578947,1.88059702,0.37878788,0.8,5.564554122175293,4.294580873566847,7448
"Total","Jake McGee","2 Tms",31.1,123,14.07446809,1.72340426,8.16666667,1.72340426,0.39837398,0.04878049,0.34959349,0.18965517,0.89361702,0.25806452,0.71428571,3.099524138102029,2.8028978431122415,7550
"Total","Jordan Lyles","TEX",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,7593
"Total","Tommy Milone","3 Tms",39.1,185,9.15254237,0.91525424,10,1.83050847,0.21621622,0.02162162,0.1945946,0.34463277,1.65254237,0.40458015,0.66308244,4.245071827997149,4.089850335434213,7608
"Total","Richard Bleier","2 Tms",16.2,71,7.02,1.62,4.33333333,1.62,0.18309859,0.04225352,0.14084507,0.24242424,1.14,0.25490196,0.94936709,4.654808158870636,3.3730879057288066,7803
"Total","Hunter Strickland","LAA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,7836
"Total","Will Smith","ATL",25.2,108,12.27272728,2.80519481,4.375,2.1038961,0.32407407,0.07407407,0.25,0.21212121,1.12987013,0.25862069,0.83333333,4.522891615660639,3.48782223270194,8048
"Total","Brett Anderson","MIL",68.2,300,5.63592233,2.3592233,2.38888889,1.31067961,0.14333333,0.06,0.08333333,0.28467153,1.39805825,0.30088496,0.78823529,4.7258882513705505,4.555392927818711,8223
"Total","Lucas Luetge","NYY",17.2,70,9.67924528,1.52830189,6.33333333,0.50943396,0.27142857,0.04285714,0.22857143,0.20895522,0.96226415,0.27659574,0.64102564,2.231918774968262,3.4721349686315275,8337
"Total","Deolis Guerra","2 Tms",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,8410
"Total","Wade Miley","CIN",49.2,218,7.24832215,3.62416107,2,0.72483221,0.18348624,0.09174312,0.09174312,0.25,1.38926174,0.29411765,0.71428571,3.8527561951658296,3.847052593935258,8779
"Total","Brad Hand","2 Tms",36.2,150,10.06363637,2.45454545,4.1,0.49090909,0.27333333,0.06666667,0.20666666,0.19230769,0.95454545,0.24731183,0.74585635,2.7841496745867813,4.256655203817361,9111
"Total","Nathan Eovaldi","BOS",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,9132
"Total","Patrick Corbin","WSN",95.1,433,7.26923077,3.11538462,2.33333333,1.88811189,0.1778291,0.07621247,0.10161663,0.31806616,1.65734266,0.34883721,0.73484848,5.379292215380875,4.529660262360131,9323
"Total","Josh Tomlin","ATL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,9388
"Total","Dallas Keuchel","CHW",106,432,4.9245283,2.46226415,2,0.8490566,0.13425926,0.06712963,0.06712963,0.23809524,1.16981132,0.25449102,0.81081081,4.145123623032089,4.168138729907432,9434
"Total","Ryan Buchter","2 Tms",5.2,23,14.29411766,4.76470589,3,0,0.39130435,0.13043478,0.26086957,0.15,1.05882353,0.27272727,1,1.5810148180368104,3.493718000055998,9456
"Total","Brian Moran","2 Tms",2.2,13,13.50000003,6.75000002,2,3.37500001,0.30769231,0.15384615,0.15384616,0.27272727,1.875,0.33333333,0.83333333,7.316419802175292,4.61073148866178,9646
"Total","David Hale","PHI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,9756
"Total","Garrett Richards","2 Tms",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,9784
"Total","Rex Brothers","CHC",10.2,47,17.71875001,3.375,5.25,2.53125,0.44680851,0.08510638,0.36170213,0.23809524,1.3125,0.38888889,0.83333333,4.2693092346065225,2.774683119764923,9794
"Total","Sergio Romo","2 Tms",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,9817
"Total","Chaz Roe","TBR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,9866
"Total","Chris Rusin","ATL",1.1,7,6.75000002,6.75000002,1,6.75000002,0.14285714,0.14285714,0,0.5,3.00000001,0.5,0.76923077,13.691419822175295,5.387627592957951,9895
"Total","Mike Minor","3 Tms",98,412,10.01020408,3.21428571,3.11428571,1.83673469,0.26456311,0.08495146,0.17961165,0.22849462,1.2244898,0.26530612,0.69473684,4.7521241809313,4.3334105089389885,10021
"Total","Tyler Matzek","ATL",31.1,141,13.5,5.17021276,2.61111111,0.57446808,0.33333333,0.12765957,0.20567376,0.23333333,1.46808511,0.36111111,0.81858407,2.9126169599885166,3.5630233097052817,10058
"Total","Brooks Raley","2 Tms",24.1,108,11.46575343,2.95890411,3.875,1.47945205,0.28703704,0.07407407,0.21296297,0.23958333,1.2739726,0.30645161,0.63380282,4.106386010170786,3.5509149655914314,10061
"Total","Caleb Thielbar","MIN",28.1,121,12.38823529,3.49411765,3.54545455,0.31764706,0.32231405,0.09090909,0.23140496,0.24074074,1.30588235,0.36231884,0.87431694,2.1400199346801125,3.768713838070463,10078
"Total","Stephen Strasburg","WSN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,10131
"Total","Shelby Miller","CHC",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,10197
"Total","Aroldis Chapman","NYY",24.2,94,17.14864865,4.01351351,4.27272727,1.09459459,0.5,0.11702128,0.38297872,0.1375,0.89189189,0.25,0.90425532,2.3840431370781645,2.072638594812397,10233
