Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210516;147h;642547;Peralta, Freddy;1;9;1; 31.70; 9200;MIL;v atl;;10;9
20210516;125a;543294;Hendricks, Kyle;1;0;1; 31.20; 6800;CHC;@ det;;5;1
20210516;163h;669145;Zimmermann, Bruce;;0;1; 24.95; 5400;BAL;v nyy;;10;6
20210516;143g;607200;Fedde, Erick;1;8;1; 24.75; 6400;WAS;@ ari;;3;0
20210516;162a;676596;Fleming, Josh;1;0;1; 24.65; 7000;TAM;v nym;;7;1
20210516;116s;622072;Wood, Alex;1;9;1; 22.10; 9400;SFO;@ pit;;4;1
20210516;123v;592662;Ray, Robbie;1;0;1; 21.35; 7200;TOR;v phi;;10;8
20210516;128q;621121;McCullers, Lance;1;0;1; 19.30; 9600;HOU;v tex;;6;2
20210516;159e;663903;Singer, Brady;1;0;1; 18.85; 6500;KAN;@ chw;;3;4
20210516;153m;656605;Keller, Mitch;1;9;1; 17.85; 6000;PIT;v sfo;;1;4
20210516;129y;571510;Boyd, Matt;1;0;1; 16.70; 7000;DET;v chc;;1;5
20210516;133c;622608;Senzatela, Antonio;1;9;; 15.55;;COL;v cin;;6;7
20210516;155a;656302;Cease, Dylan;1;0;1; 15.15; 7400;CHW;v kan;;4;3
20210516;111t;500779;Quintana, Jose;1;0;1; 14.75; 6200;LAA;@ bos;;6;5
20210516;140d;623149;Sewald, Paul;;0;1; 14.70; 4000;SEA;v cle;;3;2
20210516;117k;502043;Gibson, Kyle;1;0;1; 14.15; 8100;TEX;@ hou;;2;6
20210516;156c;667498;Dugger, Robert;1;0;1; 14.15; 4000;SEA;v cle;;3;2
20210516;138p;596133;Weaver, Luke;1;9;1; 13.20; 8300;ARI;v was;;0;3
20210516;147u;669456;Bieber, Shane;1;0;1; 13.10;10500;CLE;@ sea;;2;3
20210516;149a;641154;Lopez, Pablo;1;9;1; 12.45; 7200;MIA;@ lad;;3;2
20210516;165m;670955;Uceta, Edwin;;9;1; 12.35; 4000;LAD;v mia;;2;3
