Date;GID;MLB_ID;Name;Starter;Bat order;DK posn;DK pts;DK sal;Team;Oppt;dblhdr;Tm Runs;Opp Runs
20210422;159b;664299;Javier, Cristian;1;0;1; 30.25; 9600;HOU;v laa;;8;2
20210422;145c;621111;Buehler, Walker;1;9;1; 27.35;10000;LAD;v sdg;;2;3
20210422;163t;677960;Weathers, Ryan;1;9;1; 22.95; 7300;SDG;@ lad;;3;2
20210422;142a;593334;German, Domingo;1;0;; 20.70;;NYY;@ cle;;6;3
20210422;125f;592717;Sanchez, Aaron;1;9;1; 17.45; 7100;SFO;v mia;;3;0
20210422;139j;592866;Williams, Trevor;1;9;1; 15.65; 8500;CHC;v nym;;4;3(F10)
20210422;154q;650644;Civale, Aaron;1;0;; 15.20;;CLE;v nyy;;3;6
20210422;140q;601713;Pivetta, Nick;1;0;1; 15.10; 7400;BOS;v sea;;3;7(F10)
20210422;149y;656887;Reid-Foley, Sean;;9;1; 14.75; 4000;NYM;@ chc;;3;4(F10)
20210422;158g;642203;Widener, Taylor;1;9;1; 14.40; 7400;ARI;@ cin;;14;11(F10)
20210422;153m;656605;Keller, Mitch;1;0;1; 14.25; 8200;PIT;@ det;;4;2
20210422;138w;656546;Hoffman, Jeff;1;9;1; 14.25; 8000;CIN;v ari;;11;14(F10)
20210422;157n;643290;Dunn, Justin;1;0;1; 12.45; 6800;SEA;@ bos;;7;3(F10)
20210422;120t;570632;Urena, Jose;1;0;1; 12.15; 6900;DET;v pit;;2;4
20210422;139p;592761;Smith, Caleb;;9;1; 10.40; 8400;ARI;@ cin;;14;11(F10)
20210422;163z;647315;Pop, Zach;;9;1; 8.50; 4000;MIA;@ sfo;;0;3
20210422;145z;664192;Lucchesi, Joey;1;9;1; 8.35; 6500;NYM;@ chc;;3;4(F10)
20210422;1572;453343;Melancon, Mark;;7;1; 8.25; 4000;SDG;@ lad;;3;2
20210422;1715;459429;McGee, Jake;;7;1; 8.25; 4000;SFO;v mia;;3;0
20210422;123y;606160;Montero, Rafael;;0;1; 8.25; 4000;SEA;@ bos;;7;3(F10)
20210422;100d;547973;Chapman, Aroldis;;0;; 7.65;;NYY;@ cle;;6;3
20210422;148t;621249;Underwood Jr., Duane;;0;1; 7.20; 4000;PIT;@ det;;4;2
20210422;126z;595465;Winkler, Daniel;;9;1; 7.05; 4000;CHC;v nym;;4;3(F10)
20210422;125k;605177;Chafin, Andrew;;9;1; 7.00; 4000;CHC;v nym;;4;3(F10)
20210422;122w;594985;Rowen, Ben;;0;1; 6.65; 4000;LAA;@ hou;;2;8
20210422;126b;608665;Graveman, Kendall;;0;1; 6.25; 6600;SEA;@ bos;;7;3(F10)
20210422;165c;666619;Santos, Gregory;;9;; 6.25;;SFO;v mia;;3;0
20210422;114z;519151;Pressly, Ryan;;0;1; 5.65; 7300;HOU;v laa;;8;2
20210422;148f;607572;Howard, Sam;;0;1; 5.50; 4000;PIT;@ det;;4;2
20210422;160e;641447;Castano, Daniel;1;9;1; 5.05; 6100;MIA;@ sfo;;0;3
20210422;137j;621242;Diaz, Edwin;;7;1; 4.60; 4000;NYM;@ chc;;3;4(F10)
20210422;161k;622503;Crismatt, Nabil;;7;1; 4.30; 6600;SDG;@ lad;;3;2
20210422;1914;501925;Smith, Joe;;0;1; 4.30; 4000;HOU;v laa;;8;2
20210422;144d;595928;Curtiss, John;;9;1; 4.25; 6900;MIA;@ sfo;;0;3
20210422;126l;598264;Barnes, Matt;;0;1; 4.25; 4000;BOS;v sea;;3;7(F10)
20210422;131q;518397;Alexander, Scott;;9;1; 4.25; 4000;LAD;v sdg;;2;3
20210422;100p;518886;Kimbrel, Craig;;9;1; 4.25; 4000;CHC;v nym;;4;3(F10)
20210422;144o;593144;Rodriguez, Richard;;0;1; 4.25; 4000;PIT;@ det;;4;2
20210422;136w;643338;Green, Chad;;0;; 4.25;;NYY;@ cle;;6;3
20210422;132v;607219;Romano, Sal;;5;1; 3.80; 4000;CIN;v ari;;11;14(F10)
20210422;129n;605538;Wisler, Matt;;9;1; 3.65; 6700;SFO;v mia;;3;0
20210422;164d;676684;Vest, Will;;0;1; 3.65; 4000;SEA;@ bos;;7;3(F10)
20210422;121m;543507;May, Trevor;;9;1; 3.65; 4000;NYM;@ chc;;3;4(F10)
20210422;148k;642528;Loaisiga, Jonathan;;0;; 3.65;;NYY;@ cle;;6;3
20210422;122c;594987;Sadler, Casey;;0;1; 3.05; 4000;SEA;@ bos;;7;3(F10)
20210422;164x;656266;Bukauskas, J.B.;;9;1; 2.90; 8700;ARI;@ cin;;14;11(F10)
20210422;113d;571901;Loup, Aaron;;9;1; 2.90; 4000;NYM;@ chc;;3;4(F10)
20210422;164r;656638;Lange, Alex;;0;1; 2.90; 4000;DET;v pit;;2;4
20210422;127g;612434;Castro, Miguel;;9;1; 2.75; 4000;NYM;@ chc;;3;4(F10)
20210422;157q;675916;Karinchak, James;;0;; 2.75;;CLE;v nyy;;3;6
20210422;1318;424144;Perez, Oliver;;0;; 2.45;;CLE;v nyy;;3;6
20210422;154t;622065;Young, Alex;;9;1; 2.30; 8000;ARI;@ cin;;14;11(F10)
20210422;158u;664948;Misiewicz, Anthony;;0;1; 2.25; 5700;SEA;@ bos;;7;3(F10)
20210422;156z;643511;Rogers, Tyler;;7;1; 2.25; 4000;SFO;v mia;;3;0
20210422;113u;548384;Raley, Brooks;;0;1; 2.25; 4000;HOU;v laa;;8;2
20210422;135n;608717;Stratton, Chris;;0;1; 1.65; 8600;PIT;@ det;;4;2
20210422;126q;542882;Andriese, Matt;;0;1; 1.65; 6200;BOS;v sea;;3;7(F10)
20210422;147c;592094;Adam, Jason;;9;1; 1.65; 4000;CHC;v nym;;4;3(F10)
20210422;145x;657612;Hill, Tim;;7;1; 1.65; 4000;SDG;@ lad;;3;2
20210422;142v;613534;Adams, Austin;;9;1; 1.55; 4000;SDG;@ lad;;3;2
20210422;129g;448855;Guerra, Junior;;0;1; 1.45; 5700;LAA;@ hou;;2;8
20210422;115q;542585;Cisnero, Jose;;0;1; 0.90; 4000;DET;v pit;;2;4
