Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Jean Segura","PHI",120,0.09166667,0.16666667,0.55,0.27777778,0.34166667,0.47222222,0.81388889,0.19444444,0.29761905,17.135637768545372,2.590460055508836,0.34097707169687647,114.44648591757199,5933
"Total","Eduardo Escobar","ARI",113,0.05309735,0.15929204,0.33333333,0.24528302,0.28318584,0.43396226,0.7171481,0.18867924,0.25,12.473566852907759,-1.291197508175748,0.304226459137031,88.15971435722699,6153
"Total","J.D. Martinez","BOS",123,0.07317073,0.17886179,0.40909091,0.24107143,0.30081301,0.41071429,0.7115273,0.16964286,0.26436782,13.263307962149451,-1.6405849125682619,0.29885195394357045,84.9459602148573,6184
"Total","Freddy Galvis","2 Tms",92,0.05434783,0.2173913,0.25,0.25287356,0.29347826,0.44827586,0.74175412,0.1954023,0.28571429,11.39907617242592,0.3418891889001674,0.3187041917572851,100.91716590568603,6609
"Total","Martin Maldonado","HOU",105,0.0952381,0.3047619,0.3125,0.26086957,0.34615385,0.47826087,0.82441472,0.2173913,0.34545455,16.455914485188806,3.7400528070653345,0.3572407370576492,133.3143822130608,6887
"Total","Yadier Molina","STL",53,0.0754717,0.22641509,0.33333333,0.29166667,0.35849057,0.66666667,1.02515724,0.375,0.3125,11.220282286314813,4.7727820648835575,0.4277409899909541,174.28723170222972,7007
"Total","Salvador Perez","KCR",91,0.03296703,0.21978022,0.15,0.23255814,0.27472527,0.44186047,0.71658574,0.20930233,0.24590164,10.528329383932796,-0.4122642312414966,0.306768774331271,93.22826728803464,7304
"Total","Travis d'Arnaud","ATL",53,0.0754717,0.24528302,0.30769231,0.25,0.30188679,0.29166667,0.59355346,0.04166667,0.33333333,4.240584803943582,-2.2694608138752503,0.2665936497022521,63.00464931293559,7739
"Total","Miguel Rojas","MIA",101,0.0990099,0.04950495,2,0.40909091,0.48514851,0.65909091,1.14423942,0.25,0.4125,26.42900532200281,14.304607910060327,0.4847958548234241,214.8094590494913,7802
"Total","Jose Martinez","2 Tms",50,0.08,0.34,0.23529412,0.17391304,0.24,0.32608696,0.56608696,0.15217392,0.25,3.227509928907866,-3.048911320004945,0.24748699426651,56.30164357693072,7996
"Total","Josh Harrison","WSN",63,0.01587302,0.11111111,0.14285714,0.31034483,0.34920635,0.55172414,0.90093049,0.24137931,0.29166667,11.030114913609262,3.3362654990222413,0.38146673497699557,138.7063043607045,8202
"Total","Kurt Suzuki","2 Tms",72,0.05555556,0.11111111,0.5,0.27868852,0.36619718,0.44262295,0.80882013,0.16393443,0.28846154,11.093953772678487,2.386504269435518,0.35412468037135164,123.32635043484866,8259
"Total","Ehire Adrianza","2 Tms",67,0.08955224,0.19402985,0.46153846,0.2,0.28358209,0.26666667,0.55024876,0.06666667,0.25531915,4.710101294027115,-3.494796877099727,0.25324391962876963,56.19482610381669,8418
"Total","Donovan Solano","SFG",98,0.04081633,0.15306122,0.26666667,0.32258065,0.34693878,0.46236559,0.80930437,0.13978494,0.36363636,14.625667734821384,2.6366090688901593,0.34780829901597937,121.47735486923908,8623
"Total","Elvis Andrus","2 Tms",94,0.03191489,0.20212766,0.15789474,0.15555556,0.18085106,0.23333333,0.41418439,0.07777777,0.18309859,0.7770092745912125,-10.495494332383867,0.1754775611303186,8.813045213715412,8709
"Total","Khris Davis","2 Tms",59,0.13559322,0.20338983,0.66666667,0.29787234,0.40677966,0.40425532,0.81103498,0.10638298,0.37837838,9.311458904036407,2.0661128496016308,0.35877710479800984,132.48872454536584,9112
"Total","Paul Goldschmidt","STL",78,0.17948718,0.21794872,0.82352941,0.25806452,0.3974359,0.41935484,0.81679074,0.16129032,0.31818182,12.613596334200238,3.1887165075949175,0.36229782150341916,132.00391760055194,9218
"Total","Starling Marte","2 Tms",92,0.07608696,0.09782609,0.77777778,0.31707317,0.39130435,0.42682927,0.81813362,0.1097561,0.34722222,14.417820828430447,3.083647089473996,0.35891568988234135,128.31683576618684,9241
"Total","AJ Pollock","LAD",97,0.08247423,0.19587629,0.42105263,0.32183908,0.37113402,0.63218391,1.00331793,0.31034483,0.33333333,19.003876047724912,7.158215920025536,0.40458127539208594,159.24400812499965,9256
"Total","Evan Longoria","SFG",102,0.1372549,0.14705882,0.93333333,0.33333333,0.42156863,0.63218391,1.05375254,0.29885058,0.33333333,22.646583866250687,10.253697123301201,0.437697491645813,182.00739319180306,9368
"Total","Yan Gomes","WSN",55,0.01818182,0.10909091,0.16666667,0.34615385,0.34545455,0.59615385,0.9416084,0.25,0.33333333,9.997449403621413,3.3256975021140347,0.388785247369246,143.99286906394963,9627
"Total","Christian Vazquez","BOS",111,0.08108108,0.24324324,0.33333333,0.22772277,0.28828829,0.40594059,0.69422888,0.17821782,0.25714286,12.15343108677661,-1.3334712544699947,0.29959780246287854,85.50076668412655,9774
"Total","Nolan Arenado","2 Tms",96,0.04166667,0.125,0.33333333,0.3,0.32291667,0.52222222,0.84513889,0.22222222,0.29333333,14.781367672016309,3.08804113917558,0.35663794726133347,117.31083600756584,9777
"Total","Andrew McCutchen","PHI",144,0.125,0.22916667,0.54545455,0.29032258,0.38888889,0.58870968,0.97759857,0.2983871,0.32926829,29.189045473983867,11.765211410871135,0.4144816965692573,162.8328651710129,9847
"Total","DJ LeMahieu","NYY",114,0.10526316,0.10526316,1,0.32673267,0.39473684,0.47524752,0.86998436,0.14851485,0.35227273,19.485106962212328,5.800320478566887,0.37495591577175447,141.43291436838751,9874
"Total","Darin Ruf","SFG",110,0.14545455,0.18181818,0.8,0.25806452,0.36363636,0.55913978,0.92277614,0.30107526,0.25373134,19.52469026619179,6.118641066789454,0.38308387994766235,144.98087213867845,9929
"Total","Wil Myers","SDP",107,0.11214953,0.22429907,0.5,0.26315789,0.34579439,0.55789474,0.90368913,0.29473685,0.28125,18.65307549779397,5.552131120312033,0.3779627433362997,140.56106161806957,10047
"Total","Max Stassi","LAA",58,0.10344828,0.15517241,0.66666667,0.26,0.32758621,0.58,0.90758621,0.32,0.21052632,9.858070314388202,2.6310320054101233,0.3707627982928835,139.07229386180109,10059
"Total","Jonathan Villar","3 Tms",98,0.02040816,0.23469388,0.08695652,0.22916667,0.24489796,0.32291667,0.56781463,0.09375,0.28169014,6.388770751458567,-5.609222971099454,0.2468234775017719,55.39476106562109,10071
"Total","Mike Trout","LAA",110,0.18181818,0.26363636,0.68965517,0.25287356,0.4,0.37931034,0.77931034,0.12643678,0.33928571,15.592618004166143,2.204438918017404,0.3397771789217895,117.64318308294692,10155
"Total","Jose Iglesias","2 Tms",85,0.04705882,0.09411765,0.5,0.3,0.34117647,0.4,0.74117647,0.1,0.31428571,11.154343538791563,0.9490503602332129,0.32592496451209574,108.77212756150608,10231
"Total","Randal Grichuk","TOR",115,0.02608696,0.15652174,0.16666667,0.34821429,0.36521739,0.64285714,1.00807453,0.29464285,0.36046512,24.361239716499,10.381158731966165,0.4256496978842694,172.5654632475092,10243
"Total","Marcell Ozuna","ATL",106,0.12264151,0.22641509,0.54166667,0.2688172,0.35849057,0.60215054,0.96064111,0.33333334,0.26666667,20.475161805793164,7.633771702691435,0.3964388886323342,151.3091119776346,10324
"Total","Enrique Hernandez","2 Tms",106,0.05660377,0.16981132,0.33333333,0.2371134,0.28301887,0.3814433,0.66446217,0.1443299,0.25641026,10.401714773133953,-2.4039351034605914,0.28683150151990494,79.83490091390428,10472
"Total","Cesar Hernandez","CLE",157,0.08917197,0.20382166,0.4375,0.22142857,0.30128205,0.37857143,0.67985348,0.15714286,0.25961538,17.12692625612256,-1.7768813690519627,0.30017942037337864,87.6642539336009,10556
"Total","Gio Urshela","NYY",90,0.08888889,0.23333333,0.38095238,0.24691358,0.31111111,0.2962963,0.60740741,0.04938272,0.32786885,8.021791967958395,-2.8022082788644394,0.27471583551830714,73.54332571328284,10681
"Total","Jurickson Profar","SDP",109,0.0733945,0.16513761,0.44444444,0.25510204,0.30555556,0.36734694,0.6729025,0.1122449,0.27848101,11.308315091019079,-2.052621193046168,0.293090569752234,84.75469622184404,10815
"Total","Jedd Gyorko","MIL",57,0.19298246,0.22807018,0.84615385,0.26666667,0.40350877,0.64444444,1.04795321,0.37777777,0.25,12.192543388905683,5.0374231651450785,0.4245096083198275,167.0285991681717,10816
"Total","Andrelton Simmons","2 Tms",92,0.09782609,0.19565217,0.5,0.27160494,0.35869565,0.34567901,0.70437466,0.07407407,0.33870968,11.442588216721227,0.35859606331508287,0.3194540071746577,103.26249207165772,10847
"Total","Adam Duvall","2 Tms",91,0.03296703,0.28571429,0.11538462,0.22988506,0.26373626,0.51724138,0.78097764,0.28735632,0.25454545,12.102083639434902,1.0453342881122516,0.3278160527512267,107.16607746593282,10950
"Total","Phil Gosselin","2 Tms",81,0.09876543,0.2345679,0.42105263,0.31944444,0.39506173,0.52777778,0.92283951,0.20833334,0.4,14.989929303022224,4.991892955692608,0.3936581201851368,149.26668691974356,10953
"Total","Jonathan Schoop","DET",81,0.02469136,0.2962963,0.08333333,0.23684211,0.25,0.38157895,0.63157895,0.14473684,0.30769231,6.695926810316303,-3.060863008089803,0.26678232848644257,66.42801680567653,11265
"Total","Whit Merrifield","KCR",119,0.09243697,0.05882353,1.57142857,0.30555556,0.3697479,0.47222222,0.84197012,0.16666666,0.30612245,19.08579334485451,4.69294922667662,0.36314416739900235,130.93926907370084,11281
"Total","Jake Marisnick","2 Tms",41,0.07317073,0.29268293,0.25,0.32432432,0.3902439,0.62162162,1.01186552,0.2972973,0.43478261,8.728354402459225,3.7961303373938398,0.4263271805716724,173.60321984234906,11339
"Total","Jesus Aguilar","MIA",110,0.11818182,0.2,0.59090909,0.26595745,0.35454545,0.5106383,0.86518375,0.24468085,0.28985507,17.239761902570056,3.887323042928502,0.3581895889522873,129.89006437475635,11342
"Total","Yasmani Grandal","CHW",69,0.28985507,0.24637681,1.17647059,0.27272727,0.47058824,0.47727273,0.94786097,0.20454546,0.32142857,13.714570609224737,5.339031097782554,0.40943362081752105,165.9232651532166,11368
"Total","Gary Sanchez","NYY",84,0.14285714,0.30952381,0.46153846,0.14084507,0.27380952,0.4084507,0.68226022,0.26760563,0.1025641,8.797252892297147,-1.3629273709241176,0.29504776503666336,86.89062805033033,11442
"Total","Mark Canha","OAK",135,0.14814815,0.2,0.74074074,0.28037383,0.42222222,0.5046729,0.92689512,0.22429907,0.33766234,25.97473362187616,9.734265723328509,0.40137324270917407,163.64503528750018,11445
