Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId,bats,pitch
Total,Max Kepler,MIN,94,0.08510638,0.22340426,0.38095238,0.14285714,0.22340426,0.22619048,0.44959474,0.08333334,0.17460317,3.0295565285577633,-8.403778097699657,0.2077768476719552,26.162197110973253,12144,L,L
Total,Eddie Rosario,2 Tms,134,0.04477612,0.17910448,0.25,0.24,0.27272727,0.32,0.59272727,0.08,0.28,10.331285919502928,-5.801523667320059,0.2612892308018424,62.24053820630607,12155,L,L
Total,Rougned Odor,2 Tms,84,0.03571429,0.28571429,0.125,0.15384615,0.21428571,0.37179487,0.58608058,0.21794872,0.14285714,5.775145579074441,-4.47438525041479,0.2538210380645025,57.87292555185451,12282,L,L
Total,Tommy La Stella,3 Tms,65,0.09230769,0.04615385,2.0,0.19298246,0.27692308,0.24561404,0.52253712,0.05263158,0.2,3.9477213485337486,-4.158015935292124,0.24147420663100025,51.8507782394504,12371,L,L
Total,Kolten Wong,2 Tms,77,0.06493506,0.12987013,0.5,0.31944444,0.36363636,0.38888889,0.75252525,0.06944445,0.37096774,10.393634153783454,1.0942827521563878,0.3326922747995946,110.37421646740209,12532,L,L
Total,Brad Miller,2 Tms,47,0.10638298,0.34042553,0.3125,0.29268293,0.38297872,0.58536585,0.96834457,0.29268292,0.38095238,9.380607922888288,3.7220184778337546,0.4135179925472178,163.65832517995662,12775,L,L
Total,Brian Goodwin,2 Tms,41,0.04878049,0.34146341,0.14285714,0.15789474,0.21951220000000002,0.34210526,0.56161746,0.18421052,0.18181818,2.497235624951601,-2.6494297991569042,0.24317028173586214,50.03825278963685,12858,L,L
Total,Gregory Polanco,PIT,75,0.09333333,0.38666667,0.24137931,0.10769231,0.18918919,0.16923077,0.35841996,0.06153846,0.16216216,0.2371438827201924,-8.882631121964732,0.16905523151964755,2.827339142656513,12907,L,L
Total,Brandon Nimmo,NYM,75,0.12,0.22666667,0.52941176,0.22580645,0.36,0.35483871,0.71483871,0.12903226,0.29545455,9.668958623718778,0.388352599751512,0.3252573664983114,107.87129038350963,12927,L,L
Total,Jackie Bradley Jr.,2 Tms,98,0.14285714,0.24489796,0.58333333,0.24390244,0.35714286,0.46341463,0.82055749,0.21951219,0.29090909,15.204006702863758,3.1613376971717524,0.3544154258406892,122.8723030993061,12984,L,L
Total,Max Muncy,LAD,147,0.19047619,0.19727891,0.96551724,0.25,0.40816327,0.46551724,0.87368051,0.21551724,0.26582278,26.03730523642621,8.183275558617925,0.3835031447345264,146.60587923420394,13301,L,L
Total,Tyler Naquin,2 Tms,43,0.06976744,0.3255814,0.21428571,0.10810811,0.20930233,0.18918919,0.39849152,0.08108108,0.13043478,0.6992171905878615,-4.5108688943144255,0.19159768764362775,11.279177542515278,13359,L,L
Total,Jesse Winker,CIN,79,0.10126582,0.27848101,0.36363636,0.26470588,0.36708861,0.44117647,0.80826508,0.17647059,0.34883721,12.287022028092187,2.7098086066282194,0.3557718433911287,121.71676284771212,13590,L,L
Total,Corey Seager,LAD,133,0.05263158,0.21804511,0.24137931,0.28455285,0.33082707,0.49593496,0.82676203,0.21138211,0.31818182,20.261443309917503,4.084396072163632,0.35280156673345353,126.20918716717918,13624,L,L
Total,David Dahl,2 Tms,83,0.03614458,0.28915663,0.125,0.14102564,0.18072289,0.16666667,0.34738956,0.02564103,0.2,-0.4562554950554307,-10.428361936910859,0.15993692573294582,-9.854286534184537,13744,L,L
Total,Joey Wendle,TBR,81,0.08641975,0.24691358,0.35,0.23611111,0.32098765,0.29166667,0.61265432,0.05555556,0.32692308,7.664801096807648,-2.1187938914788464,0.2816363337599201,81.91532276581304,13853,L,L
Total,Rio Ruiz,BAL,51,0.01960784,0.25490196,0.07692308,0.28,0.29411765,0.5,0.79411765,0.22,0.32352941,7.098199512354496,0.8034705179849895,0.3365028348623538,113.9922820938764,14103,L,L
Total,Joey Gallo,TEX,164,0.12804878,0.40853659,0.31343284,0.20143885,0.32317073,0.43165468,0.75482541,0.23021583,0.3015873,21.798425738687,1.9712438555307001,0.3307452078272657,110.81853800155098,14128,L,L
Total,Matt Olson,OAK,134,0.08955224,0.30597015,0.29268293,0.21848739,0.29850746,0.46218487,0.76069233,0.24369748,0.26388889,17.45162914347276,1.2920143867693867,0.32647220367815954,112.42641259484672,14344,L,L
Total,Raimel Tapia,COL,105,0.04761905,0.18095238,0.26315789,0.30612245,0.34285714,0.36734694,0.71020408,0.06122449,0.375,12.661882829215234,-0.10758918866902167,0.3123319750740415,81.4739029385387,14350,L,L
Total,Jake Cave,MIN,58,0.01724138,0.48275862,0.03571429,0.14285714,0.17241379,0.21428571,0.3866995,0.07142857,0.25925926,0.2710458674724976,-6.7951614222232415,0.17145097666773304,1.9506469538070657,14477,L,L
Total,Brett Phillips,2 Tms,46,0.10869565,0.45652174,0.23809524,0.17948718,0.27272727,0.20512821,0.47785548,0.02564103,0.38888889,2.338001291900869,-3.096774105280642,0.22782421653920956,45.07652597478005,14735,L,L
Total,Mike Yastrzemski,SFG,119,0.11764706,0.26890756,0.4375,0.23809524,0.32773109,0.47619048,0.80392157,0.23809524,0.29411765,17.519098283093427,2.9475530323795995,0.3436874451757479,118.84729377346923,14854,L,L
Total,Ryan McMahon,COL,110,0.08181818,0.30909091,0.26470588,0.23,0.3,0.49,0.79,0.26,0.27118644,14.948770080954976,1.6142013345670199,0.3331413356536025,95.3164663470118,15112,L,L
Total,Adam Frazier,PIT,103,0.05825243,0.16504854,0.35294118,0.26315789,0.32038835,0.4,0.72038835,0.13684211,0.30263158,12.389301904786407,-0.048697753500164254,0.3156981636019586,98.91136744816649,15223,L,L
