Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId,bats,pitch
Total,Nick Markakis,ATL,123,0.06504065,0.16260163,0.4,0.23684211,0.29268293,0.38596491,0.67864784,0.14912279999999997,0.27956989,12.817015542967699,-2.6229807293578165,0.294486111741725,80.1474065074327,5930,L,R
Total,Didi Gregorius,PHI,259,0.06177606,0.11969112,0.51612903,0.28870293,0.33976834,0.45188285,0.79165119,0.16317992,0.3,36.43180306106615,4.750901257989884,0.33695854579701146,111.45024364893992,6012,L,R
Total,Eduardo Escobar,ARI,323,0.0619195,0.21981424,0.28169014,0.21070234,0.26315789,0.37792642,0.64108431,0.16722408,0.23744292,28.207687171127187,-10.845839640174527,0.27399974055588244,69.1563873111062,6153,L,R
Total,Freddy Galvis,2 Tms,237,0.08438819,0.19831224,0.42553191,0.23076923,0.31779661,0.43269231,0.75048892,0.20192308,0.25,31.028171309691835,2.30546610192673,0.32695843759229626,105.35259314308037,6609,L,R
Total,Alex Avila,2 Tms,87,0.1954023,0.35632184,0.5483871,0.17142857,0.33333333,0.32857143,0.66190476,0.15714286,0.28947368,9.759847673724812,-0.8037230343116095,0.3040283370292049,90.28288281697016,7476,L,R
Total,Charlie Blackmon,COL,282,0.09574468,0.16666667,0.57446809,0.24489796,0.32978723,0.38367347,0.7134607,0.13877551,0.27551020000000004,32.44804629184948,-1.8608926435495707,0.3074039345613886,78.06017421835203,7859,L,R
Total,Eric Sogard,2 Tms,187,0.06951872,0.14973262,0.46428571,0.23529412,0.28877005,0.32352941,0.61229946,0.08823529,0.26573427,15.437974795300672,-7.38358154187708,0.26848981585553894,66.36748875442615,7927,L,R
Total,Matt Carpenter,STL,228,0.13596491,0.29385965,0.46268657,0.16842105,0.30701754,0.30526316,0.6122807,0.13684211,0.21551724,21.128178670276622,-6.741757468114878,0.2798636866881784,76.9472316275257,8090,L,R
Total,Dee Strange-Gordon,SEA,55,0.09090909,0.12727273,0.71428571,0.26530612,0.34545455,0.26530612,0.61076067,0.0,0.30952381,5.308153028289113,-1.595910345514978,0.2853697191585194,82.05767684007354,8203,L,R
Total,Ehire Adrianza,2 Tms,114,0.0877193,0.21052632,0.41666667,0.22,0.28318584,0.39,0.67318584,0.17,0.25,11.457395527153535,-2.3435466926402597,0.29030613667142074,81.01940386130849,8418,L,R
Total,Jason Castro,3 Tms,99,0.13131313,0.32323232,0.40625,0.23255814,0.33333333,0.46511628,0.79844961,0.23255814,0.33333333,14.272723254933865,2.104525824263604,0.343977664456223,120.90719926913202,8722,L,R
Total,Justin Smoak,2 Tms,106,0.0754717,0.36792453,0.20512821,0.17894737,0.25471698,0.38947368,0.64419066,0.21052631,0.23076923,9.438841139478056,-3.8671719082171063,0.2765203680632249,70.10059848597145,9054,L,R
Total,Chris Davis,BAL,48,0.02083333,0.3125,0.06666667,0.12765957,0.14583333,0.19148936,0.33732269,0.06382979,0.1875,-0.9671136528925212,-6.9924780518488205,0.14709781855344772,-16.408497932818225,9272,L,R
Total,Brock Holt,3 Tms,152,0.13157895,0.19078947,0.68965517,0.22480619999999998,0.33552632,0.29457364,0.63009996,0.06976744,0.28,15.268627635068247,-3.275589564018896,0.2916668578982353,82.1459243081284,9345,L,R
Total,Matt Adams,2 Tms,67,0.04477612,0.32835821,0.13636364,0.140625,0.17910448,0.21875,0.39785448,0.078125,0.19512195,0.4763110437885461,-7.764327353845482,0.17676797553674498,0.4287044237723706,9393,L,R
Total,Jason Kipnis,CHC,105,0.0952381,0.34285714,0.27777778,0.27173913,0.34285714,0.45652174,0.79937888,0.18478261,0.4,15.123991687291428,1.9435070645745207,0.34170030298687165,113.65559220665024,9776,L,R
Total,Kyle Seager,SEA,325,0.11692308,0.16,0.73076923,0.24452555,0.34461538,0.45985401,0.80446939,0.21532846,0.25116279,47.34044613188854,7.9018366212283695,0.3439299897377535,123.81736675677686,9785,L,R
Total,Jay Bruce,2 Tms,110,0.09090909,0.24545455,0.37037037,0.19,0.26363636,0.47,0.73363636,0.28,0.18181818,12.552726223580024,-1.032024108358245,0.3046958621488799,89.82724093439253,9892,L,R
Total,Brett Gardner,NYY,225,0.14666667,0.22666667,0.64705882,0.2287234,0.34222222,0.37765957,0.71988179,0.14893617,0.28148148,28.30909439245959,0.8693538687636369,0.3193692366282145,103.17891547510176,9927,L,R
Total,Jonathan Villar,3 Tms,241,0.12863071,0.26141079,0.49206349,0.23300971,0.33333333,0.33009709,0.66343042,0.09708738,0.31205674,25.33110542273053,-4.0456094476031375,0.29591514113583145,88.13932530055936,10071,L,R
Total,Billy Hamilton,3 Tms,60,0.05,0.18333333,0.27272727,0.1509434,0.18965517,0.18867925,0.37833442,0.03773585,0.18181818,0.0661548558216778,-7.143888604309014,0.17009088705325948,3.900900405882076,10199,L,R
Total,Tucker Barnhart,CIN,208,0.09615385,0.27403846,0.35087719,0.26486486,0.34615385,0.43783784,0.78399169,0.17297298,0.34710744,29.90431461261286,4.866609012351175,0.3427511519537522,113.4719549340664,10200,L,R
Total,Brandon Belt,SFG,259,0.15057915,0.26640927,0.56521739,0.29680365,0.40540541,0.59817352,1.00357893,0.30136987,0.36567164,54.838447318022325,23.327311590855203,0.4232562611731448,171.57088586818927,10264,L,R
Total,Danny Santana,2 Tms,60,0.15,0.35,0.42857143,0.18,0.31666667,0.4,0.71666667,0.22,0.25925926,7.3235314082024745,-0.05627812783735386,0.317966573437055,99.95948568885237,10322,L,R
Total,Derek Dietrich,TEX,66,0.10606061,0.3030303,0.35,0.18518519,0.33333333,0.37037037,0.7037036999999999,0.18518518,0.22580645,8.20070064318704,-0.08417540537786944,0.3182500673062873,100.80732326019937,10542,L,R
Total,Cesar Hernandez,CLE,319,0.10344828,0.21316614,0.48529412,0.26760563,0.34591195,0.39084507,0.73675702,0.12323944,0.33649289,41.853041237115505,2.926355747401362,0.3261367766737188,104.83710882620916,10556,L,R
Total,Corey Dickerson,MIA,297,0.07744108,0.15488215,0.5,0.27675277,0.34006734,0.38745387,0.72752121,0.1107011,0.31818182,37.260674257116314,1.2475100795793428,0.3200446131664353,105.77532126064995,10762,L,R
Total,Jurickson Profar,SDP,267,0.10861423,0.13857678,0.78378378,0.26521739,0.35471698,0.37826087,0.73297785,0.11304348,0.29473684,34.644456430688294,2.36140477599183,0.3250177543271672,106.91861960999807,10815,L,R
Total,Greg Garcia,SDP,63,0.0952381,0.23809524,0.4,0.22222222,0.3,0.27777778,0.57777778,0.05555556,0.30769231,4.9531565773399615,-2.9551341962901807,0.2641651093959808,64.58262025566206,10951,L,R
Total,Kevin Kiermaier,TBR,208,0.12019231,0.27403846,0.43859649,0.20994475,0.3125,0.33701657,0.64951657,0.12707182,0.28925619999999996,20.664184282716924,-4.820274148884606,0.28756874307845404,85.15762506515671,11038,L,R
Total,Kole Calhoun,ARI,213,0.13145539999999997,0.20187793,0.65116279,0.24022346,0.34741784,0.51955307,0.86697091,0.27932961,0.23199999999999998,35.06907637296795,8.679989061044445,0.3666016820450904,128.780529331811,11200,L,R
Total,Adam Eaton,2 Tms,268,0.08582089999999999,0.20895522,0.41071429,0.24463519,0.32824427,0.42060086,0.74884513,0.17596567,0.29411765,34.96072160344953,2.5432064671480137,0.32615604505685103,105.99658970831229,11205,L,R
Total,Mike Freeman,CLE,41,0.07317073,0.26829268,0.27272727,0.22222222,0.29268293,0.30555556,0.59823849,0.08333334,0.30769231,3.3256066094298635,-1.8210588146786413,0.26711736946571163,62.85357859895571,11241,L,R
Total,Yasmani Grandal,CHW,259,0.18918919,0.2972973,0.63636364,0.18181818,0.33976834,0.38277512,0.72254346,0.20095694,0.22314050000000002,33.46412055508662,1.8636342616515242,0.3244050534075291,107.76015466734364,11368,L,R
Total,Tony Wolters,2 Tms,107,0.06542056,0.28037383,0.23333333,0.23469388,0.28571429,0.27551020000000004,0.56122449,0.04081632,0.33823529,7.47301318256539,-5.761957044318497,0.25320887111482165,44.28817089547555,11470,L,R
Total,Odubel Herrera,PHI,65,0.09230769,0.16923077,0.54545455,0.24137931,0.30769231,0.39655172,0.70424403,0.15517241,0.27659574,7.42985111980069,-0.14871782304417688,0.3065146042750432,93.99574111810331,11476,L,R
Total,Christian Yelich,MIL,232,0.18103448,0.31034483,0.58333333,0.19148936,0.34482759,0.34574468,0.69057227,0.15425532,0.25925926,27.456800080723017,-1.156496286505008,0.3118959553863691,93.66892643911041,11477,L,R
Total,Bryce Harper,PHI,281,0.1886121,0.16725979,1.12765957,0.27555556,0.41281139,0.55555556,0.96836695,0.28,0.28048779999999995,53.943437134536964,19.643870887967807,0.4007816663494817,153.30245097055644,11579,L,R
Total,Joc Pederson,2 Tms,241,0.08713693,0.24481328,0.35593220000000003,0.21153846,0.30416667,0.42307692,0.72724359,0.21153846,0.23404255,29.13243012732449,-0.11025889360723352,0.3151604267458121,99.89866999362957,11899,L,R
Total,Joe Panik,TOR,159,0.10691824,0.16981132,0.62962963,0.22535211,0.3081761,0.31690141,0.62507751,0.0915493,0.26548673,15.016798480498798,-4.432922863316528,0.28276883206277525,75.19497818219173,11936,L,R
Total,Travis Shaw,2 Tms,266,0.09774436,0.28571429,0.34210526,0.21610169,0.29699248,0.39830508,0.69529756,0.18220339,0.26490066,29.746438749105568,-2.4646948203734205,0.3033832549152517,89.73361599670466,11982,L,R
Total,Niko Goodrum,DET,252,0.1031746,0.40079365,0.25742574,0.17040359,0.25793651,0.28699552,0.54493203,0.11659193,0.27118644,16.148986669365758,-14.501320196207164,0.24646895769096555,51.51219479854208,12092,L,R
Total,Max Kepler,MIN,252,0.11904762,0.17063492,0.69767442,0.25345622,0.34920635,0.51612903,0.86533538,0.26267281,0.25766871,41.41558201369017,10.756340091490452,0.3667580651572026,134.44941563418507,12144,L,R
Total,Eddie Rosario,2 Tms,286,0.08741259,0.14685315,0.5952381,0.25193798,0.31818182,0.47286822,0.79105004,0.22093024,0.24630542,39.69602045392644,4.7956172523463865,0.3349519042481839,112.20820625566203,12155,L,R
Total,Ben Gamel,3 Tms,152,0.09868421,0.30263158,0.32608696,0.22627737,0.30263158,0.39416058,0.69679216,0.16788321,0.31818182,17.056692963035562,-1.5858098589463447,0.3035176223830173,88.78246642736569,12160,L,R
Total,Rougned Odor,2 Tms,162,0.08024691,0.28395062,0.2826087,0.19178082,0.25925926,0.42465753,0.68391679,0.23287671,0.19565217,16.41234124318361,-3.34248492255211,0.2903953036408365,83.34393701783802,12282,L,R
Total,Jace Peterson,MIL,79,0.18987342,0.32911392,0.57692308,0.203125,0.35443038,0.40625,0.76068038,0.203125,0.26470588,11.246073516969556,1.5348342461036384,0.33987175362019606,112.42994673694601,12325,L,R
Total,Tommy La Stella,3 Tms,238,0.11344538,0.07983193,1.42105263,0.28985507,0.37288136,0.47342995,0.84631131,0.18357488,0.29508197,39.058412210280416,9.799165972704408,0.36566832762653545,136.13137936453214,12371,L,R
Total,Kolten Wong,2 Tms,287,0.09407666,0.1533101,0.61363636,0.25403226,0.34385965,0.35080645,0.6946661,0.09677419,0.2955665,33.615200962132484,-1.383925494545436,0.3100182302427797,95.44278709580814,12532,L,R
Total,Alex Dickerson,SFG,271,0.07749077,0.18819188,0.41176471,0.2601626,0.32472325,0.48780488,0.81252813,0.22764228,0.27868852,39.86935821796317,6.8697515043105595,0.3441927512782214,119.68391681430641,12649,L,R
Total,Brad Miller,2 Tms,228,0.12719298,0.26754386,0.47540984,0.25510204,0.35526316,0.44897959,0.80424275,0.19387755,0.328125,34.02153988936483,6.0890583545857595,0.3483001802461263,120.83554522541279,12775,L,R
Total,Brian Goodwin,2 Tms,123,0.12195122,0.32520325,0.375,0.23584906,0.32520325,0.44339623,0.76859948,0.20754717,0.328125,16.077528601804886,0.6375323294793717,0.3258449151867725,104.53580504847771,12858,L,R
Total,Gregory Polanco,PIT,246,0.08536585,0.32926829,0.25925926,0.19819820000000002,0.26422764,0.39189189,0.65611953,0.19369369,0.2481203,22.75260408224773,-7.108792006948473,0.2811639800363657,76.07805245836707,12907,L,R
Total,Francisco Lindor,2 Tms,333,0.10510511,0.17417417,0.60344828,0.21917808,0.30630631,0.34931507,0.65562138,0.13013699,0.24122807,33.160730086639234,-7.451872899756126,0.2874844341567068,81.3164040023738,12916,L,R
Total,Brandon Nimmo,NYM,229,0.15720524,0.20524017,0.76595745,0.31216931,0.42982456,0.51322751,0.94305207,0.20105820000000002,0.38059701,45.72149039750342,17.547324701597738,0.4088543101883771,163.33017304698419,12927,L,R
Total,Michael Perez,2 Tms,134,0.04477612,0.34328358,0.13043478,0.12,0.17164179,0.248,0.41964179,0.128,0.14473684,1.5595305821231813,-14.796655420369726,0.18236157096418226,12.456254061097699,12977,L,R
Total,Jackie Bradley Jr.,2 Tms,286,0.05594406,0.26923077,0.20779221,0.22137405,0.28321678,0.34732824,0.63054502,0.12595419,0.2849162,26.240575257625963,-8.427516471657377,0.2772074952460172,72.17105572045625,12984,L,R
Total,Josh Bell,2 Tms,269,0.07063197,0.26022305,0.27142857,0.24291498,0.30111524,0.40890688,0.71002212,0.1659919,0.29341317,30.244651067214452,-2.55750913624242,0.304532460924378,89.93769255834991,13145,L,R
Total,Jorge Polanco,MIN,289,0.08650519,0.183391,0.47169811,0.22007722,0.29268293,0.31274131,0.60542424,0.09266409,0.25742574,24.814993242549573,-10.390514780950877,0.27210150466978755,69.95603605791231,13152,L,R
Total,Max Muncy,LAD,308,0.17532468,0.24350649,0.72,0.21951220000000002,0.37012987,0.44308943,0.8132193,0.22357723,0.24683544,46.54054925572685,9.12870229017547,0.3524545267863636,126.12617866868557,13301,L,R
Total,Ildemaro Vargas,4 Tms,47,0.04255319,0.17021277,0.25,0.22727273,0.25531915,0.34090909,0.59622824,0.11363636,0.27027027,3.4406148693838894,-2.2537148021778286,0.2552275987381631,60.78703385767589,13324,L,R
Total,Jake Lamb,3 Tms,122,0.11475410000000001,0.28688525,0.4,0.19811321,0.30327869,0.35849057,0.66176926,0.16037736,0.25373134,12.773966951424285,-2.156293460970717,0.2956625169417897,87.49279912622816,13329,L,R
Total,Omar Narvaez,MIL,210,0.11428571,0.22857143,0.5,0.24725275,0.34285714,0.37362637,0.71648351,0.12637362,0.30769231,26.192645107429442,0.7609217511824946,0.3206032131399427,100.4715828186225,13338,L,R
Total,Tyler Naquin,2 Tms,262,0.0648855,0.25572519,0.25373134,0.25726141,0.30916031,0.48547718,0.79463749,0.22821577,0.30061350000000003,36.47289436446617,4.86216011779497,0.3374570644678284,111.15887976221177,13359,L,R
Total,Dwight Smith Jr.,BAL,63,0.0952381,0.25396825,0.375,0.21818182,0.3015873,0.36363636,0.66522366,0.14545454,0.26315789,6.101015498047461,-1.807275275582681,0.28576042959767,78.5060426651807,13473,L,R
Total,Jose  Ramirez,CLE,306,0.11437908,0.16993464,0.67307692,0.25095057,0.34640523,0.53231939,0.87872462,0.28136882,0.24102564,51.59701986803108,14.248593563273488,0.3725620015384325,136.15314788502803,13510,L,R
Total,Roman Quinn,PHI,114,0.06140351,0.35964912,0.17073171,0.22,0.30973451,0.3,0.60973451,0.08,0.37288136,10.224411335160863,-3.782037187049256,0.2789624771185681,72.37602049182074,13546,L,R
Total,Jesse Winker,CIN,292,0.11643836,0.20547945,0.56666667,0.31620553,0.40410959,0.64031621,1.0444258,0.32411068,0.3372093,64.93108581434142,29.617044214710106,0.4392200291973271,176.58426573969842,13590,L,R
Total,Mallex Smith,SEA,43,0.04651163,0.25581395,0.18181818,0.14634146,0.18604651,0.19512195,0.38116846,0.04878049,0.2,0.04374734266603345,-5.3539749313989855,0.17218442295872888,4.582355191720804,13608,L,R
Total,Ketel Marte,ARI,192,0.046875,0.13541667,0.34615385,0.26136364,0.30208333,0.36931818,0.67140151,0.10795454,0.28476821,19.491089503184433,-4.154680204674131,0.2924372907727957,80.1409453243163,13613,L,R
Total,Jeimer Candelario,DET,318,0.09748428,0.25786164,0.37804878,0.26315789,0.33962264,0.42807018,0.76769282,0.16491229,0.34020619,43.976760512436286,5.4525902031310975,0.3353242707327477,112.35522578430486,13621,L,R
Total,Corey Seager,LAD,268,0.10820896,0.1380597,0.78378378,0.29237288,0.37313433,0.52966102,0.90279535,0.23728814,0.30319149,47.79012333615515,15.140296727556914,0.3831823445884476,146.10029900297158,13624,L,R
Total,David Dahl,2 Tms,170,0.04117647,0.26470588,0.15555556,0.22641509,0.26035503,0.37106918,0.63142421,0.14465409,0.28571429,14.626812226871138,-5.783774130245559,0.27253771463089443,65.86958472960325,13744,L,R
Total,Adalberto Mondesi,KCR,188,0.04787234,0.32978723,0.14516129,0.24571429,0.28648649,0.34285714,0.62934363,0.09714285,0.36936937,16.754239548506664,-6.755753781137536,0.2761299797006556,70.51750878376326,13769,L,R
Total,Joey Wendle,TBR,274,0.05109489,0.17518248,0.29166667,0.31075697,0.36131387,0.53784861,0.89916248,0.22709164,0.34871795,47.813392554301366,14.562291358489144,0.38080400754423693,148.67693340872913,13853,L,R
Total,Anthony Bemboom,LAA,52,0.09615385,0.23076923,0.41666667,0.24444444,0.33333333,0.4,0.73333333,0.15555556,0.29032258,6.817952034806049,0.4244997853386756,0.323251675156986,107.10338936784943,13854,L,R
Total,Tyler Heineman,SFG,40,0.025,0.125,0.2,0.17142857,0.23684211,0.2,0.43684211,0.02857143,0.2,1.1627456350643472,-3.8583913640659016,0.2054323114846882,25.973463123258853,13897,L,R
Total,Rio Ruiz,BAL,254,0.09842519999999999,0.24409449,0.40322581,0.18666667,0.26984127,0.36,0.62984127,0.17333333,0.21290323,22.426104900726568,-8.66289500396561,0.2743056620734621,72.22581576784023,14103,L,R
Total,Joey Gallo,TEX,272,0.16911765,0.30882353,0.54761905,0.19282511,0.33823529,0.34977578,0.68801107,0.15695067,0.26153846,31.65834199486805,-1.3685075208680486,0.3089474831815103,96.12937058487422,14128,L,R
Total,Daniel Vogelbach,3 Tms,223,0.14798206,0.21524664,0.6875,0.22631579,0.34080717,0.40526316,0.74607033,0.17894737,0.2556391,29.152377868595142,2.0709148743772716,0.3267995739414681,105.5376871437002,14130,L,R
Total,Andrew Velazquez,BAL,54,0.14814815,0.31481481,0.47058824,0.11627907,0.25490196,0.13953488,0.39443684,0.02325581,0.19230769,1.4639790944312132,-5.314555854394623,0.203111681283689,21.932984375377153,14196,L,R
Total,Wilmer Difo,2 Tms,71,0.07042254,0.23943662,0.29411765,0.24615385,0.29577465,0.36923077,0.66500542,0.12307692,0.3125,7.1272706507766985,-1.2580791816984864,0.2901824494482766,83.02950778675678,14320,L,R
Total,Matt Olson,OAK,306,0.14052288,0.22875817,0.61428571,0.22692308,0.33660131,0.49230769,0.828909,0.26538461,0.22674419,46.15137087222909,8.820814680725094,0.351790466914476,128.9946238526849,14344,L,R
Total,Raimel Tapia,COL,296,0.08783784,0.15540541,0.56521739,0.29007634,0.35153584,0.39694656,0.7484824000000001,0.10687022,0.32710279999999997,38.787595516045535,2.9625051598743948,0.3269364166095904,91.23253115345915,14350,L,R
Total,Ronald Guzman,TEX,81,0.08641975,0.29629629999999996,0.29166667,0.22972973,0.29629629999999996,0.43243243,0.72872873,0.2027027,0.26666667,9.894534413153977,-0.14817721730962452,0.3143180211385091,99.04171947465349,14388,L,R
Total,Jake Cave,MIN,158,0.06329114,0.32278481,0.19607843,0.21985816,0.29936306,0.38297872,0.68234178,0.16312056,0.31395349,17.244423269325207,-1.9725489699903032,0.2999321609545665,88.9935888205225,14477,L,R
Total,Anthony Santander,BAL,199,0.05025126,0.14572864,0.34482759,0.27717391,0.31818182,0.56521739,0.88339921,0.28804348,0.26896552,32.2961523816861,7.905709548381695,0.36341060858506413,132.9198099064933,14551,L,R
Total,Nomar Mazara,2 Tms,207,0.07246377,0.26086957,0.27777778,0.20105820000000002,0.27053140000000003,0.28571429,0.55624569,0.08465609,0.26515152,14.314865107283824,-10.918974106564288,0.2518944423555752,57.16330041971612,14553,L,R
Total,Franchy Cordero,2 Tms,121,0.04958678,0.29752066,0.16666667,0.2,0.23966942,0.35652174,0.59619116,0.15652174,0.26315789,9.146460723508671,-5.25619371570222,0.2576354131225712,58.81935167704172,14567,L,R
Total,Tzu-Wei Lin,BOS,50,0.02,0.28,0.07142857,0.17391304,0.1875,0.19565217,0.38315217,0.02173913,0.24242424,-0.081186123423789,-6.3576073723366,0.16905404378970465,-5.815698250102191,14678,L,R
Total,Harold Castro,DET,137,0.08029197,0.17518248,0.45833333,0.344,0.39705882,0.384,0.78105882,0.04,0.42574257,20.418851827615033,3.998807532125242,0.34881234431968017,121.94192733221143,14691,L,R
Total,Brett Phillips,2 Tms,127,0.13385827,0.34645669,0.38636364,0.22018349,0.32283465,0.40366972,0.72650437,0.18348623,0.32258065,15.665029952128954,0.4019842835269607,0.3182526526488657,105.23385125152659,14735,L,R
Total,Mike Yastrzemski,SFG,277,0.13357401,0.24548736,0.54411765,0.27350427,0.38628159,0.53846154,0.92474313,0.26495727,0.34193548,51.02100516478215,17.411188807288752,0.39111667565810376,150.37851692326825,14854,L,R
Total,Tony Kemp,OAK,167,0.14371257,0.13173653,1.09090909,0.26865672,0.38036809999999993,0.36567164,0.74603974,0.09701492,0.30701754,23.13942158299933,2.72121306586514,0.33589422849058376,118.458641950097,14894,L,R
Total,Andrew Knapp,PHI,121,0.16528926,0.28099174,0.58823529,0.22448979999999996,0.3553719,0.36734694,0.72271884,0.14285714,0.3015873,15.796251911342274,1.0361952070595155,0.3240345243580085,103.06723662157724,14942,L,R
Total,Johan Camargo,ATL,106,0.06603774,0.27358491,0.24137931,0.17171717,0.22641509,0.33333333,0.55974842,0.16161616,0.20895522,6.468327292487931,-6.7483351889392615,0.24212684608855334,46.10484017544633,14950,L,R
Total,Victor Caratini,2 Tms,194,0.11340206,0.23195876,0.48888889,0.20958084,0.31443299,0.32335329,0.63778628,0.11377245,0.26666667,18.780310568956228,-4.75017866716018,0.2857201000054677,79.74614916553502,14968,L,R
Total,Dom Nunez,COL,96,0.125,0.39583333,0.31578947,0.19047619,0.29166667,0.42857143,0.7202381,0.23809524,0.28571429,10.562894544791483,-0.630068816948627,0.30116467834800803,76.65688556077538,15055,L,R
Total,Ryan McMahon,COL,286,0.07692308,0.26923077,0.28571429,0.24137931,0.3006993,0.46360153,0.76430083,0.22222222,0.28070175,37.28050563003928,2.7196345802775066,0.32651727785143936,91.06588515918871,15112,L,R
Total,Josh VanMeter,2 Tms,139,0.11510791,0.27338129,0.42105263,0.14166667,0.25179856,0.25,0.50179856,0.10833333,0.18518519,7.395436694111721,-9.400755244109737,0.2323096145828851,41.53391337785682,15170,L,R
Total,Jake Bauers,CLE,88,0.13636364,0.22727273,0.6,0.18421053,0.29545455,0.28947368,0.58492823,0.10526315,0.22222222,7.1677308533266855,-3.0924855616017517,0.2654021553609563,65.88524274065463,15194,L,R
Total,Adam Frazier,PIT,342,0.08187135,0.11695906,0.7,0.28338762,0.35190616,0.40716612,0.75907228,0.12377850000000001,0.30916031,46.579983793230284,5.07887151095413,0.3340345175385125,110.71981717889255,15223,L,R
Total,Mike Tauchman,2 Tms,179,0.13966479999999998,0.22346369,0.625,0.23178808,0.34269663,0.33112583,0.67382246,0.09933775,0.3,19.53569405210134,-2.138673979221613,0.3002244663238525,90.290072678911,15274,L,R
Total,Jeff McNeil,NYM,227,0.09251101,0.10572687,0.875,0.27586207,0.34801762,0.44334975,0.79136737,0.16748768,0.28323699,32.706111037000205,5.051053889854933,0.34113004446029666,119.6092092283548,15362,L,R
Total,Victor Reyes,DET,222,0.02702703,0.24324324,0.11111111,0.24299065,0.27027027,0.37383178,0.64410205,0.13084113,0.30322581,20.206905444454325,-7.195781956125129,0.2778455813725789,72.34347811914368,15487,L,R
Total,Justin Williams,STL,113,0.10619469,0.34513274,0.30769231,0.16,0.25663717,0.25,0.50663717,0.09,0.22413793,5.441636537859867,-7.787024425615837,0.2239220906387676,42.76110849690874,15490,L,R
Total,J.P. Crawford,SEA,291,0.09965636,0.16838488,0.59183673,0.23346304,0.3161512,0.30739299999999997,0.6235441999999999,0.07392996,0.27884615,27.688326713918947,-7.67888759327004,0.2826122797231904,81.98337803677826,15491,L,R
Total,Mike Ford,NYY,129,0.11627907,0.22480619999999998,0.51724138,0.15315315,0.26356589,0.32432432,0.58789021,0.17117117,0.15384615,9.805729280440145,-5.9049444839078875,0.2604700606316328,63.006462037279036,15585,L,R
Total,Dominic Smith,NYM,256,0.05078125,0.2265625,0.22413793,0.28389831,0.33203125,0.50423729,0.83626854,0.22033898,0.33529412,39.20916929009823,8.155034347507032,0.3522704384458347,126.62679963688456,15653,L,R
Total,Billy McKinney,3 Tms,84,0.07142857,0.20238095,0.35294118,0.22077922,0.27380952,0.4025974,0.67640692,0.18181818,0.24137931,8.346045029109469,-1.4746030822935206,0.28747070410165443,81.39060658542792,15654,L,R
Total,Austin Meadows,TBR,259,0.11969112,0.26640927,0.44927536,0.24336283,0.33590734,0.52212389,0.85803123,0.27876106,0.28965517,41.644209295470816,10.454735606868363,0.3639684892440027,137.67451457000917,15672,L,R
Total,Reese McGuire,TOR,52,0.03846154,0.21153846,0.18181818,0.19565217,0.24489796,0.26086957,0.50576753,0.0652174,0.23529412,2.3165146708855544,-3.987587012313852,0.2276871776094242,35.137483247833735,15674,L,R
Total,Rowdy Tellez,TOR,185,0.08108108,0.17297297,0.46875,0.22155689,0.29189189,0.41916168,0.71105357,0.19760479,0.22047244,20.809514261410058,-1.6269593764092285,0.3022121878269592,89.31523057067994,15679,L,R
Total,Chance Sisco,BAL,167,0.11976048,0.29341317,0.40816327,0.19285714,0.32335329,0.27857143,0.60192472,0.08571429,0.28089888,16.025250553891258,-4.3929579632429325,0.2828464607992572,78.23075235061283,15694,L,R
Total,Tyler Wade,NYY,92,0.14130435,0.18478261,0.76470588,0.19480519,0.32608696,0.31168831,0.63777527,0.11688312,0.22413793,9.643542037956502,-1.7889173238947145,0.2938425294730974,84.88319535071456,15730,L,R
Total,Jose Marmolejos,SEA,173,0.0982659,0.30635838,0.32075472,0.18709677,0.26589595,0.38064516,0.64654111,0.19354839,0.22105263,16.2006939126221,-4.756243795338507,0.2808540081013145,80.9332098282637,15767,L,R
Total,Cody Bellinger,LAD,177,0.1299435,0.15254237,0.85185185,0.24675325,0.34463277,0.49350649,0.83813926,0.24675324,0.24576271,27.390633996027336,5.3239987375315305,0.3543112965992519,125.9074226733878,15998,L,R
Total,Bradley Zimmer,CLE,46,0.15217391,0.2826087,0.53846154,0.15625,0.39130435,0.25,0.64130435,0.09375,0.21052632,5.816756155897345,0.06031872015115133,0.3209831546182218,99.863401051927,16221,L,R
Total,Michael Conforto,NYM,242,0.11157025,0.2107438,0.52941176,0.30331754,0.39256198,0.46919431,0.86175629,0.16587677,0.37254902,41.92011692863576,12.391068463443439,0.3765605946710287,142.6470469767791,16376,L,R
Total,Francisco Mejia,2 Tms,90,0.03333333,0.15555556,0.21428571,0.18987342,0.26966292,0.3164557,0.58611862,0.12658228,0.203125,7.070829269775747,-3.681690524032714,0.2636837758375018,69.8540558810055,16403,L,R
Total,Ryan O'Hearn,KCR,172,0.12790698,0.29651163,0.43137255,0.18791946,0.29069767,0.32214765,0.61284532,0.13422819,0.24468085,14.620706704876456,-6.505559446790186,0.27175337637172026,67.82763497813632,16442,L,R
Total,Luis Guillorme,NYM,80,0.1625,0.175,0.92857143,0.36363636,0.4625,0.45454545,0.91704545,0.09090909,0.45283019,15.68108935644359,5.835386603972618,0.4046535551548004,160.6004553037659,16451,L,R
Total,Kyle Schwarber,2 Tms,285,0.1122807,0.27368421,0.41025641,0.204,0.30175439,0.444,0.74575439,0.24,0.22435897,35.81230091636008,1.1267767060262548,0.3202732771950981,100.24966523173237,16478,L,R
