P,P,C,1B,2B,3B,SS,OF,OF,OF,OF,Salary,Proj
Jordan Montgomery (18268410),Eduardo Rodriguez (18268409),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437),48900,134.97266804716529
Taijuan Walker (18268404),Max Scherzer (18268394),William Contreras (18268613),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627),49500,134.8875577391992
Zac Gallen (18268400),Max Scherzer (18268394),Pedro Severino (18268720),Shohei Ohtani (18268424),Jace Peterson (18268615),Starlin Castro (18268767),Ramon Urias (18268738),Kyle Schwarber (18268437),Brian Goodwin (18268627),Joey Gallo (18268556),49400,134.7544589924606
Zac Gallen (18268400),Sonny Gray (18268408),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Bo Bichette (18268442),Joey Gallo (18268556),Kyle Schwarber (18268437),Brian Goodwin (18268627),49000,134.64931618546862
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Eric Haase (18268578),Shohei Ohtani (18268424),Ozzie Albies (18268433),Kelvin Gutierrez (18268908),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Jace Peterson (18268615),49200,134.57477851322534
Max Scherzer (18268394),Julio Urias (18268397),Riley Adams (18268781),Jared Walsh (18268468),Jace Peterson (18268615),Harold Castro (18268718),Zack Short (18268802),Brian Goodwin (18268627),Shohei Ohtani (18268424),Joey Gallo (18268556),48600,134.1507489236291
Eduardo Rodriguez (18268409),Jordan Montgomery (18268410),Michael Perez (18268770),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556),46900,133.7948081488577
Sonny Gray (18268408),Max Scherzer (18268394),Mike Zunino (18268573),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Robbie Grossman (18268631),49400,133.72615806617176
Eduardo Rodriguez (18268409),Sonny Gray (18268408),Yadier Molina (18268508),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627),49400,133.6901987350548
Max Scherzer (18268394),Julio Urias (18268397),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Ke'Bryan Hayes (18268500),Zack Short (18268802),Joey Gallo (18268556),Brian Goodwin (18268627),Myles Straw (18268684),48400,133.27095330346663
Eduardo Rodriguez (18268409),Taijuan Walker (18268404),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Yandy Diaz (18268632),Trea Turner (18268426),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556),49100,132.94386896066146
Max Scherzer (18268394),Zac Gallen (18268400),Riley Adams (18268781),Shohei Ohtani (18268424),Nick Solak (18268630),Jose Ramirez (18268454),Ramon Urias (18268738),Jace Peterson (18268615),Joey Gallo (18268556),Brian Goodwin (18268627),49400,132.82116240871744
Sonny Gray (18268408),Zac Gallen (18268400),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Josh Donaldson (18268444),Ramon Urias (18268738),Kyle Schwarber (18268437),Brian Goodwin (18268627),Joey Gallo (18268556),49400,132.74103290215297
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Martin Maldonado (18268967),Shohei Ohtani (18268424),Jace Peterson (18268615),Yoan Moncada (18268474),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Yordan Alvarez (18268452),49500,132.63871566836622
Max Scherzer (18268394),Kyle Gibson (18268406),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Carlos Correa (18268455),Joey Gallo (18268556),Alex Verdugo (18268585),Brian Goodwin (18268627),48900,132.5772573498013
Max Scherzer (18268394),Taijuan Walker (18268404),Jorge Alfaro (18268712),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Zack Short (18268802),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437),48400,132.54552963951002
Eduardo Rodriguez (18268409),Julio Urias (18268397),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Jake Fraley (18268677),48300,132.4545805730746
Max Scherzer (18268394),Sonny Gray (18268408),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Abraham Toro (18268689),Bo Bichette (18268442),Joey Gallo (18268556),Brian Goodwin (18268627),George Springer (18268510),49700,132.310399949535
Eduardo Rodriguez (18268409),Max Scherzer (18268394),Eric Haase (18268578),Shohei Ohtani (18268424),Ozzie Albies (18268433),Harold Castro (18268718),Kevin Newman (18268714),Brian Goodwin (18268627),Jace Peterson (18268615),Joey Gallo (18268556),49400,132.29491073929395
Taijuan Walker (18268404),Max Scherzer (18268394),Austin Hedges (18268797),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Zack Short (18268802),Joey Gallo (18268556),Brian Goodwin (18268627),Kyle Schwarber (18268437),49400,132.28454548052488
Eduardo Rodriguez (18268409),Lance Lynn (18268395),Jake Rogers (18268695),Keston Hiura (18268602),Jace Peterson (18268615),Rafael Devers (18268469),Willy Adames (18268490),Joey Gallo (18268556),Kyle Schwarber (18268437),Brian Goodwin (18268627),49400,132.27736031766935
Eduardo Rodriguez (18268409),Max Scherzer (18268394),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Jake Fraley (18268677),49000,132.20938598701258
Eduardo Rodriguez (18268409),Max Scherzer (18268394),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Ramon Urias (18268738),Joey Gallo (18268556),Jake Fraley (18268677),Brian Goodwin (18268627),49000,132.20938598701258
Zac Gallen (18268400),Eduardo Rodriguez (18268409),Jorge Alfaro (18268712),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Harold Castro (18268718),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627),49100,132.13038189039383
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Patrick Wisdom (18268536),Bo Bichette (18268442),Joey Gallo (18268556),Myles Straw (18268684),Brian Goodwin (18268627),49800,132.02869218039297
Jordan Montgomery (18268410),Zac Gallen (18268400),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Josh Donaldson (18268444),J.P. Crawford (18268629),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627),49800,132.01474581899427
Max Scherzer (18268394),Kyle Gibson (18268406),Ryan Jeffers (18268550),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Cedric Mullins (18268523),Brian Goodwin (18268627),Joey Gallo (18268556),48600,131.9563871804962
Kyle Gibson (18268406),Max Scherzer (18268394),Ryan Jeffers (18268550),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Cedric Mullins (18268523),Joey Gallo (18268556),Brian Goodwin (18268627),48600,131.9563871804962
