P,P,C,1B,2B,3B,SS,OF,OF,OF,OF
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Miguel Cabrera (18306022),Jace Peterson (18305910),Ryan McMahon (18305840),Zack Short (18306151),Brian Goodwin (18306054),Joey Gallo (18305848),Starling Marte (18305866)
Jacob deGrom (18305745),Carlos Rodon (18305746),Martin Maldonado (18306299),Ty France (18306006),Jace Peterson (18305910),Ke'Bryan Hayes (18305900),Ramon Urias (18306043),Adam Duvall (18305945),Joey Gallo (18305848),Brian Goodwin (18306054)
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Miguel Cabrera (18306022),Jace Peterson (18305910),Kyle Seager (18305934),Harold Castro (18306075),Joey Gallo (18305848),Brian Goodwin (18306054),Teoscar Hernandez (18305831)
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Miguel Cabrera (18306022),Jace Peterson (18305910),Austin Riley (18305888),Miguel Rojas (18306035),Brian Goodwin (18306054),Joey Gallo (18305848),Andrew McCutchen (18305964)
Jacob deGrom (18305745),Carlos Rodon (18305746),Ryan Jeffers (18305975),Keston Hiura (18305914),Jace Peterson (18305910),Ernie Clement (18306213),Harold Castro (18306075),Brian Goodwin (18306054),Cedric Mullins (18305926),Joey Gallo (18305848)
Carlos Rodon (18305746),Jacob deGrom (18305745),Michael Perez (18306166),Ryan Mountcastle (18305925),Jace Peterson (18305910),Eduardo Escobar (18305852),Ramon Urias (18306043),Joey Gallo (18305848),Eddie Rosario (18306015),Brian Goodwin (18306054)
Jacob deGrom (18305745),Carlos Rodon (18305746),Victor Caratini (18306037),Ryan Mountcastle (18305925),Jace Peterson (18305910),Harold Castro (18306075),Miguel Rojas (18306035),Joey Gallo (18305848),Adam Duvall (18305945),Brian Goodwin (18306054)
Jacob deGrom (18305745),Carlos Rodon (18305746),Tucker Barnhart (18305932),Ryan Mountcastle (18305925),Jace Peterson (18305910),Harold Castro (18306075),Zack Short (18306151),Brian Goodwin (18306054),Robbie Grossman (18305989),Joey Gallo (18305848)
Jacob deGrom (18305745),Carlos Rodon (18305746),Austin Hedges (18306169),Keston Hiura (18305914),Jace Peterson (18305910),Luis Arraez (18305994),Zack Short (18306151),Joey Gallo (18305848),Starling Marte (18305866),Brian Goodwin (18306054)
Carlos Rodon (18305746),Jacob deGrom (18305745),Martin Maldonado (18306299),Miguel Cabrera (18306022),Jace Peterson (18305910),Yoan Moncada (18305833),Ramon Urias (18306043),Taylor Ward (18306123),Brian Goodwin (18306054),Joey Gallo (18305848)
