P,P,C,1B,2B,3B,SS,OF,OF,OF,OF,Salary,Proj
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Alex Kirilloff (18305949),Jace Peterson (18305910),Eric Sogard (18306157),Harold Castro (18306075),Brian Goodwin (18306054),Nelson Cruz (18305796),Joey Gallo (18305848),49600,140.9498493057896
Carlos Rodon (18305746),Jacob deGrom (18305745),Jake Rogers (18306011),Miguel Cabrera (18306022),Jace Peterson (18305910),Maikel Franco (18305973),Harold Castro (18306075),Hunter Renfroe (18305938),Joey Gallo (18305848),Brian Goodwin (18306054),49600,140.8785048798127
Jacob deGrom (18305745),Carlos Rodon (18305746),Jorge Alfaro (18306142),Keston Hiura (18305914),Jace Peterson (18305910),Eugenio Suarez (18305922),Josh Rojas (18305991),Brian Goodwin (18306054),Taylor Ward (18306123),Joey Gallo (18305848),49300,140.8572629661828
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Jose Abreu (18305801),Jace Peterson (18305910),Harold Castro (18306075),Nicky Lopez (18306118),Joey Gallo (18305848),Brian Goodwin (18306054),Josh Rojas (18305991),49300,140.8074375872288
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Ty France (18306006),Jace Peterson (18305910),Eduardo Escobar (18305852),Josh Rojas (18305991),Brian Goodwin (18306054),Joey Gallo (18305848),Bradley Zimmer (18306180),48500,140.80093972473892
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Miguel Cabrera (18306022),Jace Peterson (18305910),Ke'Bryan Hayes (18305900),Miguel Rojas (18306035),Brian Goodwin (18306054),Joey Gallo (18305848),Eli White (18306056),48400,140.74020326551175
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Miguel Cabrera (18306022),Jace Peterson (18305910),Kyle Seager (18305934),Harold Castro (18306075),Harold Ramirez (18306124),Brian Goodwin (18306054),Joey Gallo (18305848),47400,140.72522253685196
Carlos Rodon (18305746),Jacob deGrom (18305745),Jake Rogers (18306011),Miguel Cabrera (18306022),Jace Peterson (18305910),Harold Castro (18306075),Zack Short (18306151),Joey Gallo (18305848),Brian Goodwin (18306054),Andrew McCutchen (18305964),48000,140.56902238068255
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Patrick Wisdom (18305861),Jace Peterson (18305910),Jose Peraza (18306110),Harold Castro (18306075),Brian Goodwin (18306054),Joey Gallo (18305848),Michael Brantley (18305895),49300,140.5652994563765
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Christian Walker (18306036),Jace Peterson (18305910),Eduardo Escobar (18305852),Harold Castro (18306075),Taylor Ward (18306123),Joey Gallo (18305848),Brian Goodwin (18306054),48100,140.56418410214619
Jacob deGrom (18305745),Carlos Rodon (18305746),Yan Gomes (18306047),Carlos Santana (18305905),Jace Peterson (18305910),Jose Peraza (18306110),Ramon Urias (18306043),Joey Gallo (18305848),Brian Goodwin (18306054),Robbie Grossman (18305989),49000,140.55462678402995
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Miguel Cabrera (18306022),Jace Peterson (18305910),Austin Riley (18305888),Luis Garcia (18306306),Brian Goodwin (18306054),Joey Gallo (18305848),Andrew McCutchen (18305964),48600,140.5456888308908
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Ryan Mountcastle (18305925),Jace Peterson (18305910),Hunter Dozier (18306112),Luis Garcia (18306306),Joey Gallo (18305848),Brian Goodwin (18306054),Jake Fraley (18305972),47700,140.44607692877412
Jacob deGrom (18305745),Carlos Rodon (18305746),Yadier Molina (18305865),Bobby Bradley (18305858),Jace Peterson (18305910),Ernie Clement (18306213),Ramon Urias (18306043),Joey Gallo (18305848),Brian Goodwin (18306054),Taylor Ward (18306123),49700,140.43186898957194
Carlos Rodon (18305746),Jacob deGrom (18305745),Ryan Jeffers (18305975),Christian Walker (18306036),Jace Peterson (18305910),Eduardo Escobar (18305852),Ramon Urias (18306043),Brian Goodwin (18306054),Joey Gallo (18305848),Harold Ramirez (18306124),49700,140.41277558781695
Jacob deGrom (18305745),Carlos Rodon (18305746),Jake Rogers (18306011),Jonathan Schoop (18305790),Jace Peterson (18305910),Ernie Clement (18306213),Josh Rojas (18305991),Taylor Ward (18306123),Joey Gallo (18305848),Brian Goodwin (18306054),49900,140.40982962703595
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Christian Walker (18306036),Jace Peterson (18305910),Harold Castro (18306075),Trea Turner (18305775),Brian Goodwin (18306054),Joey Gallo (18305848),Nomar Mazara (18306139),49800,140.38893175352757
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Jake Bauers (18306167),Jace Peterson (18305910),Harold Castro (18306075),Jose Iglesias (18305911),George Springer (18305814),Brian Goodwin (18306054),Joey Gallo (18305848),49400,140.2620384525473
Carlos Rodon (18305746),Jacob deGrom (18305745),Jake Rogers (18306011),Ty France (18306006),Jace Peterson (18305910),Harold Castro (18306075),Josh Rojas (18305991),Brian Goodwin (18306054),Taylor Ward (18306123),Joey Gallo (18305848),48100,140.22162324625975
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Joey Votto (18305816),Jace Peterson (18305910),Eduardo Escobar (18305852),Ronald Torreyes (18306105),Taylor Ward (18306123),Joey Gallo (18305848),Brian Goodwin (18306054),50000,140.207975978718
Jacob deGrom (18305745),Carlos Rodon (18305746),Michael Perez (18306166),Trey Mancini (18305883),Jace Peterson (18305910),Harold Castro (18306075),Zack Short (18306151),Bryan Reynolds (18305875),Brian Goodwin (18306054),Joey Gallo (18305848),49100,140.19015472578815
Carlos Rodon (18305746),Jacob deGrom (18305745),Yan Gomes (18306047),Miguel Cabrera (18306022),Jace Peterson (18305910),Harold Castro (18306075),Brendan Rodgers (18305856),Joey Gallo (18305848),Brian Goodwin (18306054),Hunter Dozier (18306112),49100,140.18537598387533
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Paul Goldschmidt (18305830),Jace Peterson (18305910),Alec Bohm (18305943),Elvis Andrus (18306152),Brian Goodwin (18306054),Joey Gallo (18305848),Andrew McCutchen (18305964),49700,140.1280157755138
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Jared Walsh (18305788),Jace Peterson (18305910),Ernie Clement (18306213),Miguel Rojas (18306035),Brian Goodwin (18306054),Harold Ramirez (18306124),Joey Gallo (18305848),48600,139.99534279052526
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Ty France (18306006),Jace Peterson (18305910),Brock Holt (18306004),J.P. Crawford (18305927),Eli White (18306056),Brian Goodwin (18306054),Joey Gallo (18305848),48500,139.94249021414169
Carlos Rodon (18305746),Jacob deGrom (18305745),Dom Nunez (18306012),Ryan Mountcastle (18305925),Jace Peterson (18305910),Luis Arraez (18305994),Harold Castro (18306075),Joey Gallo (18305848),Jake Fraley (18305972),Brian Goodwin (18306054),49900,139.85341429105017
