,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,opp_pitch_hand,opp_pitch,bats,k_pct,bb_pct,bb_k,bat_avg,obp,slg,ops,iso,babip,wrc,wraa,woba,wrc_plus,opp_k/9,opp_bb/9,opp_k/bb,opp_hr/9,opp_k_pct,opp_bb_pct,opp_k_bb_pct,opp_avg,opp_whip,opp_babip,opp_lob_pct,opp_fip,opp_xfip,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
15,KC,6/7/2021,1,670032,Nicky Lopez,9,Y,SS,R,Dylan Bundy,L,0.18146718,0.1042471,0.57446809,0.21777778,0.30708661,0.28444444,0.59153105,0.06666666,0.2752809,22.077409908855767,-9.380115478550572,0.2712416810782876,68.28537578043836,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,8.50276243,20210607,2980,670032,1.0,9,6,3.0,2300,KAN,@ laa,,3,8
16,CHC,6/7/2021,1,575929,Willson Contreras,1,Y,C,L,Ryan Weathers,R,0.25242718,0.0776699,0.30769231,0.27173913,0.33980583,0.47826087,0.8180666999999999,0.20652174,0.32258065,14.966422075140805,2.519487360227438,0.3470505818282024,119.09059711786915,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,20210607,2639,575929,1.0,1,2,0.0,4100,CHC,@ sdg,,4,9
17,CHC,6/7/2021,1,592178,Kris Bryant,2,Y,RF,L,Ryan Weathers,R,0.20238095,0.14285714,0.70588235,0.37142857,0.47619048,0.74285714,1.21904762,0.37142857,0.42553191,23.31610387473878,13.209533951278296,0.5092378826368422,225.9933049145296,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,20210607,2554,592178,1.0,2,37,5.0,5100,CHC,@ sdg,,4,9
18,CHC,6/7/2021,1,519203,Anthony Rizzo,3,Y,1B,L,Ryan Weathers,L,0.10810811,0.13513514,1.25,0.27173913,0.38738739,0.35869565,0.74608304,0.08695652,0.29113924,15.624138682183931,2.146171397564124,0.3399336048074671,114.31043647544772,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,6.58536585,20210607,3210,519203,1.0,3,3,8.0,4900,CHC,@ sdg,,4,9
20,CHC,6/7/2021,1,664023,Ian Happ,6,Y,LF,L,Ryan Weathers,R,0.35106383,0.14893617,0.42424242,0.24358974,0.35869565,0.35897436,0.71767001,0.11538462,0.39534884,11.879482532837555,0.39253756681935603,0.3210543407188667,101.62550399192568,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,6.66233766,20210607,2775,664023,1.0,6,7,14.0,4200,CHC,@ sdg,,4,9
23,SD,6/7/2021,1,592518,Manny Machado,2,Y,3B,R,Adbert Alzolay,R,0.15915916,0.0990991,0.62264151,0.28231293,0.34834835,0.52721088,0.87555923,0.24489795,0.29004329,54.363724588962356,13.90301756522256,0.364951529401414,133.15627549561188,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,10.66935484,20210607,6266,592518,1.0,2,5,21.0,4500,SDG,v chc,,9,4
24,SD,6/7/2021,1,630105,Jake Cronenworth,3,Y,2B,R,Adbert Alzolay,L,0.13240418,0.08362369,0.63157895,0.30980392,0.37323944,0.52941176,0.9026512,0.21960784,0.33333333,50.80455683316124,16.171767698181984,0.3828141325754477,144.87827815704824,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,20210607,3295,630105,1.0,3,4,10.0,3900,SDG,v chc,,9,4
25,SD,6/7/2021,1,543333,Eric Hosmer,5,Y,1B,R,Adbert Alzolay,L,0.15899582,0.07949791,0.5,0.29357798,0.35146444,0.46330275,0.81476719,0.16972477,0.31578947,36.24669971738005,7.460573848821173,0.35096547032604697,124.18773087996556,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,20210607,3215,543333,1.0,5,3,9.0,4600,SDG,v chc,,9,4
26,SD,6/7/2021,1,595777,Jurickson Profar,6,Y,CF,R,Adbert Alzolay,L,0.13857678,0.10861423,0.78378378,0.26521739,0.35471698,0.37826087,0.73297785,0.11304348,0.29473684,34.644456430688294,2.3614047759918297,0.3250177543271672,106.91861960999807,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,20210607,6271,595777,1.0,6,7,8.0,3300,SDG,v chc,,9,4
28,SD,6/7/2021,1,605170,Victor Caratini,8,Y,C,R,Adbert Alzolay,L,0.23195876,0.11340206,0.48888889,0.20958084,0.31443299,0.32335329,0.63778628,0.11377245,0.26666667,18.780310568956228,-4.75017866716018,0.2857201000054677,79.74614916553502,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,9.86538461,20210607,2638,605170,1.0,8,2,16.0,2600,SDG,v chc,,9,4
