,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,opp_pitch_hand,opp_pitch,bats,k_pct,bb_pct,bb_k,bat_avg,obp,slg,ops,iso,babip,wrc,wraa,woba,wrc_plus,opp_k/9,opp_bb/9,opp_k/bb,opp_hr/9,opp_k_pct,opp_bb_pct,opp_k_bb_pct,opp_avg,opp_whip,opp_babip,opp_lob_pct,opp_fip,opp_xfip,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
0,BAL,6/17/2021,1,656775.0,Cedric Mullins,1,Y,CF,R,Eli Morgan,L,0.21484375,0.078125,0.36363636,0.3,0.35968379,0.46521739,0.82490118,0.16521739,0.37058824,39.537043316649324,8.661609506594077,0.35590049127737683,128.1151173379765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210617,2911,656775,1.0,1,7.0,2.0,3700.0,BAL,@ cle,,3,10
1,BAL,6/17/2021,1,641820.0,Trey Mancini,2,Y,1B,R,Eli Morgan,R,0.22962963,0.08148148,0.35483871,0.24590164,0.31851852,0.44262295,0.76114147,0.19672131,0.29069767,18.20320732732449,2.4631025998774527,0.332209226820204,113.69524940129938,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,20210617,2745,641820,1.0,2,3.0,8.0,4800.0,BAL,@ cle,,3,10
2,BAL,6/17/2021,1,520471.0,Freddy Galvis,3,Y,SS,R,Eli Morgan,L,0.19831224,0.08438819,0.42553191,0.23076923,0.31779661,0.43269231,0.75048892,0.20192308,0.25,31.028171309691835,2.30546610192673,0.32695843759229626,105.35259314308037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210617,6261,520471,1.0,3,6.0,2.0,3300.0,BAL,@ cle,,3,10
3,BAL,6/17/2021,1,663624.0,Ryan Mountcastle,4,Y,DH,R,Eli Morgan,R,0.28888889,0.05333333,0.18461538,0.26190476,0.30666667,0.3952381,0.70190477,0.13333334,0.35,26.00999920510809,-1.1706246764107426,0.30553283400005765,94.48058564912331,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,20210617,3339,663624,1.0,4,37.0,6.0,3100.0,BAL,@ cle,,3,10
4,BAL,6/17/2021,1,623993.0,Anthony Santander,5,Y,RF,R,Eli Morgan,L,0.14572864,0.05025126,0.34482759,0.27717391,0.31818182,0.56521739,0.88339921,0.28804348,0.26896552,32.2961523816861,7.9057095483816955,0.3634106085850641,132.9198099064933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210617,2749,623993,1.0,5,7.0,3.0,3000.0,BAL,@ cle,,3,10
5,BAL,6/17/2021,1,669720.0,Austin Hays,6,Y,LF,R,Eli Morgan,R,0.20725389,0.07253886,0.35,0.25433526,0.32124352,0.37572254,0.69696606,0.12138728,0.3,22.22777494680037,-1.2039910342181712,0.3073077109193555,94.98709432726051,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,20210617,2845,669720,1.0,6,7.0,14.0,2700.0,BAL,@ cle,,3,10
6,BAL,6/17/2021,1,596748.0,Maikel Franco,7,Y,3B,R,Eli Morgan,R,0.15337423,0.06134969,0.4,0.23509934,0.2791411,0.39735099,0.67649209,0.16225165,0.24796748,32.929244456991114,-6.8225296678100396,0.2892479060246394,81.42222094820399,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,3.375,20210617,2525,596748,1.0,7,5.0,14.0,2400.0,BAL,@ cle,,3,10
8,CLE,6/17/2021,1,605548.0,Bradley Zimmer,1,Y,CF,R,Jorge Lopez,L,0.2826087,0.15217391,0.53846154,0.15625,0.39130435,0.25,0.64130435,0.09375,0.21052632,5.816756155897345,0.06031872015115133,0.3209831546182218,99.863401051927,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,20210617,2776,605548,1.0,1,7.0,5.0,2400.0,CLE,v bal,,10,3
9,CLE,6/17/2021,1,642708.0,Amed Rosario,2,Y,SS,R,Jorge Lopez,R,0.28571429,0.05142857,0.18,0.19393939,0.24,0.3030303,0.5430303000000001,0.10909091,0.25225225,10.323944590300641,-10.857244797736087,0.2392091291291373,49.30717836585997,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,7.94117647,20210617,2817,642708,1.0,2,6.0,8.0,3800.0,CLE,v bal,,10,3
11,CLE,6/17/2021,1,592696.0,Eddie Rosario,4,Y,LF,R,Jorge Lopez,L,0.14685315,0.08741259,0.5952381,0.25193798,0.31818182,0.47286822,0.79105004,0.22093024,0.24630542,39.69602045392644,4.7956172523463865,0.3349519042481839,112.20820625566203,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,8.07692308,20210617,2548,592696,1.0,4,7.0,14.0,3900.0,CLE,v bal,,10,3
