,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,opp_pitch_hand,opp_pitch,bats,k_pct,bb_pct,bb_k,bat_avg,obp,slg,ops,iso,babip,wrc,wraa,woba,wrc_plus,opp_k/9,opp_bb/9,opp_k/bb,opp_hr/9,opp_k_pct,opp_bb_pct,opp_k_bb_pct,opp_avg,opp_whip,opp_babip,opp_lob_pct,opp_fip,opp_xfip,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
0,WAS,6/3/2021,1,607208,Trea Turner,1,Y,SS,L,Tucker Davidson,R,0.13888889,0.10185185,0.73333333,0.38947368,0.4537037,0.72631579,1.18001949,0.33684211,0.40540541,28.68010807643784,15.516180670365213,0.4897257437308629,210.18825147208008,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,20210603,2602,607208,1.0,1,6,3.0,5400,WAS,@ atl,,1,5
1,WAS,6/3/2021,1,543281,Josh Harrison,2,Y,LF,L,Tucker Davidson,R,0.11111111,0.01587302,0.14285714,0.31034483,0.34920635,0.55172414,0.90093049,0.24137931,0.29166667,11.030114913609262,3.3362654990222413,0.3814667349769956,138.7063043607045,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,20210603,4248,543281,1.0,2,47,2.0,3100,WAS,@ atl,,1,5
2,WAS,6/3/2021,1,665742,Juan Soto,3,Y,RF,L,Tucker Davidson,L,0.13861386,0.11881188,0.85714286,0.29545455,0.38613861,0.625,1.01113861,0.32954545,0.28358209,20.663026347465816,8.386732972867787,0.41491696664265226,160.51507014474365,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20210603,2880,665742,1.0,3,7,4.0,5000,WAS,@ atl,,1,5
4,WAS,6/3/2021,1,516770,Starlin Castro,5,Y,3B,L,Tucker Davidson,R,0.21538462,0.04615385,0.21428571,0.37704918,0.4,0.47540984,0.87540984,0.09836066,0.47916667,11.303304203133454,3.5728392976330445,0.37769360358898457,137.992844305951,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,20210603,6233,516770,1.0,5,5,2.0,3000,WAS,@ atl,,1,5
5,WAS,6/3/2021,1,645302,Victor Robles,6,Y,CF,L,Tucker Davidson,R,0.21348315,0.11235955,0.52631579,0.30136986,0.42045455,0.36986301,0.79031756,0.06849315,0.40740741,13.903308582465856,3.052940797965734,0.3570824265480041,122.86697833749909,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,3.85714285,20210603,2847,645302,1.0,6,7,2.0,3400,WAS,@ atl,,1,5
9,ATL,6/3/2021,1,518692,Freddie Freeman,2,Y,1B,L,Patrick Corbin,L,0.20338983,0.13559322,0.66666667,0.2254902,0.33050847,0.37254902,0.70305749,0.14705882,0.25675676,14.3070998871092,-0.004891089224418596,0.3147344599335881,95.60003589433279,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,9.10843374,20210603,3194,518692,1.0,2,3,0.0,5200,ATL,v was,,5,1
10,ATL,6/3/2021,1,645277,Ozzie Albies,3,Y,2B,L,Patrick Corbin,R,0.16,0.02666667,0.16666667,0.26388889,0.29333333,0.52777778,0.82111111,0.26388889,0.25454545,11.099728690119235,2.1050444782094613,0.3503135832150777,119.42979224851324,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210603,2819,645277,1.0,3,4,22.0,4400,ATL,v was,,5,1
11,ATL,6/3/2021,1,663586,Austin Riley,4,Y,3B,L,Patrick Corbin,R,0.35955056,0.06741573,0.1875,0.27160494,0.32584270000000004,0.54320988,0.86905258,0.27160494,0.39130435,14.130641245246734,3.3428188571341946,0.3620898391712796,126.39913453465986,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210603,2982,663586,1.0,4,5,9.0,3900,ATL,v was,,5,1
12,ATL,6/3/2021,1,621020,Dansby Swanson,5,Y,SS,L,Patrick Corbin,R,0.30681818,0.05681818,0.18518519,0.225,0.27272727,0.375,0.64772727,0.15,0.30188679,8.058959053704218,-2.621205022683664,0.28025300055742264,72.74737348697161,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210603,2731,621020,1.0,5,6,16.0,3900,ATL,v was,,5,1
13,ATL,6/3/2021,1,501303,Ehire Adrianza,6,Y,LF,L,Patrick Corbin,R,0.19402985,0.08955224,0.46153846,0.2,0.28358209,0.26666667,0.55024876,0.06666667,0.25531915,4.710101294027115,-3.494796877099726,0.25324391962876963,56.19482610381669,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210603,6297,501303,1.0,6,57,2.0,2900,ATL,v was,,5,1
16,TB,6/3/2021,1,668227,Randy Arozarena,1,Y,LF,R,Gerrit Cole,R,0.29473684,0.1,0.33928571,0.25465839,0.35789474,0.42857143,0.78646617,0.17391304,0.34,27.58558840162359,4.959290413626047,0.34448910863311205,125.01801008390551,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,20210603,3262,668227,1.0,1,7,10.0,5500,TAM,@ nyy,,9,2
17,TB,6/3/2021,1,664040,Brandon Lowe,2,Y,2B,R,Gerrit Cole,L,0.25986842,0.13157895,0.50632911,0.25581395,0.36184211,0.49224806,0.85409017,0.23643411,0.30722892,49.17818878835421,12.26845552271586,0.36431397750132105,137.69153900065376,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,13.03448276,20210603,2909,664040,1.0,2,4,18.0,4300,TAM,@ nyy,,9,2
