,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,opp_pitch_hand,opp_pitch,bats,k_pct,bb_pct,bb_k,bat_avg,obp,slg,ops,iso,babip,wrc,wraa,woba,wrc_plus,opp_k/9,opp_bb/9,opp_k/bb,opp_hr/9,opp_k_pct,opp_bb_pct,opp_k_bb_pct,opp_avg,opp_whip,opp_babip,opp_lob_pct,opp_fip,opp_xfip,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
0,PIT,6/14/2021,1,624428,Adam Frazier,1,N,,L,Jon Lester,L,0.16504854,0.05825243,0.35294118,0.26315789,0.32038835,0.4,0.72038835,0.13684211,0.30263158,12.389301904786407,-0.048697753500164254,0.3156981636019586,98.91136744816649,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,7.36363636,20210614,2707,624428,1.0,1,4,2.0,4000,PIT,@ was,,2,3
2,PIT,6/14/2021,1,668804,Bryan Reynolds,3,N,,L,Jon Lester,R,0.26923077,0.11538462,0.42857143,0.29347826,0.375,0.51086957,0.88586957,0.21739131,0.40322581,17.90420197516946,5.349608948531428,0.3786430694524524,140.8037220954003,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,20210614,2964,668804,1.0,3,7,5.0,3300,PIT,@ was,,2,3
3,PIT,6/14/2021,1,607732,Jacob Stallings,4,N,,L,Jon Lester,R,0.22077922,0.16883117,0.76470588,0.265625,0.38961039,0.546875,0.93648539,0.28125,0.30232558,14.80057060957401,5.45654392481296,0.4006806039190912,154.73371236247505,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,20210614,2706,607732,1.0,4,2,7.0,4000,PIT,@ was,,2,3
4,PIT,6/14/2021,1,595943,Phillip Evans,5,N,,L,Jon Lester,R,0.19047619,0.07142857,0.375,0.23684211,0.30952381,0.34210526,0.65162907,0.10526315,0.27586207,4.369694135129688,-0.6523181284067651,0.2903877141929808,83.28751901149772,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,20210614,2848,595943,1.0,5,37,2.0,2500,PIT,@ was,,2,3
5,PIT,6/14/2021,1,570481,Erik Gonzalez,6,N,,L,Jon Lester,R,0.16666667,0.06666667,0.4,0.28915663,0.33707865,0.51807229,0.85515094,0.22891566,0.3125,14.575465041342573,3.644244114998181,0.3638617938823914,130.53765964533554,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,20210614,2416,570481,1.0,7,35,5.0,2200,PIT,@ was,,2,3
7,PIT,6/14/2021,1,621028,Kevin Newman,8,N,,L,Jon Lester,R,0.04878049,0.08536585,1.75,0.18055556,0.25609756,0.23611111,0.49220867,0.05555555,0.17391304,4.181314308320325,-5.701003935064036,0.2263452512461965,40.658322574385906,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,6.02575107,20210614,2916,621028,1.0,6,6,17.0,2100,PIT,@ was,,2,3
8,WAS,6/14/2021,1,656941,Kyle Schwarber,1,N,,R,JT Brubaker,L,0.27368421,0.1122807,0.41025641,0.204,0.30175439,0.444,0.74575439,0.24,0.22435897,35.81230091636008,1.1267767060262548,0.3202732771950981,100.24966523173237,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,20210614,2580,656941,1.0,1,7,21.0,4100,WAS,v pit,,3,2
9,WAS,6/14/2021,1,607208,Trea Turner,2,N,,R,JT Brubaker,R,0.16997167,0.05949008,0.35,0.30769231,0.35410765,0.51076923,0.86487688,0.20307692,0.33596838,58.79917959816271,15.899384527872146,0.36938659631496784,131.19393319793107,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,9.51923077,20210614,2602,607208,1.0,2,6,5.0,5700,WAS,v pit,,3,2
10,WAS,6/14/2021,1,665742,Juan Soto,3,N,,R,JT Brubaker,L,0.12955466,0.21862348,1.6875,0.33333333,0.47773279,0.54166667,1.01939946,0.20833334,0.35761589,53.25429363258457,23.20482372202253,0.4264518684811062,169.78474679532403,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,20210614,2880,665742,1.0,3,7,5.0,6000,WAS,v pit,,3,2
11,WAS,6/14/2021,1,605137,Josh Bell,5,N,,R,JT Brubaker,L,0.26022305,0.07063197,0.27142857,0.24291498,0.30111524,0.40890688,0.71002212,0.1659919,0.29341317,30.244651067214452,-2.5575091362424196,0.304532460924378,89.93769255834991,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,8.70394737,20210614,2670,605137,1.0,4,3,5.0,4100,WAS,v pit,,3,2
