,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,opp_pitch_hand,opp_pitch,bats,k_pct,bb_pct,bb_k,bat_avg,obp,slg,ops,iso,babip,wrc,wraa,woba,wrc_plus,opp_k/9,opp_bb/9,opp_k/bb,opp_hr/9,opp_k_pct,opp_bb_pct,opp_k_bb_pct,opp_avg,opp_whip,opp_babip,opp_lob_pct,opp_fip,opp_xfip,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
2,PIT,6/15/2021,1,668804,Bryan Reynolds,3,N,,L,Patrick Corbin,R,0.26923077,0.11538462,0.42857143,0.29347826,0.375,0.51086957,0.88586957,0.21739131,0.40322581,17.90420197516946,5.349608948531428,0.3786430694524524,140.8037220954003,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210615,2964,668804,1.0,3,7.0,6.0,3200.0,PIT,@ was,,1,8
3,PIT,6/15/2021,1,607732,Jacob Stallings,4,N,,L,Patrick Corbin,R,0.22077922,0.16883117,0.76470588,0.265625,0.38961039,0.546875,0.93648539,0.28125,0.30232558,14.80057060957401,5.45654392481296,0.4006806039190912,154.73371236247505,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210615,2706,607732,1.0,4,2.0,0.0,3700.0,PIT,@ was,,1,8
4,PIT,6/15/2021,1,595943,Phillip Evans,5,N,,L,Patrick Corbin,R,0.19047619,0.07142857,0.375,0.23684211,0.30952381,0.34210526,0.65162907,0.10526315,0.27586207,4.369694135129688,-0.6523181284067651,0.2903877141929808,83.28751901149772,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210615,2848,595943,1.0,8,37.0,7.0,2300.0,PIT,@ was,,1,8
5,PIT,6/15/2021,1,570481,Erik Gonzalez,6,N,,L,Patrick Corbin,R,0.16666667,0.06666667,0.4,0.28915663,0.33707865,0.51807229,0.85515094,0.22891566,0.3125,14.575465041342573,3.644244114998181,0.3638617938823914,130.53765964533554,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210615,2416,570481,1.0,6,35.0,6.0,2300.0,PIT,@ was,,1,8
7,PIT,6/15/2021,1,621028,Kevin Newman,8,N,,L,Patrick Corbin,R,0.04878049,0.08536585,1.75,0.18055556,0.25609756,0.23611111,0.49220867,0.05555555,0.17391304,4.181314308320325,-5.701003935064036,0.2263452512461965,40.658322574385906,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,7.26923077,20210615,2916,621028,1.0,1,6.0,0.0,2100.0,PIT,@ was,,1,8
8,WAS,6/15/2021,1,607208,Trea Turner,1,N,,L,Tyler Anderson,R,0.13888889,0.10185185,0.73333333,0.38947368,0.4537037,0.72631579,1.18001949,0.33684211,0.40540541,28.68010807643784,15.516180670365213,0.4897257437308629,210.18825147208008,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,20210615,2602,607208,1.0,2,6.0,21.0,5500.0,WAS,v pit,,8,1
9,WAS,6/15/2021,1,665742,Juan Soto,2,N,,L,Tyler Anderson,L,0.13861386,0.11881188,0.85714286,0.29545455,0.38613861,0.625,1.01113861,0.32954545,0.28358209,20.663026347465816,8.386732972867787,0.41491696664265226,160.51507014474365,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,20210615,2880,665742,1.0,3,7.0,5.0,6000.0,WAS,v pit,,8,1
11,WAS,6/15/2021,1,656941,Kyle Schwarber,4,N,,L,Tyler Anderson,L,0.33962264,0.13207547,0.38888889,0.20454545,0.33962264,0.32954545,0.66916809,0.125,0.30612245,12.151919161708244,-0.7520163377810651,0.3079686828379361,92.05904636601026,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,6.40206186,20210615,2580,656941,1.0,1,7.0,7.0,4000.0,WAS,v pit,,8,1
12,WAS,6/15/2021,1,543281,Josh Harrison,5,N,,L,Tyler Anderson,R,0.11111111,0.01587302,0.14285714,0.31034483,0.34920635,0.55172414,0.90093049,0.24137931,0.29166667,11.030114913609262,3.3362654990222413,0.3814667349769956,138.7063043607045,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,20210615,4248,543281,1.0,5,4.0,7.0,3700.0,WAS,v pit,,8,1
13,WAS,6/15/2021,1,543228,Yan Gomes,6,N,,L,Tyler Anderson,R,0.10909091,0.01818182,0.16666667,0.34615385,0.34545455,0.59615385,0.9416084,0.25,0.33333333,9.997449403621413,3.3256975021140347,0.388785247369246,143.99286906394963,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,7.78651685,20210615,2364,543228,1.0,6,2.0,24.0,5000.0,WAS,v pit,,8,1
