,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,num_L_bats,num_R_bats,is_nl,k_9_l,bb_9_l,k_bb_l,hr_9_l,k_pct_l,bb_pct_l,k_bb_pct_l,bat_avg_l,whip_l,babip_l,lob_pct_l,fip_l,xfip_l,k_9_r,bb_9_r,k_bb_r,hr_9_r,k_pct_r,bb_pct_r,k_bb_pct_r,bat_avg_r,whip_r,babip_r,lob_pct_r,fip_r,xfip_r,k_9_l_tot,bb_9_l_tot,k_bb_l_tot,hr_9_l_tot,k_pct_l_tot,bb_pct_l_tot,k_bb_pct_l_tot,bat_avg_l_tot,whip_l_tot,babip_l_tot,lob_pct_l_tot,fip_l_tot,xfip_l_tot,k_9_r_tot,bb_9_r_tot,k_bb_r_tot,hr_9_r_tot,k_pct_r_tot,bb_pct_r_tot,k_bb_pct_r_tot,bat_avg_r_tot,whip_r_tot,babip_r_tot,lob_pct_r_tot,fip_r_tot,xfip_r_tot,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
0,ARI,6/30/2021,1,642092.0,Riley Smith,SP,Y,,3,5,1,6.46478873,1.52112676,4.25,1.52112676,0.17525773,0.04123711,0.13402062,0.27472527,1.22535211,0.29166667,0.76923077,4.419592842808872,4.547410473365202,5.4,3.19090909,1.69230769,0.49090909,0.13836478,0.08176101,0.05660377,0.30136986,1.55454545,0.3442623,0.7195571999999999,3.727926997143507,4.7824652486086086,19.39436619,4.5633802800000005,12.75,4.5633802800000005,0.52577319,0.12371133000000001,0.40206186,0.8241758100000001,3.6760563299999998,0.87500001,2.3076923099999997,13.258778528426618,13.642231420095607,27.0,15.95454545,8.46153845,2.45454545,0.6918238999999999,0.40880505,0.28301885,1.5068492999999998,7.77272725,1.7213115,3.5977859999999993,18.639634985717535,23.912326243043044,20210630,162c,642092,1.0,9,1.0,-3.45,7000.0,ARI,@ stl,,4,7
1,CHC,6/30/2021,1,453562.0,Jake Arrieta,SP,Y,,3,5,1,7.38,4.32,1.70833333,1.8,0.17903929999999998,0.10480349,0.07423581,0.29441624,1.64,0.31788079,0.69014085,5.7394743474288665,5.114376907245704,6.27464789,2.66197183,2.35714286,1.33098592,0.16666667,0.07070707,0.0959596,0.27322404,1.35211268,0.3006993,0.76086957,4.64375187299065,4.417175218301206,22.14,12.96,5.12499999,5.4,0.5371178999999999,0.31441047,0.22270742999999998,0.88324872,4.92,0.9536423700000001,2.07042255,17.2184230422866,15.343130721737113,31.37323945,13.309859150000001,11.7857143,6.6549296,0.83333335,0.35353534999999997,0.47979800000000006,1.3661202000000001,6.7605634000000006,1.5034965,3.80434785,23.21875936495325,22.08587609150603,20210630,100x,453562,1.0,9,1.0,-3.05,8300.0,CHC,@ mil,,7,15
2,PIT,6/30/2021,1,641771.0,Chad Kuhl,SP,Y,,4,4,1,9.25,6.25,1.48,1.75,0.24183007,0.16339869,0.07843138,0.224,1.47222222,0.25,0.76388889,5.733515192873536,5.024610098782513,7.8,5.7,1.36842105,1.5,0.18705036,0.13669065,0.05035971,0.22321429,1.46666667,0.23809524,0.61904762,6.0056097844957,5.519566648033571,37.0,25.0,5.92,7.0,0.96732028,0.65359476,0.31372552,0.896,5.88888888,1.0,3.05555556,22.934060771494146,20.09844039513005,31.2,22.8,5.4736842,6.0,0.74820144,0.5467626,0.20143884,0.89285716,5.86666668,0.95238096,2.47619048,24.0224391379828,22.078266592134284,20210630,137t,641771,1.0,9,1.0,10.35,6200.0,PIT,@ col,,2,6
3,COL,6/30/2021,1,592351.0,Jon Gray,SP,Y,,5,3,1,5.25,3.6,1.45833333,1.5,0.13207547,0.09056604,0.04150943,0.24680851,1.36666667,0.24870466,0.53521127,5.509414524499234,5.479706894023871,7.92857143,3.0,2.64285714,0.85714286,0.20670391,0.07821229,0.12849162,0.25465839,1.30952381,0.30081301,0.71428571,3.703999697330546,4.132213472236259,26.25,18.0,7.291666650000001,7.5,0.66037735,0.4528302,0.20754715,1.23404255,6.83333335,1.2435232999999999,2.67605635,27.54707262249617,27.398534470119355,23.78571429,9.0,7.928571419999999,2.57142858,0.62011173,0.23463687,0.38547486,0.76397517,3.92857143,0.90243903,2.14285713,11.111999091991638,12.396640416708777,20210630,130k,592351,1.0,9,1.0,19.3,7900.0,COL,v pit,,6,2
4,TB,6/30/2021,1,656876.0,Drew Rasmussen,SP,Y,,3,5,1,9.48648649,7.2972972999999985,1.3,1.45945946,0.20967742,0.16129032,0.0483871,0.28846154,2.02702703,0.35135135,0.67567568,5.600569784472404,4.5276180350832185,14.85,4.95,3.0,1.35,0.38372093,0.12790698,0.25581395,0.2,1.3,0.30769231,0.73394495,3.460012753795551,3.0485342380811438,28.459459470000002,21.891891899999997,3.9000000000000004,4.37837838,0.62903226,0.48387095999999996,0.1451613,0.86538462,6.0810810900000005,1.05405405,2.02702704,16.80170935341721,13.582854105249655,74.25,24.75,15.0,6.75,1.91860465,0.6395349,1.2790697500000001,1.0,6.5,1.53846155,3.6697247500000003,17.300063768977758,15.24267119040572,20210630,160z,656876,1.0,9,1.0,2.7,4000.0,TAM,@ was,,6,15
5,WAS,6/30/2021,1,452657.0,Jon Lester,SP,Y,,2,6,1,7.36363636,1.96363636,3.75,0.49090909,0.2173913,0.05797101,0.15942029,0.23809524,1.03636364,0.28571429,0.73863636,2.8893249018752094,3.58295814673,6.02575107,2.89699571,2.08,1.73819742,0.15116279,0.07267442,0.07848837,0.27619048,1.44206009,0.28915663,0.77659574,5.427307994963473,5.25191150995905,14.72727272,3.92727272,7.5,0.98181818,0.4347826,0.11594202,0.31884058,0.47619048,2.07272728,0.57142858,1.47727272,5.778649803750419,7.16591629346,36.154506420000004,17.38197426,12.48,10.42918452,0.90697674,0.43604652,0.47093022,1.65714288,8.65236054,1.7349397800000002,4.65957444,32.56384796978084,31.511469059754297,20210630,1506,452657,1.0,9,1.0,5.85,8900.0,WAS,v tam,,15,6
6,DET,6/30/2021,1,570632.0,Jose Urena,SP,Y,,3,6,0,2.7,3.78,0.71428571,0.81,0.06369427,0.08917197,-0.0254777,0.34042553,1.86,0.34883721,0.68027211,5.068347282412899,5.5710281276360165,8.12030075,4.26315789,1.9047619,0.81203008,0.22099448,0.1160221,0.10497238,0.18987342,1.15037594,0.22807018,0.71729958,4.082632026024541,4.515314236573143,8.100000000000001,11.34,2.14285713,2.43,0.19108281,0.26751591,-0.0764331,1.0212765899999998,5.58,1.04651163,2.04081633,15.205041847238697,16.71308438290805,48.721804500000005,25.57894734,11.4285714,4.87218048,1.32596688,0.6961326,0.6298342800000001,1.13924052,6.90225564,1.36842108,4.30379748,24.495792156147246,27.09188541943886,20210630,120t,570632,1.0,0,1.0,5.9,5100.0,DET,@ cle,,9,4(F7)
7,CLE,6/30/2021,1,615698.0,Cal Quantrill,SP,Y,,5,4,0,10.86585366,2.63414634,4.125,0.32926829,0.29464286,0.07142857,0.22321429,0.21782178,1.09756098,0.30434783,0.84459459,2.2145931498419973,3.2880111494196678,5.91428572,2.82857143,2.09090909,1.28571429,0.15436242,0.0738255,0.08053692,0.28461538,1.37142857,0.30188679,0.88888889,4.993327287555987,4.791871894861725,54.3292683,13.170731700000001,20.625,1.64634145,1.4732143,0.35714285,1.11607145,1.0891089,5.4878048999999995,1.52173915,4.22297295,11.072965749209986,16.440055747098338,23.65714288,11.31428572,8.36363636,5.14285716,0.61744968,0.295302,0.32214768,1.13846152,5.48571428,1.20754716,3.55555556,19.973309150223947,19.1674875794469,20210630,152v,615698,1.0,0,1.0,-0.5,6800.0,CLE,v det,,4,9(F7)
8,NYY,6/30/2021,1,593334.0,Domingo German,SP,N,,2,7,0,7.71428571,1.75324675,4.4,1.75324675,0.20952381,0.04761905,0.16190476,0.25,1.16883117,0.2739726,0.82608696,4.540176554968261,4.319961996590649,9.20454546,1.53409091,6.0,1.84090909,0.25862069,0.04310345,0.21551724,0.2,0.92045455,0.21621622,0.91836735,4.364851884968261,3.788488833714076,15.42857142,3.5064935,8.8,3.5064935,0.41904762,0.0952381,0.32380952,0.5,2.33766234,0.5479452,1.65217392,9.080353109936523,8.639923993181299,64.43181822,10.73863637,42.0,12.88636363,1.81034483,0.30172415,1.50862068,1.4000000000000001,6.44318185,1.51351354,6.42857145,30.55396319477783,26.519421835998532,20210630,142a,593334,1.0,0,1.0,0.55,8500.0,NYY,v laa,,8,11
9,MIA,6/30/2021,1,656548.0,Jordan Holloway,SP,N,,3,5,1,5.625,4.5,1.25,0.0,0.14285714,0.11428571,0.02857143,0.22580645,1.375,0.26923077,0.63636364,3.3898225148294547,6.030953062799988,8.1,6.3,1.28571429,0.0,0.21428571,0.16666667,0.04761904,0.17142857,1.3,0.23076923,0.92307692,3.4424737583507192,5.013445630263199,16.875,13.5,3.75,0.0,0.42857142,0.34285713,0.08571429,0.67741935,4.125,0.80769231,1.9090909200000001,10.169467544488365,18.092859188399963,40.5,31.5,6.42857145,0.0,1.07142855,0.83333335,0.2380952,0.85714285,6.5,1.15384615,4.6153846,17.212368791753597,25.067228151315994,20210630,158x,656548,1.0,9,1.0,1.35,4400.0,MIA,@ phi,,11,6
