,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,num_L_bats,num_R_bats,is_nl,k_9_l,bb_9_l,k_bb_l,hr_9_l,k_pct_l,bb_pct_l,k_bb_pct_l,bat_avg_l,whip_l,babip_l,lob_pct_l,fip_l,xfip_l,k_9_r,bb_9_r,k_bb_r,hr_9_r,k_pct_r,bb_pct_r,k_bb_pct_r,bat_avg_r,whip_r,babip_r,lob_pct_r,fip_r,xfip_r,k_9_l_tot,bb_9_l_tot,k_bb_l_tot,hr_9_l_tot,k_pct_l_tot,bb_pct_l_tot,k_bb_pct_l_tot,bat_avg_l_tot,whip_l_tot,babip_l_tot,lob_pct_l_tot,fip_l_tot,xfip_l_tot,k_9_r_tot,bb_9_r_tot,k_bb_r_tot,hr_9_r_tot,k_pct_r_tot,bb_pct_r_tot,k_bb_pct_r_tot,bat_avg_r_tot,whip_r_tot,babip_r_tot,lob_pct_r_tot,fip_r_tot,xfip_r_tot,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
0,BOS,6/7/2021,1,601713,Nick Pivetta,SP,Y,,2,7,0,10.55172414,5.27586207,2.0,1.24137931,0.26153846,0.13076923,0.13076923,0.24324324,1.51724138,0.31081081,0.83756345,4.459063427149029,4.582279818941808,9.90647482,3.30215827,3.0,0.77697842,0.26984127,0.08994709,0.17989418,0.21556886,1.14388489,0.27826087,0.58704453,3.2998912336683883,4.346452071042114,21.10344828,10.55172414,4.0,2.48275862,0.52307692,0.26153846,0.26153846,0.48648648,3.03448276,0.62162162,1.6751269,8.918126854298057,9.164559637883617,69.34532374,23.11510789,21.0,5.43884894,1.88888889,0.6296296299999999,1.2592592599999999,1.50898202,8.00719423,1.94782609,4.10931171,23.099238635678716,30.425164497294794,20210607,140q,601713,1.0,0,1,12.5,8000,BOS,v mia,,5,3
1,LAA,6/7/2021,1,605164,Dylan Bundy,SP,Y,,3,6,0,8.50276243,2.98342541,2.85,1.49171271,0.22178988,0.07782101,0.14396887,0.24137931,1.25966851,0.2754491,0.72307692,4.579734688377004,4.510502810939671,10.8,1.90588235,5.66666667,1.11176471,0.29310345,0.05172414,0.24137931,0.22429907,1.05882353,0.28873239,0.60150376,3.1644994735717766,3.2313434334440894,25.508287290000002,8.95027623,8.55,4.47513813,0.66536964,0.23346303,0.43190660999999997,0.72413793,3.77900553,0.8263473,2.16923076,13.73920406513101,13.531508432819013,64.80000000000001,11.4352941,34.00000002,6.670588260000001,1.7586206999999998,0.31034484,1.44827586,1.3457944199999998,6.35294118,1.73239434,3.6090225600000005,18.98699684143066,19.388060600664538,20210607,110u,605164,1.0,0,1,12.55,7100,LAA,v kan,,8,3
2,CHC,6/7/2021,1,640470,Adbert Alzolay,SP,Y,,4,4,1,9.86538461,3.375,2.92307692,1.55769231,0.27142857,0.09285714,0.17857143,0.20967742,1.125,0.24691358,0.79754601,4.508361639577802,3.9568685040574687,10.66935484,2.39516129,4.45454545,0.87096774,0.30625,0.06875,0.2375,0.17241379,0.87096774,0.22340426,0.86419753,2.9834212690205244,2.9765677536750315,39.46153844,13.5,11.69230768,6.23076924,1.08571428,0.37142856,0.71428572,0.83870968,4.5,0.98765432,3.19018404,18.03344655831121,15.827474016229875,42.67741936,9.58064516,17.8181818,3.48387096,1.225,0.275,0.95,0.68965516,3.48387096,0.89361704,3.45679012,11.933685076082098,11.906271014700126,20210607,154p,640470,1.0,9,1,0.75,8800,CHC,@ sdg,,4,9
3,SD,6/7/2021,1,677960,Ryan Weathers,SP,Y,,2,6,1,6.58536585,1.31707317,5.0,0.0,0.20408163,0.04081633,0.16326529999999995,0.17391304,0.73170732,0.22222222,1.0,2.3327011049682618,3.609914010066456,6.66233766,3.50649351,1.9,1.75324675,0.18446602,0.09708738,0.08737864,0.20430108,1.12987013,0.20289855,0.90909091,5.358358374968262,4.9341214936651125,13.1707317,2.63414634,10.0,0.0,0.40816326,0.08163266,0.3265305999999999,0.34782608,1.46341464,0.44444444,2.0,4.6654022099365235,7.219828020132912,39.974025960000006,21.03896106,11.399999999999999,10.5194805,1.10679612,0.58252428,0.5242718399999999,1.22580648,6.77922078,1.2173913,5.45454546,32.15015024980957,29.604728961990673,20210607,163t,677960,1.0,9,1,13.65,6700,SDG,v chc,,9,4
