,team code, game_date, game_number, mlb id,Name, batting order, confirmed, position,opp_pitch_hand,opp_pitch,bats,k_pct,bb_pct,bb_k,bat_avg,obp,slg,ops,iso,babip,wrc,wraa,woba,wrc_plus,opp_k/9,opp_bb/9,opp_k/bb,opp_hr/9,opp_k_pct,opp_bb_pct,opp_k_bb_pct,opp_avg,opp_whip,opp_babip,opp_lob_pct,opp_fip,opp_xfip,Date,GID,MLB_ID,Starter,Bat order,DK posn,DK pts,DK sal,Team,Oppt,dblhdr,Tm Runs,Opp Runs
0,NYM,6/18/2021,1,542340,Jonathan Villar,1,N,,R,Erick Fedde,L,0.26141079,0.12863071,0.49206349,0.23300971,0.33333333,0.33009709,0.66343042,0.09708738,0.31205674,25.33110542273053,-4.0456094476031375,0.29591514113583145,88.13932530055936,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,20210618,6294,542340,1.0,1,5.0,0.0,4200.0,NYM,@ was,,0,1
1,NYM,6/18/2021,1,596019,Francisco Lindor,2,N,,R,Erick Fedde,L,0.17417417,0.10510511,0.60344828,0.21917808,0.30630631,0.34931507,0.65562138,0.13013699,0.24122807,33.160730086639234,-7.451872899756126,0.2874844341567068,81.3164040023738,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,20210618,6265,596019,1.0,2,6.0,0.0,4100.0,NYM,@ was,,0,1
2,NYM,6/18/2021,1,642086,Dominic Smith,4,N,,R,Erick Fedde,L,0.2265625,0.05078125,0.22413793,0.28389831,0.33203125,0.50423729,0.83626854,0.22033898,0.33529412,39.20916929009823,8.155034347507032,0.3522704384458347,126.62679963688456,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,20210618,2824,642086,1.0,3,7.0,5.0,4400.0,NYM,@ was,,0,1
3,NYM,6/18/2021,1,641856,Billy McKinney,6,N,,R,Erick Fedde,L,0.20238095,0.07142857,0.35294118,0.22077922,0.27380952,0.4025974,0.67640692,0.18181818,0.24137931,8.346045029109469,-1.4746030822935206,0.28747070410165443,81.39060658542792,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,5.14285714,20210618,2861,641856,1.0,5,7.0,0.0,3200.0,NYM,@ was,,0,1
5,WAS,6/18/2021,1,607208,Trea Turner,1,N,,L,Joey Lucchesi,R,0.13888889,0.10185185,0.73333333,0.38947368,0.4537037,0.72631579,1.18001949,0.33684211,0.40540541,28.68010807643784,15.516180670365213,0.4897257437308629,210.18825147208008,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,20210618,2602,607208,1.0,2,6.0,3.0,4900.0,WAS,v nym,,1,0
6,WAS,6/18/2021,1,665742,Juan Soto,2,N,,L,Joey Lucchesi,L,0.13861386,0.11881188,0.85714286,0.29545455,0.38613861,0.625,1.01113861,0.32954545,0.28358209,20.663026347465816,8.386732972867787,0.41491696664265226,160.51507014474365,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,20210618,2880,665742,1.0,3,7.0,6.0,5900.0,WAS,v nym,,1,0
8,WAS,6/18/2021,1,656941,Kyle Schwarber,4,N,,L,Joey Lucchesi,L,0.33962264,0.13207547,0.38888889,0.20454545,0.33962264,0.32954545,0.66916809,0.125,0.30612245,12.151919161708244,-0.7520163377810651,0.3079686828379361,92.05904636601026,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,10.125,20210618,2580,656941,1.0,1,7.0,5.0,3700.0,WAS,v nym,,1,0
9,WAS,6/18/2021,1,543281,Josh Harrison,5,N,,L,Joey Lucchesi,R,0.11111111,0.01587302,0.14285714,0.31034483,0.34920635,0.55172414,0.90093049,0.24137931,0.29166667,11.030114913609262,3.3362654990222413,0.3814667349769956,138.7063043607045,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,20210618,4248,543281,1.0,6,4.0,0.0,3700.0,WAS,v nym,,1,0
10,WAS,6/18/2021,1,543228,Yan Gomes,6,N,,L,Joey Lucchesi,R,0.10909091,0.01818182,0.16666667,0.34615385,0.34545455,0.59615385,0.9416084,0.25,0.33333333,9.997449403621413,3.3256975021140347,0.388785247369246,143.99286906394963,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,20210618,2364,543228,1.0,5,2.0,5.0,4900.0,WAS,v nym,,1,0
12,WAS,6/18/2021,1,645302,Victor Robles,8,N,,L,Joey Lucchesi,R,0.21348315,0.11235955,0.52631579,0.30136986,0.42045455,0.36986301,0.79031756,0.06849315,0.40740741,13.903308582465856,3.052940797965734,0.3570824265480041,122.86697833749909,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,9.11688312,20210618,2847,645302,1.0,8,7.0,3.0,3000.0,WAS,v nym,,1,0
